X,Y,cluster_id
4536,3931,42
4666,4870,61
5380,5724,43
4098,4413,10
4372,4781,65
6157,6709,51
4657,4490,13
2855,3335,41
6952,7140,58
4088,4374,10
3519,4056,55
1106,2265,38
1258,2513,12
5275,4074,2
3875,3978,39
6377,6673,49
3595,3580,27
6907,6396,1
4757,4046,9
2089,2578,62
5271,4317,63
5022,4488,59
1312,2495,12
7181,7649,57
5675,5760,44
6578,6425,4
4278,4332,50
1067,1928,40
5660,5468,3
6975,6483,1
6355,7001,8
6112,5988,33
5214,4157,2
5053,5229,20
5115,4015,5
6341,6443,60
1317,2488,12
7619,7728,64
6529,7060,54
1501,2279,34
1828,2053,37
3514,3427,56
4837,4529,16
5935,6312,47
3549,3691,31
5140,5453,0
877,1385,48
5051,4778,18
1378,2560,66
6817,7795,24
7354,7567,28
6314,6977,8
2631,2504,52
3701,4153,36
5553,4794,23
5685,5523,3
4798,4764,45
6544,7268,35
7138,7102,32
5998,6864,11
3411,3693,19
3282,3936,14
4787,4039,9
6536,6434,4
3306,3860,14
5538,5365,25
3629,3163,53
4678,4116,15
5722,4966,21
2186,2708,6
5199,3975,5
3984,4292,29
4195,4117,17
5758,6141,26
5280,4459,7
5021,4167,46
2225,2616,6
5245,5503,0
3610,3577,27
4590,4453,13
2364,2935,30
3155,3701,22
