 ,X,Y,cluster_id
81,1630068079.20768,1424511470.16576,0.0
80,1629025702.89408,1427430123.84384,264.38
77,1172256402.27456,1351962078.7392,528.76
78,1162875015.45216,1356757009.78176,793.14
79,1321524690.38208,1368014673.96864,1057.52
70,600825707.15904,472613420.58624,1321.9
74,714653200.60416,451765894.31424,1586.28
76,1107003645.0432,1256063457.888,1850.66
68,329599390.36032,252046592.62848,2115.04
75,1116385031.8656,1263151616.82048,2379.42
69,330641766.67392,248085562.6368,2643.8
63,1441814916.97152,1334867107.19616,2908.18
64,1464538720.608,1555016984.62848,3172.56
50,1098039208.74624,1189142898.55488,3436.94
72,644813987.59296,561423882.50496,3701.32
67,328973964.57216,257049998.93376,3965.7
73,718614230.59584,455935399.56864,4230.08
45,983169338.98752,1122013863.95904,4494.46
66,332518044.0384,256841523.67104,4758.84
65,1455157333.7856,1556059360.94208,5023.22
62,1125766418.688,1057803483.04128,5287.6
28,668788642.80576,699226031.16288,5551.98
47,920835235.43424,1224375217.95456,5816.36
57,1198732760.64,1256688883.67616,6080.74
59,1217287059.02208,1239802387.39584,6345.12
60,1224166742.69184,1253353279.47264,6609.5
17,913121650.7136,937513256.45184,6873.88
34,593946023.48928,478242252.67968,7138.26
20,726327815.31648,848911269.79584,7402.64
58,1214368405.344,1246682071.0656,7667.02
55,1189142898.55488,1251268526.84544,7931.4
31,568095090.912,526400038.368,8195.78
51,1206654820.62336,1171630976.4864,8460.16
32,706522665.35808,509930492.61312,8724.54
71,636266501.82144,502425383.1552,8988.92
42,1010896548.92928,1016942331.54816,9253.3
43,1011521974.71744,1021945737.85344,9517.68
61,1231463376.88704,1246682071.0656,9782.06
39,922086087.01056,934177652.24832,10046.44
48,1095954456.11904,1197481909.06368,10310.82
4,1828328054.0544,1669886854.3872,10575.2
1,1699281866.43072,1734305710.56768,10839.58
46,1034662728.87936,1138066459.18848,11103.96
7,1561271242.51008,1578783164.57856,11368.34
23,907701293.88288,822226436.16768,11632.72
29,631680046.0416,559130654.61504,11897.1
25,907075868.09472,807633167.77728,12161.48
49,1094495129.28,1194771730.64832,12425.86
40,920626760.17152,937096305.9264,12690.24
41,1017776232.59904,984420190.56384,12954.62
52,1211449751.66592,1165376718.6048,13219.0
56,1189768324.34304,1258148210.5152,13483.38
38,917499631.23072,929382721.20576,13747.76
9,1578157738.7904,1449945452.2176,14012.14
13,1546677974.11968,1399702913.90208,14276.52
5,1852511184.52992,1652791882.84416,14540.9
33,703395536.41728,504510135.7824,14805.28
2,1900668970.21824,1719712442.17728,15069.66
12,1538130488.34816,1403038518.1056,15334.04
21,734041400.03712,845158715.06688,15598.42
30,566218813.54752,533488197.30048,15862.8
54,1203944642.208,1166002144.39296,16127.18
44,1016942331.54816,1020694886.27712,16391.56
14,1016942331.54816,977748982.1568,16655.94
16,920209809.64608,941265811.1808,16920.32
6,1566691599.3408,1582535719.30752,17184.7
15,958152307.46112,959194683.77472,17449.08
3,1699073391.168,1709497154.304,17713.46
24,904365689.67936,812845049.34528,17977.84
8,1576072986.1632,1455365809.04832,18242.22
37,519728829.96096,241831304.7552,18506.6
22,884977490.2464,843282437.7024,18770.98
36,524315285.7408,244333007.90784,19035.36
11,1544176270.96704,1403872419.15648,19299.74
19,738419380.55424,850787547.16032,19564.12
10,1576489936.68864,1420967390.69952,19828.5
53,1201859889.5808,1169129273.33376,20092.88
18,738836331.07968,854123151.36384,20357.26
26,912287749.66272,786160215.71712,20621.64
27,658364879.66976,731539696.88448,20886.02
35,629803768.67712,342316381.38624,21150.4
