 ,X,Y,cluster_id
25,3430954.944,3054819.456,0
24,3420703.872,3074533.056,0
23,3433320.576,3110017.536,0
55,4497854.976,4732841.088,1
56,4500220.608,4758863.04,1
57,4534128.0,4753343.232,1
29,2389288.32,2114875.008,2
72,2438966.592,2123548.992,2
38,3470382.144,3515329.152,3
39,3487730.112,3533465.664,3
40,3482210.304,3544505.28,3
17,3453822.72,3546082.368,3
16,3480633.216,3560276.16,3
59,4604308.416,4689471.168,4
58,4593268.8,4715493.12,4
76,4187168.64,4750977.6,5
75,4222653.12,4777788.096,5
65,5504037.12,5885692.416,6
64,5539521.6,5881749.696,6
78,4398498.432,5131844.352,7
77,4433982.912,5113707.84,7
52,4582229.184,4407960.96,8
53,4545956.16,4422154.752,8
54,4553841.6,4410326.592,8
51,4564092.672,4431617.28,8
7,5905406.016,5971643.712,9
6,5925908.16,5985837.504,9
32,2672375.616,1928778.624,10
33,2660547.456,1908276.48,10
11,5840745.408,5310055.296,11
12,5817877.632,5306901.12,11
13,5850207.936,5294284.416,11
49,4139856.0,4519145.664,12
48,4145375.808,4529396.736,12
50,4153261.248,4497854.976,12
30,2141685.504,2017884.096,13
31,2148782.4,1991073.6,13
34,2246561.856,1808919.936,14
70,2272583.808,1787629.248,14
60,4630330.368,4740726.528,15
61,4657929.408,4715493.12,15
79,4998580.416,5174425.728,16
68,1246688.064,953349.696,17
69,1250630.784,938367.36,17
67,1244322.432,972274.752,17
66,1257727.68,971486.208,17
8,5961392.64,5504825.664,18
9,5969278.08,5484323.52,18
35,2382191.424,1294789.248,19
62,4258137.6,4001072.256,20
19,2793022.848,3218048.064,21
18,2794599.936,3230664.768,21
47,3482998.848,4631118.912,22
63,5453570.304,5049047.232,23
37,1965840.192,914711.04,24
36,1983188.16,924173.568,24
43,3826015.488,3865442.688,25
42,3823649.856,3846517.632,25
44,3846517.632,3860711.424,25
21,2776463.424,3196757.376,26
20,2747287.296,3210951.168,26
5,7007001.984,6251576.832,27
2,7189155.648,6504699.456,28
80,6161682.816,5399160.768,29
81,6165625.536,5388121.152,29
74,2703128.832,1708774.848,30
73,2718111.168,1724545.728,30
41,3849671.808,3723504.768,31
14,3846517.632,3698271.36,31
15,3624148.224,3628090.944,32
3,6426633.6,6466060.8,33
71,2406636.288,1900391.04,34
22,3347369.28,3189660.48,35
45,3718773.504,4243943.808,36
10,5962969.728,5374715.904,37
26,3450668.544,2973599.424,38
27,2490221.952,2767000.896,39
4,6915530.88,6316237.44,40
1,6427422.144,6559897.536,41
46,3913543.872,4304661.696,42
28,2529649.152,2644776.576,43
