cluster_id,cluster_size,cluster_area
0,3,14151.0
1,3,13631.0
2,2,8192.0
3,5,29073.0
4,2,7298.0
5,2,8014.0
6,2,7649.0
7,2,7849.0
8,4,19559.5
9,2,7066.0
10,2,7026.0
11,3,12337.0
12,3,11265.0
13,2,7214.0
14,2,7572.0
15,2,7713.0
16,1,2736.0
17,4,16660.5
18,2,6886.0
19,1,2736.0
20,1,2736.0
21,2,6350.0
22,1,2736.0
23,1,2736.0
24,2,6762.0
25,3,11820.0
26,2,7488.0
27,1,2736.0
28,1,2736.0
29,2,6286.0
30,2,6860.0
31,2,7122.0
32,1,2736.0
33,1,2736.0
34,1,2736.0
35,1,2736.0
36,1,2736.0
37,1,2736.0
38,1,2736.0
39,1,2736.0
40,1,2736.0
41,1,2736.0
42,1,2736.0
43,1,2736.0
