cluster_id,cluster_size,cluster_area
0,2,8166.0
1,2,7904.0
2,1,2736.0
3,2,7338.0
4,2,6965.0
5,1,2736.0
6,1,2736.0
7,1,2736.0
8,1,2736.0
9,1,2736.0
10,1,2736.0
11,1,2736.0
12,1,2736.0
13,1,2736.0
14,1,2736.0
15,1,2736.0
16,1,2736.0
17,1,2736.0
18,1,2736.0
19,1,2736.0
20,1,2736.0
21,1,2736.0
22,1,2736.0
23,1,2736.0
24,1,2736.0
25,1,2736.0
26,1,2736.0
27,1,2736.0
28,1,2736.0
29,1,2736.0
30,1,2736.0
31,1,2736.0
32,1,2736.0
33,1,2736.0
34,1,2736.0
35,1,2736.0
36,1,2736.0
37,1,2736.0
38,1,2736.0
39,1,2736.0
40,1,2736.0
41,1,2736.0
42,1,2736.0
43,1,2736.0
44,1,2736.0
45,1,2736.0
46,1,2736.0
47,1,2736.0
48,1,2736.0
49,1,2736.0
50,1,2736.0
51,1,2736.0
52,1,2736.0
53,1,2736.0
54,1,2736.0
55,1,2736.0
56,1,2736.0
57,1,2736.0
58,1,2736.0
59,1,2736.0
60,1,2736.0
61,1,2736.0
62,1,2736.0
63,1,2736.0
64,1,2736.0
65,1,2736.0
66,1,2736.0
67,1,2736.0
68,1,2736.0
69,1,2736.0
70,1,2736.0
71,1,2736.0
72,1,2736.0
73,1,2736.0
74,1,2736.0
75,1,2736.0
76,1,2736.0
77,1,2736.0
