X,Y,cluster_id
4.254,3.587,0
4.281,3.64,0
5.91,5.814,1
5.911,5.769,1
5.688,6.07,2
6.156,6.83,3
6.197,6.823,3
3.931,3.379,4
4.56,4.324,5
4.086,4.43,6
4.91,4.675,7
3.873,3.989,8
4.468,4.69,9
3.479,3.099,10
5.367,5.279,11
4.726,4.84,12
4.159,4.023,13
1.944,2.548,14
5.772,5.467,15
0.963,1.461,16
5.185,5.907,17
2.49,2.56,18
1.533,1.761,19
5.178,4.975,20
6.427,6.799,21
1.362,1.834,22
4.778,4.991,23
5.958,5.743,24
5.116,5.455,25
5.623,5.555,26
3.334,3.192,27
6.25,6.191,28
6.412,7.108,29
5.284,5.401,30
5.512,5.839,31
5.761,6.534,32
2.634,3.154,33
4.248,4.085,34
5.135,5.621,35
6.039,6.036,36
3.41,2.883,37
6.141,6.782,38
1.304,2.176,39
2.514,2.923,40
3.707,3.523,41
5.495,5.196,42
5.991,6.926,43
3.378,3.797,44
0.698,1.836,45
1.175,1.352,46
5.044,5.606,47
1.923,2.742,48
4.988,4.488,49
5.258,5.721,50
1.89,2.953,51
3.235,2.908,52
1.212,1.828,53
2.368,2.698,54
2.98,2.795,55
6.579,6.84,56
3.45,3.649,57
2.612,2.469,58
2.771,3.088,59
0.9,1.883,60
3.375,3.513,61
6.649,6.498,62
1.822,2.467,63
4.383,4.805,64
5.622,5.759,65
5.757,6.18,66
2.079,2.026,67
6.347,6.268,68
0.924,1.736,69
1.345,1.935,70
6.392,7.209,71
6.505,6.474,72
4.661,4.776,73
2.303,2.745,74
5.187,4.897,75
5.909,5.689,76
1.655,2.114,77
