cluster_id,cluster_size,cluster_area
0,4,21.75
1,3,14.891
2,3,15.52
3,5,31.086
4,2,8.131
5,2,9.185
6,2,8.51
7,2,8.735
8,4,21.215
9,2,7.887
10,2,7.846
11,3,13.58
12,2,8.936
13,2,8.042
14,2,8.424
15,2,8.584
16,1,3.133
17,4,18.275
18,2,7.701
19,1,3.133
20,1,3.133
21,1,3.133
22,1,3.133
23,1,3.133
24,2,7.575
25,3,13.035
26,3,12.488
27,1,3.133
28,1,3.133
29,2,7.09
30,2,7.672
31,2,7.948
32,1,3.133
33,1,3.133
34,1,3.133
35,1,3.133
36,1,3.133
37,1,3.133
38,1,3.133
39,1,3.133
40,1,3.133
41,1,3.133
42,1,3.133
