cluster_id,cluster_size,cluster_area
0,2,9253.848
1,2,8222.88
2,2,8636.688
3,2,8180.256
4,1,3132.864
5,1,3132.864
6,1,3132.864
7,1,3132.864
8,1,3132.864
9,1,3132.864
10,1,3132.864
11,1,3132.864
12,1,3132.864
13,1,3132.864
14,1,3132.864
15,1,3132.864
16,1,3132.864
17,1,3132.864
18,1,3132.864
19,1,3132.864
20,1,3132.864
21,1,3132.864
22,1,3132.864
23,1,3132.864
24,1,3132.864
25,1,3132.864
26,1,3132.864
27,1,3132.864
28,1,3132.864
29,1,3132.864
30,1,3132.864
31,1,3132.864
32,1,3132.864
33,1,3132.864
34,1,3132.864
35,1,3132.864
36,1,3132.864
37,1,3132.864
38,1,3132.864
39,1,3132.864
40,1,3132.864
41,1,3132.864
42,1,3132.864
43,1,3132.864
44,1,3132.864
45,1,3132.864
46,1,3132.864
47,1,3132.864
48,1,3132.864
49,1,3132.864
50,1,3132.864
51,1,3132.864
52,1,3132.864
53,1,3132.864
54,1,3132.864
55,1,3132.864
56,1,3132.864
57,1,3132.864
58,1,3132.864
59,1,3132.864
60,1,3132.864
61,1,3132.864
62,1,3132.864
63,1,3132.864
64,1,3132.864
65,1,3132.864
66,1,3132.864
67,1,3132.864
68,1,3132.864
69,1,3132.864
70,1,3132.864
71,1,3132.864
72,1,3132.864
73,1,3132.864
74,1,3132.864
75,1,3132.864
76,1,3132.864
