cluster_id,cluster_size,cluster_area
0,4,21749.784
1,3,14891.316
2,3,15519.576
3,5,31085.772
4,2,8130.528
5,2,9185.472
6,2,8509.704
7,2,8735.256
8,4,21215.208
9,2,7887.216
10,2,7846.368
11,3,13580.184
12,2,8935.944
13,2,8041.728
14,2,8423.568
15,2,8584.296
16,1,3132.864
17,4,18275.484
18,2,7700.736
19,1,3132.864
20,1,3132.864
21,1,3132.864
22,1,3132.864
23,1,3132.864
24,2,7574.64
25,3,13034.952
26,3,12488.388
27,1,3132.864
28,1,3132.864
29,2,7089.792
30,2,7672.32
31,2,7947.6
32,1,3132.864
33,1,3132.864
34,1,3132.864
35,1,3132.864
36,1,3132.864
37,1,3132.864
38,1,3132.864
39,1,3132.864
40,1,3132.864
41,1,3132.864
42,1,3132.864
