X,Y,cluster_id
2793.023,3218.048,0
2776.463,3196.757,0
2747.287,3210.951,0
2794.6,3230.665,0
4497.855,4732.841,1
4500.221,4758.863,1
4534.128,4753.343,1
3430.955,3054.819,2
3420.704,3074.533,2
3433.321,3110.018,2
3470.382,3515.329,3
3487.73,3533.466,3
3482.21,3544.505,3
3480.633,3560.276,3
3453.823,3546.082,3
4593.269,4715.493,4
4604.308,4689.471,4
2438.967,2123.549,5
2389.288,2114.875,5
5539.522,5881.75,6
5504.037,5885.692,6
4398.498,5131.844,7
4433.983,5113.708,7
4582.229,4407.961,8
4564.093,4431.617,8
4545.956,4422.155,8
4553.842,4410.327,8
5925.908,5985.838,9
5905.406,5971.644,9
2672.376,1928.779,10
2660.547,1908.276,10
5850.208,5294.284,11
5817.878,5306.901,11
5840.745,5310.055,11
4222.653,4777.788,12
4187.169,4750.978,12
2141.686,2017.884,13
2148.782,1991.074,13
2246.562,1808.92,14
2272.584,1787.629,14
4630.33,4740.727,15
4657.929,4715.493,15
4998.58,5174.426,16
1257.728,971.486,17
1250.631,938.367,17
1246.688,953.35,17
1244.322,972.275,17
5961.393,5504.826,18
5969.278,5484.324,18
2382.191,1294.789,19
4258.138,4001.072,20
2529.649,2644.777,21
3482.999,4631.119,22
5453.57,5049.047,23
1965.84,914.711,24
1983.188,924.174,24
3823.65,3846.518,25
3846.518,3860.711,25
3826.015,3865.443,25
4153.261,4497.855,26
4139.856,4519.146,26
4145.376,4529.397,26
7007.002,6251.577,27
7189.156,6504.699,28
6161.683,5399.161,29
6165.626,5388.121,29
2718.111,1724.546,30
2703.129,1708.775,30
3849.672,3723.505,31
3846.518,3698.271,31
3624.148,3628.091,32
6426.634,6466.061,33
2406.636,1900.391,34
3347.369,3189.66,35
3718.774,4243.944,36
5962.97,5374.716,37
3450.669,2973.599,38
2490.222,2767.001,39
6915.531,6316.237,40
6427.422,6559.898,41
3913.544,4304.662,42
