X,Y,cluster_id
2690.64,2381.616,0
2746.584,2391.384,0
4953.264,5779.104,1
4993.224,5758.68,1
5214.336,5338.656,2
5185.032,5280.936,2
5245.416,5310.24,2
5172.6,5310.24,2
6198.24,6628.032,3
6238.2,6623.592,3
3863.688,3440.112,4
3852.144,3462.312,4
3866.352,3502.272,4
4715.28,5350.2,5
4755.24,5380.392,5
3889.44,3993.336,6
3921.408,3991.56,6
3927.624,3979.128,6
3908.088,3958.704,6
3919.632,4009.32,6
6650.232,6724.824,7
6673.32,6740.808,7
3126.648,3599.952,8
3145.296,3623.928,8
3147.072,3638.136,8
3093.792,3615.936,8
5065.152,5329.776,9
5106.0,5352.864,9
5067.816,5359.08,9
2411.808,2272.392,10
2419.8,2242.2,10
4677.096,5065.152,11
4668.216,5100.672,11
4662.0,5089.128,11
4335.216,4193.136,12
4331.664,4164.72,12
4407.144,4847.592,13
3009.432,2172.048,14
2996.112,2148.96,14
1416.36,1094.016,15
1401.264,1094.904,15
1403.928,1073.592,15
1408.368,1056.72,15
2804.304,3115.992,16
4305.912,4331.664,17
4308.576,4352.976,17
4331.664,4347.648,17
5128.2,4966.584,18
5119.32,4979.904,18
5160.168,4963.92,18
5139.744,4990.56,18
6943.272,6067.704,19
6938.832,6080.136,19
2529.912,2037.072,20
2559.216,2013.096,20
3922.296,5215.224,21
7237.2,7281.6,22
2213.784,1030.08,23
2233.32,1040.736,23
6577.416,5979.792,24
6551.664,5976.24,24
6588.072,5962.032,24
6141.408,5685.864,25
2848.704,2978.352,26
8095.896,7325.112,27
4187.808,4779.216,28
4795.2,4505.712,29
3060.936,1942.056,30
3044.064,1924.296,30
2710.176,2140.08,31
4081.248,4085.688,32
7890.768,7040.064,33
3885.888,3348.648,34
6715.056,6052.608,35
3769.56,3591.96,36
7787.76,7112.88,37
6722.16,6176.04,38
6713.28,6199.128,38
7238.088,7387.272,39
2682.648,1458.096,40
5629.032,5827.056,41
