cluster_id,cluster_size,cluster_area
0,2,0.005
1,2,0.005
2,3,0.009
3,1,0.002
4,2,0.005
5,2,0.005
6,1,0.002
7,1,0.002
8,1,0.002
9,2,0.004
10,1,0.002
11,1,0.002
12,1,0.002
13,1,0.002
14,1,0.002
15,1,0.002
16,1,0.002
17,1,0.002
18,1,0.002
19,1,0.002
20,1,0.002
21,1,0.002
22,1,0.002
23,1,0.002
24,1,0.002
25,1,0.002
26,1,0.002
27,1,0.002
28,1,0.002
29,1,0.002
30,1,0.002
31,1,0.002
32,1,0.002
33,1,0.002
34,1,0.002
35,1,0.002
36,1,0.002
37,1,0.002
38,1,0.002
39,1,0.002
40,1,0.002
41,1,0.002
42,1,0.002
43,1,0.002
44,1,0.002
45,1,0.002
46,1,0.002
47,1,0.002
48,1,0.002
49,1,0.002
50,1,0.002
51,1,0.002
52,1,0.002
53,1,0.002
54,1,0.002
55,1,0.002
56,1,0.002
57,1,0.002
58,1,0.002
59,1,0.002
60,1,0.002
61,1,0.002
62,1,0.002
63,1,0.002
64,1,0.002
65,1,0.002
66,1,0.002
67,1,0.002
68,1,0.002
69,1,0.002
70,1,0.002
71,1,0.002
72,1,0.002
73,1,0.002
