og_coord,goldstar_coord,dist
"(2453.358, 3891.679)","(2508.0, 3918.0)",60.651
"(3372.354, 2514.241)","(3432.0, 2526.0)",60.794
"(2525.0, 3997.0)","(2508.0, 3918.0)",80.808
"(2563.548, 3985.629)","(2508.0, 3918.0)",87.517
"(2510.74, 4013.62)","(2508.0, 3918.0)",95.659
"(2254.528, 2631.326)","(2254.0, 2534.0)",97.327
"(2432.611, 3840.389)","(2508.0, 3918.0)",108.199
"(2508.385, 4028.75)","(2508.0, 3918.0)",110.751
"(2595.967, 3986.367)","(2508.0, 3918.0)",111.41
"(2947.849, 1421.877)","(3024.0, 1338.0)",113.289
"(1647.732, 3167.554)","(1554.0, 3102.0)",114.381
"(2911.814, 1363.627)","(3024.0, 1338.0)",115.076
"(2421.441, 874.814)","(2478.0, 774.0)",115.596
"(2556.5, 4024.25)","(2508.0, 3918.0)",116.796
"(3128.225, 2862.873)","(3030.0, 2928.0)",117.854
"(3504.0, 1215.833)","(3540.0, 1098.0)",123.21
"(2904.633, 1375.633)","(3024.0, 1338.0)",125.159
"(2406.0, 3845.244)","(2508.0, 3918.0)",125.289
"(2416.0, 887.913)","(2478.0, 774.0)",129.693
"(2958.0, 1449.881)","(3024.0, 1338.0)",129.897
"(2184.519, 3546.81)","(2304.0, 3600.0)",130.786
"(2909.283, 2874.208)","(3030.0, 2928.0)",132.16
"(2626.139, 3978.611)","(2508.0, 3918.0)",132.78
"(3151.74, 2872.5)","(3030.0, 2928.0)",133.794
"(3575.858, 1227.425)","(3540.0, 1098.0)",134.301
"(2640.707, 3897.073)","(2508.0, 3918.0)",134.347
"(2405.0, 3830.0)","(2508.0, 3918.0)",135.473
"(2568.851, 4040.851)","(2508.0, 3918.0)",137.096
"(1440.321, 3182.405)","(1554.0, 3102.0)",139.24
"(2884.116, 1336.884)","(3024.0, 1338.0)",139.888
"(2165.742, 3623.935)","(2304.0, 3600.0)",140.314
"(1421.611, 3158.389)","(1554.0, 3102.0)",143.898
"(3771.988, 2000.558)","(3900.0, 1932.0)",145.215
"(2972.348, 3061.364)","(3030.0, 2928.0)",145.292
"(3133.836, 3465.636)","(2994.0, 3426.0)",145.345
"(3780.56, 2015.027)","(3900.0, 1932.0)",145.463
"(2633.389, 3992.611)","(2508.0, 3918.0)",145.908
"(2431.273, 913.61)","(2478.0, 774.0)",147.222
"(3777.0, 1851.0)","(3900.0, 1932.0)",147.275
"(3786.0, 2026.5)","(3900.0, 1932.0)",148.075
"(3280.518, 2519.94)","(3432.0, 2526.0)",151.603
"(2607.368, 4032.702)","(2508.0, 3918.0)",151.758
"(3511.412, 1248.062)","(3540.0, 1098.0)",152.761
"(3135.908, 1869.969)","(3006.0, 1788.0)",153.607
"(3160.389, 1804.611)","(3006.0, 1788.0)",155.28
"(3438.857, 1216.092)","(3540.0, 1098.0)",155.485
"(2923.821, 1457.142)","(3024.0, 1338.0)",155.662
"(3147.5, 1854.5)","(3006.0, 1788.0)",156.347
"(3155.288, 1834.712)","(3006.0, 1788.0)",156.425
"(2947.424, 1476.508)","(3024.0, 1338.0)",158.267
"(2596.407, 4049.695)","(2508.0, 3918.0)",158.617
"(2438.419, 3514.302)","(2304.0, 3600.0)",159.413
"(3135.865, 1881.703)","(3006.0, 1788.0)",160.141
"(3148.11, 3470.767)","(2994.0, 3426.0)",160.48
"(1714.697, 3093.076)","(1554.0, 3102.0)",160.945
"(1405.864, 3169.943)","(1554.0, 3102.0)",162.974
"(2905.149, 1659.161)","(3006.0, 1788.0)",163.617
"(2569.088, 4070.05)","(2508.0, 3918.0)",163.863
"(3117.872, 1910.128)","(3006.0, 1788.0)",165.622
"(2956.887, 3077.597)","(3030.0, 2928.0)",166.508
"(2425.24, 3485.24)","(2304.0, 3600.0)",166.94
"(3109.551, 1919.776)","(3006.0, 1788.0)",167.594
"(3265.022, 2540.775)","(3432.0, 2526.0)",167.63
"(2381.939, 915.152)","(2478.0, 774.0)",170.738
"(2625.116, 860.768)","(2478.0, 774.0)",170.798
"(3080.5, 1176.0)","(3024.0, 1338.0)",171.57
"(3174.434, 1834.547)","(3006.0, 1788.0)",174.747
"(2453.0, 3506.0)","(2304.0, 3600.0)",176.173
"(1376.614, 3093.125)","(1554.0, 3102.0)",177.608
"(3144.618, 1899.309)","(3006.0, 1788.0)",177.777
"(3732.948, 1993.138)","(3900.0, 1932.0)",177.888
"(3404.91, 1215.892)","(3540.0, 1098.0)",179.298
"(1407.09, 3205.04)","(1554.0, 3102.0)",179.443
"(3126.714, 1921.98)","(3006.0, 1788.0)",180.34
"(3252.5, 2506.368)","(3432.0, 2526.0)",180.57
"(3440.951, 1249.524)","(3540.0, 1098.0)",181.025
"(3093.0, 1946.756)","(3006.0, 1788.0)",181.032
"(3123.731, 1928.654)","(3006.0, 1788.0)",183.423
"(2850.272, 1691.0)","(3006.0, 1788.0)",183.467
"(3091.082, 3101.377)","(3030.0, 2928.0)",183.822
"(2949.898, 3247.339)","(2994.0, 3426.0)",184.024
"(3246.938, 2523.519)","(3432.0, 2526.0)",185.079
"(2119.0, 3624.667)","(2304.0, 3600.0)",186.637
"(1367.375, 3111.857)","(1554.0, 3102.0)",186.885
"(2948.097, 1509.583)","(3024.0, 1338.0)",187.622
"(3859.815, 2541.0)","(3684.0, 2472.0)",188.87
"(3742.25, 2035.926)","(3900.0, 1932.0)",188.907
"(3714.525, 1969.932)","(3900.0, 1932.0)",189.314
"(3173.152, 3491.318)","(2994.0, 3426.0)",190.688
"(3485.812, 1281.188)","(3540.0, 1098.0)",191.035
"(1376.353, 3180.047)","(1554.0, 3102.0)",194.036
"(1387.562, 3202.762)","(1554.0, 3102.0)",194.563
"(2904.24, 1182.46)","(3024.0, 1338.0)",196.304
"(4066.175, 1827.439)","(3900.0, 1932.0)",196.334
"(2453.115, 968.805)","(2478.0, 774.0)",196.388
"(1425.074, 3250.706)","(1554.0, 3102.0)",196.813
"(3850.8, 2577.738)","(3684.0, 2472.0)",197.491
"(3114.641, 1162.385)","(3024.0, 1338.0)",197.627
"(2358.261, 931.37)","(2478.0, 774.0)",197.744
"(2483.032, 971.823)","(2478.0, 774.0)",197.887
"(3067.0, 3124.0)","(3030.0, 2928.0)",199.462
"(2438.313, 969.867)","(2478.0, 774.0)",199.847
"(4066.143, 1815.375)","(3900.0, 1932.0)",202.99
"(3871.675, 2554.143)","(3684.0, 2472.0)",204.864
"(3210.253, 1805.821)","(3006.0, 1788.0)",205.029
"(4058.839, 1801.806)","(3900.0, 1932.0)",205.378
"(3190.292, 1881.662)","(3006.0, 1788.0)",206.727
"(3205.58, 1842.705)","(3006.0, 1788.0)",206.942
"(3160.136, 1927.136)","(3006.0, 1788.0)",207.646
"(3169.329, 1916.329)","(3006.0, 1788.0)",207.713
"(2445.892, 979.8)","(2478.0, 774.0)",208.29
"(3695.783, 1978.101)","(3900.0, 1932.0)",209.356
"(3238.123, 2956.521)","(3030.0, 2928.0)",210.068
"(2978.263, 3214.697)","(2994.0, 3426.0)",211.888
"(2952.762, 3217.81)","(2994.0, 3426.0)",212.235
"(3242.0, 2942.0)","(3030.0, 2928.0)",212.462
"(3150.531, 1944.571)","(3006.0, 1788.0)",213.081
"(3060.5, 3629.0)","(2994.0, 3426.0)",213.615
"(2811.867, 1312.44)","(3024.0, 1338.0)",213.667
"(4095.0, 1843.5)","(3900.0, 1932.0)",214.143
"(2786.5, 3371.862)","(2994.0, 3426.0)",214.446
"(4060.145, 1788.145)","(3900.0, 1932.0)",215.269
"(3154.932, 3103.475)","(3030.0, 2928.0)",215.405
"(3716.234, 2047.047)","(3900.0, 1932.0)",216.808
"(1740.575, 2991.4)","(1554.0, 3102.0)",216.893
"(4093.302, 1832.317)","(3900.0, 1932.0)",217.491
