og_coord,goldstar_coord,dist
"(2944.0, 3438.0)","(2994.0, 3426.0)",51.42
"(2461.0, 3939.0)","(2508.0, 3918.0)",51.478
"(3431.0, 2464.0)","(3432.0, 2526.0)",62.008
"(1491.0, 3122.0)","(1554.0, 3102.0)",66.098
"(2484.0, 3980.0)","(2508.0, 3918.0)",66.483
"(3464.0, 2585.0)","(3432.0, 2526.0)",67.119
"(3495.0, 2497.0)","(3432.0, 2526.0)",69.354
"(3508.0, 2546.0)","(3432.0, 2526.0)",78.588
"(2963.0, 1394.0)","(3024.0, 1338.0)",82.807
"(3043.0, 3354.0)","(2994.0, 3426.0)",87.092
"(3987.0, 1913.0)","(3900.0, 1932.0)",89.051
"(3810.0, 1929.0)","(3900.0, 1932.0)",90.05
"(3987.0, 1904.0)","(3900.0, 1932.0)",91.395
"(3635.0, 1118.0)","(3540.0, 1098.0)",97.082
"(1538.0, 3002.0)","(1554.0, 3102.0)",101.272
"(2989.0, 3528.0)","(2994.0, 3426.0)",102.122
"(3933.0, 1834.0)","(3900.0, 1932.0)",103.407
"(3332.0, 2554.0)","(3432.0, 2526.0)",103.846
"(2582.0, 3992.0)","(2508.0, 3918.0)",104.652
"(1660.0, 3104.0)","(1554.0, 3102.0)",106.019
"(2986.0, 3532.0)","(2994.0, 3426.0)",106.301
"(3647.0, 1082.0)","(3540.0, 1098.0)",108.19
"(2929.0, 1393.0)","(3024.0, 1338.0)",109.772
"(3780.0, 2526.0)","(3684.0, 2472.0)",110.145
"(3781.0, 2418.0)","(3684.0, 2472.0)",111.018
"(2937.0, 3522.0)","(2994.0, 3426.0)",111.647
"(2936.0, 2865.0)","(3030.0, 2928.0)",113.159
"(2462.0, 4024.0)","(2508.0, 3918.0)",115.551
"(3547.0, 2558.0)","(3432.0, 2526.0)",119.369
"(2895.0, 3493.0)","(2994.0, 3426.0)",119.541
"(3639.0, 1167.0)","(3540.0, 1098.0)",120.673
"(2227.0, 3504.0)","(2304.0, 3600.0)",123.065
"(3749.0, 2361.0)","(3684.0, 2472.0)",128.631
"(3819.0, 2032.0)","(3900.0, 1932.0)",128.69
"(3563.0, 2532.0)","(3432.0, 2526.0)",131.137
"(2331.0, 2425.0)","(2254.0, 2534.0)",133.454
"(3406.0, 1106.0)","(3540.0, 1098.0)",134.239
"(3407.0, 1076.0)","(3540.0, 1098.0)",134.807
"(3333.0, 2431.0)","(3432.0, 2526.0)",137.208
