og_coord,goldstar_coord,dist
"(2485.0, 3969.0)","(2508.0, 3918.0)",55.946
"(3020.0, 3482.0)","(2994.0, 3426.0)",61.741
"(3051.0, 1397.0)","(3024.0, 1338.0)",64.885
"(3526.0, 1031.0)","(3540.0, 1098.0)",68.447
"(1617.0, 3074.0)","(1554.0, 3102.0)",68.942
"(2933.0, 3462.0)","(2994.0, 3426.0)",70.831
"(2437.0, 3900.0)","(2508.0, 3918.0)",73.246
"(3053.0, 3376.0)","(2994.0, 3426.0)",77.337
"(2429.0, 3937.0)","(2508.0, 3918.0)",81.253
"(3110.0, 1329.0)","(3024.0, 1338.0)",86.47
"(3041.0, 3347.0)","(2994.0, 3426.0)",91.924
"(3567.0, 1010.0)","(3540.0, 1098.0)",92.049
"(3604.0, 1168.0)","(3540.0, 1098.0)",94.847
"(2413.0, 3921.0)","(2508.0, 3918.0)",95.047
"(2346.0, 2510.0)","(2254.0, 2534.0)",95.079
"(2929.0, 1328.0)","(3024.0, 1338.0)",95.525
"(2922.0, 3489.0)","(2994.0, 3426.0)",95.671
"(2897.0, 3422.0)","(2994.0, 3426.0)",97.082
"(2556.0, 3831.0)","(2508.0, 3918.0)",99.363
"(3613.0, 2542.0)","(3684.0, 2472.0)",99.705
"(3613.0, 1167.0)","(3540.0, 1098.0)",100.449
"(2441.0, 3993.0)","(2508.0, 3918.0)",100.568
"(2538.0, 3822.0)","(2508.0, 3918.0)",100.578
"(2918.0, 1840.0)","(3006.0, 1788.0)",102.215
"(1651.0, 3069.0)","(1554.0, 3102.0)",102.46
"(3040.0, 3518.0)","(2994.0, 3426.0)",102.859
"(3071.0, 1432.0)","(3024.0, 1338.0)",105.095
"(3325.0, 2511.0)","(3432.0, 2526.0)",108.046
"(3089.0, 3374.0)","(2994.0, 3426.0)",108.301
"(1450.0, 3056.0)","(1554.0, 3102.0)",113.719
"(3055.0, 3330.0)","(2994.0, 3426.0)",113.741
"(3721.0, 2580.0)","(3684.0, 2472.0)",114.162
"(3540.0, 2475.0)","(3432.0, 2526.0)",119.436
"(3702.0, 2353.0)","(3684.0, 2472.0)",120.354
"(3753.0, 2576.0)","(3684.0, 2472.0)",124.808
"(3151.0, 1332.0)","(3024.0, 1338.0)",127.142
"(3802.0, 1848.0)","(3900.0, 1932.0)",129.074
"(2935.0, 1432.0)","(3024.0, 1338.0)",129.449
"(3987.0, 1831.0)","(3900.0, 1932.0)",133.304
"(2198.0, 3690.0)","(2304.0, 3600.0)",139.054
"(1418.0, 3138.0)","(1554.0, 3102.0)",140.684
"(1525.0, 3240.0)","(1554.0, 3102.0)",141.014
"(2163.0, 3620.0)","(2304.0, 3600.0)",142.411
"(3872.0, 1792.0)","(3900.0, 1932.0)",142.773
"(3044.0, 3291.0)","(2994.0, 3426.0)",143.962
"(3105.0, 3520.0)","(2994.0, 3426.0)",145.454
"(2175.0, 3669.0)","(2304.0, 3600.0)",146.294
"(1629.0, 2975.0)","(1554.0, 3102.0)",147.492
"(3856.0, 2074.0)","(3900.0, 1932.0)",148.661
"(3828.0, 2428.0)","(3684.0, 2472.0)",150.572
"(3983.0, 1802.0)","(3900.0, 1932.0)",154.237
"(2912.0, 2828.0)","(3030.0, 2928.0)",154.674
"(3481.0, 2674.0)","(3432.0, 2526.0)",155.901
"(3688.0, 2315.0)","(3684.0, 2472.0)",157.051
"(3131.0, 1884.0)","(3006.0, 1788.0)",157.61
"(2512.0, 4076.0)","(2508.0, 3918.0)",158.051
"(3906.0, 1774.0)","(3900.0, 1932.0)",158.114
"(3682.0, 2631.0)","(3684.0, 2472.0)",159.013
"(3383.0, 1071.0)","(3540.0, 1098.0)",159.305
"(3307.0, 2625.0)","(3432.0, 2526.0)",159.455
"(3653.0, 2632.0)","(3684.0, 2472.0)",162.975
"(1709.0, 3165.0)","(1554.0, 3102.0)",167.314
"(2386.0, 2427.0)","(2254.0, 2534.0)",169.921
"(3419.0, 2696.0)","(3432.0, 2526.0)",170.496
"(3166.0, 1723.0)","(3006.0, 1788.0)",172.699
"(3053.0, 1167.0)","(3024.0, 1338.0)",173.442
"(2314.0, 717.0)","(2478.0, 774.0)",173.623
"(2311.0, 3777.0)","(2304.0, 3600.0)",177.138
"(1697.0, 3207.0)","(1554.0, 3102.0)",177.409
"(1711.0, 3190.0)","(1554.0, 3102.0)",179.981
"(3770.0, 1805.0)","(3900.0, 1932.0)",181.739
"(1709.0, 3198.0)","(1554.0, 3102.0)",182.321
"(3151.0, 3071.0)","(3030.0, 2928.0)",187.323
"(2091.0, 2632.0)","(2254.0, 2534.0)",190.192
"(2391.0, 2670.0)","(2254.0, 2534.0)",193.041
"(2853.0, 1670.0)","(3006.0, 1788.0)",193.217
"(3669.0, 2279.0)","(3684.0, 2472.0)",193.582
"(3143.0, 3301.0)","(2994.0, 3426.0)",194.489
"(2646.0, 872.0)","(2478.0, 774.0)",194.494
"(2296.0, 3404.0)","(2304.0, 3600.0)",196.163
"(3797.0, 2101.0)","(3900.0, 1932.0)",197.914
"(3079.0, 3606.0)","(2994.0, 3426.0)",199.06
"(3717.0, 1194.0)","(3540.0, 1098.0)",201.358
"(2815.0, 3328.0)","(2994.0, 3426.0)",204.071
"(3221.0, 2854.0)","(3030.0, 2928.0)",204.834
"(3849.0, 2349.0)","(3684.0, 2472.0)",205.801
"(2796.0, 3364.0)","(2994.0, 3426.0)",207.48
"(3020.0, 2719.0)","(3030.0, 2928.0)",209.239
"(3885.0, 2531.0)","(3684.0, 2472.0)",209.48
"(2923.0, 3228.0)","(2994.0, 3426.0)",210.345
"(3114.0, 3600.0)","(2994.0, 3426.0)",211.367
"(2416.0, 3420.0)","(2304.0, 3600.0)",212.0
"(3063.0, 1995.0)","(3006.0, 1788.0)",214.704
"(2817.0, 2895.0)","(3030.0, 2928.0)",215.541
"(3011.0, 1570.0)","(3006.0, 1788.0)",218.057
"(2679.0, 4055.0)","(2508.0, 3918.0)",219.112
