og_coord,goldstar_coord,dist
"(4.286, 3.272)","(4.305, 3.23)",0.046
"(4.874, 1.468)","(4.823, 1.509)",0.065
"(4.904, 1.487)","(4.823, 1.509)",0.084
"(2.012, 6.832)","(1.954, 6.761)",0.092
"(1.881, 7.458)","(1.864, 7.367)",0.092
"(4.277, 3.135)","(4.305, 3.23)",0.099
"(1.151, 10.876)","(1.221, 10.949)",0.101
"(3.85, 5.615)","(3.756, 5.653)",0.102
"(4.728, 1.471)","(4.823, 1.509)",0.102
"(4.784, 1.411)","(4.823, 1.509)",0.106
"(5.575, 2.465)","(5.512, 2.554)",0.109
"(4.512, 3.763)","(4.494, 3.653)",0.111
"(5.412, 2.498)","(5.512, 2.554)",0.115
"(1.913, 6.872)","(1.954, 6.761)",0.118
"(4.703, 1.512)","(4.823, 1.509)",0.12
"(4.345, 3.111)","(4.305, 3.23)",0.125
"(4.875, 1.625)","(4.823, 1.509)",0.128
"(3.629, 5.673)","(3.756, 5.653)",0.129
"(4.54, 3.774)","(4.494, 3.653)",0.129
"(3.883, 5.61)","(3.756, 5.653)",0.134
"(4.452, 3.525)","(4.494, 3.653)",0.134
"(1.559, 10.493)","(1.505, 10.616)",0.135
"(2.252, 6.652)","(2.134, 6.73)",0.141
"(4.852, 1.648)","(4.823, 1.509)",0.142
"(2.076, 6.862)","(2.134, 6.73)",0.144
"(1.042, 9.188)","(0.995, 9.05)",0.146
"(5.656, 2.501)","(5.512, 2.554)",0.153
"(4.43, 3.794)","(4.494, 3.653)",0.155
"(0.973, 10.745)","(0.815, 10.72)",0.16
"(1.303, 11.089)","(1.221, 10.949)",0.162
"(1.157, 9.073)","(0.995, 9.05)",0.164
"(4.216, 3.091)","(4.305, 3.23)",0.165
"(1.331, 10.826)","(1.221, 10.949)",0.165
"(3.657, 5.791)","(3.756, 5.653)",0.17
"(1.345, 9.613)","(1.243, 9.473)",0.173
"(2.289, 6.424)","(2.134, 6.505)",0.175
"(3.82, 5.484)","(3.756, 5.653)",0.181
"(2.313, 6.7)","(2.134, 6.73)",0.181
"(1.126, 11.105)","(1.221, 10.949)",0.182
"(4.136, 3.303)","(4.305, 3.23)",0.184
"(5.407, 2.706)","(5.512, 2.554)",0.185
"(5.566, 2.735)","(5.512, 2.554)",0.188
"(4.633, 1.506)","(4.823, 1.509)",0.19
"(2.813, 4.951)","(2.976, 4.851)",0.191
"(1.03, 10.942)","(1.221, 10.949)",0.191
"(4.363, 3.047)","(4.305, 3.23)",0.192
"(2.048, 6.929)","(1.954, 6.761)",0.193
"(4.182, 3.081)","(4.305, 3.23)",0.193
"(4.495, 3.19)","(4.305, 3.23)",0.194
"(0.988, 10.631)","(0.815, 10.72)",0.194
"(4.499, 3.236)","(4.305, 3.23)",0.195
"(4.632, 1.458)","(4.823, 1.509)",0.198
"(1.423, 9.379)","(1.243, 9.473)",0.203
"(1.029, 11.018)","(1.221, 10.949)",0.204
