og_coord,goldstar_coord,dist
"(3.8, 5.595)","(3.756, 5.653)",0.073
"(4.305, 3.153)","(4.305, 3.23)",0.077
"(5.519, 2.632)","(5.512, 2.554)",0.078
"(5.474, 2.627)","(5.512, 2.554)",0.082
"(3.846, 5.664)","(3.756, 5.653)",0.091
"(4.227, 3.277)","(4.305, 3.23)",0.091
"(4.374, 3.295)","(4.305, 3.23)",0.095
"(5.449, 2.483)","(5.512, 2.554)",0.095
"(4.729, 1.479)","(4.823, 1.509)",0.099
"(4.405, 3.61)","(4.494, 3.653)",0.099
"(0.914, 10.73)","(0.815, 10.72)",0.1
"(0.898, 11.137)","(0.865, 11.233)",0.102
"(4.236, 3.154)","(4.305, 3.23)",0.103
"(4.27, 3.131)","(4.305, 3.23)",0.105
"(2.18, 6.635)","(2.134, 6.73)",0.106
"(4.208, 3.278)","(4.305, 3.23)",0.108
"(4.215, 3.166)","(4.305, 3.23)",0.11
"(4.32, 3.119)","(4.305, 3.23)",0.112
"(1.41, 10.556)","(1.505, 10.616)",0.112
"(4.385, 3.682)","(4.494, 3.653)",0.113
"(2.083, 6.831)","(2.134, 6.73)",0.113
"(4.196, 3.27)","(4.305, 3.23)",0.116
"(2.194, 6.608)","(2.134, 6.505)",0.119
"(4.489, 3.532)","(4.494, 3.653)",0.121
"(0.928, 10.766)","(0.815, 10.72)",0.122
"(4.218, 3.143)","(4.305, 3.23)",0.123
"(1.419, 10.527)","(1.505, 10.616)",0.124
"(4.216, 3.318)","(4.305, 3.23)",0.125
"(4.706, 1.464)","(4.823, 1.509)",0.125
"(5.507, 2.681)","(5.512, 2.554)",0.127
"(2.046, 6.851)","(1.954, 6.761)",0.129
"(4.178, 3.257)","(4.305, 3.23)",0.13
"(4.428, 3.538)","(4.494, 3.653)",0.133
"(4.466, 3.523)","(4.494, 3.653)",0.133
"(0.928, 11.115)","(0.865, 11.233)",0.134
"(0.948, 10.736)","(0.815, 10.72)",0.134
"(1.146, 10.838)","(1.221, 10.949)",0.134
"(1.189, 10.818)","(1.221, 10.949)",0.135
"(4.26, 3.102)","(4.305, 3.23)",0.136
"(3.865, 5.568)","(3.756, 5.653)",0.138
"(4.387, 3.565)","(4.494, 3.653)",0.139
"(4.191, 3.311)","(4.305, 3.23)",0.14
"(1.117, 10.853)","(1.221, 10.949)",0.142
"(2.25, 6.588)","(2.134, 6.505)",0.143
"(4.236, 3.105)","(4.305, 3.23)",0.143
"(3.903, 5.642)","(3.756, 5.653)",0.147
"(1.995, 7.437)","(1.864, 7.367)",0.149
"(4.286, 3.082)","(4.305, 3.23)",0.149
"(0.883, 11.081)","(0.865, 11.233)",0.153
"(4.47, 3.501)","(4.494, 3.653)",0.154
"(1.097, 10.856)","(1.221, 10.949)",0.155
"(2.273, 6.574)","(2.134, 6.505)",0.155
"(2.018, 6.905)","(1.954, 6.761)",0.158
"(4.457, 3.277)","(4.305, 3.23)",0.159
"(0.946, 10.628)","(0.815, 10.72)",0.16
"(4.162, 3.304)","(4.305, 3.23)",0.161
"(1.221, 9.313)","(1.243, 9.473)",0.162
"(1.097, 9.399)","(1.243, 9.473)",0.164
"(2.045, 6.899)","(1.954, 6.761)",0.165
"(1.123, 10.81)","(1.221, 10.949)",0.17
"(0.869, 11.061)","(0.865, 11.233)",0.172
"(1.376, 10.874)","(1.221, 10.949)",0.172
"(2.286, 6.646)","(2.134, 6.73)",0.174
"(2.268, 6.619)","(2.134, 6.73)",0.174
"(0.935, 10.847)","(0.815, 10.72)",0.175
"(1.097, 9.376)","(1.243, 9.473)",0.175
"(3.914, 5.574)","(3.756, 5.653)",0.177
"(2.011, 7.468)","(1.864, 7.367)",0.178
"(1.135, 11.106)","(1.221, 10.949)",0.179
"(3.937, 5.635)","(3.756, 5.653)",0.182
"(3.938, 5.653)","(3.756, 5.653)",0.182
"(4.983, 1.61)","(4.823, 1.509)",0.189
"(4.639, 1.463)","(4.823, 1.509)",0.19
"(4.634, 1.481)","(4.823, 1.509)",0.191
"(2.309, 6.583)","(2.134, 6.505)",0.192
"(1.385, 10.849)","(1.221, 10.949)",0.192
"(1.041, 10.881)","(1.221, 10.949)",0.192
"(2.036, 7.273)","(1.864, 7.367)",0.196
"(1.372, 10.824)","(1.221, 10.949)",0.196
"(1.376, 11.072)","(1.221, 10.949)",0.198
"(3.944, 5.586)","(3.756, 5.653)",0.2
"(4.421, 3.466)","(4.494, 3.653)",0.201
"(1.423, 10.948)","(1.221, 10.949)",0.202
"(1.919, 6.962)","(1.954, 6.761)",0.204
"(1.019, 10.712)","(0.815, 10.72)",0.204
"(2.306, 6.617)","(2.134, 6.505)",0.205
"(2.336, 6.685)","(2.134, 6.73)",0.207
"(4.512, 3.265)","(4.305, 3.23)",0.21
"(4.207, 3.044)","(4.305, 3.23)",0.21
"(1.167, 11.153)","(1.221, 10.949)",0.211
"(1.41, 10.854)","(1.221, 10.949)",0.212
"(3.95, 5.568)","(3.756, 5.653)",0.212
"(1.065, 10.804)","(1.221, 10.949)",0.213
"(1.227, 11.162)","(1.221, 10.949)",0.213
"(1.0, 10.829)","(0.815, 10.72)",0.215
"(4.819, 1.725)","(4.823, 1.509)",0.216
"(3.941, 5.541)","(3.756, 5.653)",0.216
"(1.414, 11.047)","(1.221, 10.949)",0.216
"(1.437, 10.93)","(1.221, 10.949)",0.217
"(1.387, 10.809)","(1.221, 10.949)",0.217
"(0.998, 10.838)","(0.815, 10.72)",0.218
"(1.014, 10.809)","(0.815, 10.72)",0.218
"(5.392, 2.736)","(5.512, 2.554)",0.218
"(1.097, 10.768)","(1.221, 10.949)",0.219
"(1.194, 11.167)","(1.221, 10.949)",0.22
"(1.02, 10.854)","(1.221, 10.949)",0.222
"(2.331, 6.611)","(2.134, 6.505)",0.224
"(1.095, 9.302)","(1.243, 9.473)",0.226
"(1.032, 10.824)","(1.221, 10.949)",0.227
"(1.077, 9.315)","(1.243, 9.473)",0.229
"(0.968, 10.892)","(0.815, 10.72)",0.23
"(5.691, 2.408)","(5.512, 2.554)",0.231
"(1.444, 10.883)","(1.221, 10.949)",0.233
"(4.179, 3.034)","(4.305, 3.23)",0.233
"(1.045, 10.761)","(0.815, 10.72)",0.234
"(1.347, 11.146)","(1.221, 10.949)",0.234
"(1.392, 11.11)","(1.221, 10.949)",0.235
"(1.482, 9.482)","(1.243, 9.473)",0.239
"(1.221, 11.189)","(1.221, 10.949)",0.24
"(1.489, 9.511)","(1.243, 9.473)",0.249
"(1.459, 10.874)","(1.221, 10.949)",0.25
"(4.208, 2.999)","(4.305, 3.23)",0.251
"(1.273, 10.516)","(1.505, 10.616)",0.253
"(4.571, 1.527)","(4.823, 1.509)",0.253
"(1.163, 11.195)","(1.221, 10.949)",0.253
"(1.117, 11.18)","(1.221, 10.949)",0.253
"(1.498, 9.453)","(1.243, 9.473)",0.256
"(1.104, 9.689)","(1.243, 9.473)",0.257
"(1.437, 11.088)","(1.221, 10.949)",0.257
"(3.775, 5.91)","(3.756, 5.653)",0.258
"(5.697, 2.373)","(5.512, 2.554)",0.259
"(3.231, 4.805)","(2.976, 4.851)",0.259
"(0.998, 10.532)","(0.815, 10.72)",0.262
"(1.23, 9.736)","(1.243, 9.473)",0.263
"(5.623, 2.793)","(5.512, 2.554)",0.264
"(3.529, 5.788)","(3.756, 5.653)",0.264
"(1.124, 10.703)","(1.221, 10.949)",0.264
"(4.177, 2.997)","(4.305, 3.23)",0.266
"(3.505, 5.752)","(3.756, 5.653)",0.27
"(2.381, 6.396)","(2.134, 6.505)",0.27
"(1.485, 9.593)","(1.243, 9.473)",0.27
"(5.241, 2.55)","(5.512, 2.554)",0.271
"(4.55, 1.519)","(4.823, 1.509)",0.273
"(2.027, 7.025)","(1.954, 6.761)",0.274
"(4.55, 1.483)","(4.823, 1.509)",0.274
"(5.239, 2.509)","(5.512, 2.554)",0.277
"(1.32, 9.207)","(1.243, 9.473)",0.277
"(5.235, 2.538)","(5.512, 2.554)",0.277
"(1.218, 11.227)","(1.221, 10.949)",0.278
"(1.268, 9.117)","(0.995, 9.05)",0.281
"(5.438, 2.282)","(5.512, 2.554)",0.282
"(1.277, 9.092)","(0.995, 9.05)",0.285
"(5.227, 2.568)","(5.512, 2.554)",0.285
"(3.251, 4.766)","(2.976, 4.851)",0.288
"(2.144, 7.293)","(1.864, 7.367)",0.29
"(1.108, 10.678)","(1.221, 10.949)",0.294
"(5.707, 2.774)","(5.512, 2.554)",0.294
"(1.288, 9.014)","(0.995, 9.05)",0.295
"(3.491, 5.788)","(3.756, 5.653)",0.297
"(5.216, 2.524)","(5.512, 2.554)",0.298
"(5.293, 2.756)","(5.512, 2.554)",0.298
"(4.007, 3.266)","(4.305, 3.23)",0.3
"(1.166, 11.249)","(0.865, 11.233)",0.301
"(4.014, 3.309)","(4.305, 3.23)",0.302
"(3.839, 5.363)","(3.756, 5.653)",0.302
"(1.284, 9.173)","(1.243, 9.473)",0.303
"(2.426, 6.423)","(2.134, 6.505)",0.303
"(5.417, 2.265)","(5.512, 2.554)",0.304
"(5.207, 2.55)","(5.512, 2.554)",0.305
"(5.213, 2.483)","(5.512, 2.554)",0.307
"(1.191, 11.255)","(1.221, 10.949)",0.307
"(4.197, 3.518)","(4.305, 3.23)",0.308
"(1.356, 9.761)","(1.243, 9.473)",0.309
"(3.724, 5.345)","(3.756, 5.653)",0.31
"(2.144, 7.232)","(1.864, 7.367)",0.311
"(1.306, 9.052)","(0.995, 9.05)",0.311
"(5.357, 2.284)","(5.512, 2.554)",0.311
"(5.339, 2.295)","(5.512, 2.554)",0.311
"(5.293, 2.776)","(5.512, 2.554)",0.312
"(1.324, 9.171)","(1.243, 9.473)",0.313
"(1.072, 10.541)","(0.815, 10.72)",0.313
"(1.198, 10.554)","(1.505, 10.616)",0.313
"(2.05, 7.061)","(1.954, 6.761)",0.315
"(1.191, 10.59)","(1.505, 10.616)",0.315
"(3.279, 4.762)","(2.976, 4.851)",0.316
"(1.172, 10.636)","(1.221, 10.949)",0.317
"(3.287, 4.785)","(2.976, 4.851)",0.318
"(4.411, 3.963)","(4.494, 3.653)",0.321
"(3.455, 5.766)","(3.756, 5.653)",0.322
