og_coord,goldstar_coord,dist
"(3823.0, 2850.0)","(3827.143, 2871.468)",21.864
"(4871.0, 2260.0)","(4900.165, 2270.505)",30.999
"(4927.0, 2240.0)","(4900.165, 2270.505)",40.628
"(4244.0, 1391.0)","(4287.645, 1341.5)",65.993
"(4338.0, 1394.0)","(4287.645, 1341.5)",72.745
"(4264.0, 1267.0)","(4287.645, 1341.5)",78.162
"(4295.0, 1429.0)","(4287.645, 1341.5)",87.809
"(3775.0, 2783.0)","(3827.143, 2871.468)",102.691
"(3837.0, 2977.0)","(3827.143, 2871.468)",105.991
"(4215.0, 1422.0)","(4287.645, 1341.5)",108.432
"(2637.0, 4191.0)","(2645.663, 4312.537)",121.845
"(4168.0, 1307.0)","(4287.645, 1341.5)",124.52
"(4403.0, 1283.0)","(4287.645, 1341.5)",129.341
"(3948.0, 2796.0)","(3827.143, 2871.468)",142.485
"(4872.0, 2411.0)","(4900.165, 2270.505)",143.29
"(4386.0, 1232.0)","(4287.645, 1341.5)",147.187
"(4435.0, 1353.0)","(4287.645, 1341.5)",147.803
"(4967.0, 2132.0)","(4900.165, 2270.505)",153.787
"(2671.0, 4159.0)","(2645.663, 4312.537)",155.614
"(4791.0, 2395.0)","(4900.165, 2270.505)",165.578
"(5025.0, 2152.0)","(4900.165, 2270.505)",172.126
"(4324.0, 1510.0)","(4287.645, 1341.5)",172.377
"(4461.0, 1397.0)","(4287.645, 1341.5)",182.023
"(3656.0, 2800.0)","(3827.143, 2871.468)",185.466
"(3908.0, 3083.0)","(3995.164, 3247.515)",186.179
"(3764.0, 3060.0)","(3827.143, 2871.468)",198.825
"(3939.0, 3036.0)","(3827.143, 2871.468)",198.954
"(5048.0, 2136.0)","(4900.165, 2270.505)",199.867
"(4412.0, 1498.0)","(4287.645, 1341.5)",199.891
"(3632.0, 2943.0)","(3827.143, 2871.468)",207.84
"(5078.0, 2159.0)","(4900.165, 2270.505)",209.902
"(3843.0, 2658.0)","(3827.143, 2871.468)",214.056
"(4949.0, 2480.0)","(4900.165, 2270.505)",215.112
"(4686.0, 2315.0)","(4900.165, 2270.505)",218.738
"(4072.0, 1383.0)","(4287.645, 1341.5)",219.602
"(3866.0, 2655.0)","(3827.143, 2871.468)",219.928
"(4759.0, 2443.0)","(4900.165, 2270.505)",222.895
"(3646.0, 3008.0)","(3827.143, 2871.468)",226.834
"(4151.0, 1534.0)","(4287.645, 1341.5)",236.068
"(5072.0, 2435.0)","(4900.165, 2270.505)",237.878
"(4054.0, 2797.0)","(3827.143, 2871.468)",238.767
"(2812.0, 4139.0)","(2645.663, 4312.537)",240.381
"(3632.0, 2727.0)","(3827.143, 2871.468)",242.8
"(5028.0, 2480.0)","(4900.165, 2270.505)",245.418
"(4198.0, 3107.0)","(3995.164, 3247.515)",246.753
"(4707.0, 2432.0)","(4900.165, 2270.505)",251.78
"(3939.0, 2643.0)","(3827.143, 2871.468)",254.381
"(3795.0, 2617.0)","(3827.143, 2871.468)",256.49
"(4451.0, 1548.0)","(4287.645, 1341.5)",263.3
"(4469.0, 1536.0)","(4287.645, 1341.5)",265.932
"(4749.0, 2490.0)","(4900.165, 2270.505)",266.512
"(4551.0, 1292.0)","(4287.645, 1341.5)",267.967
"(3653.0, 2664.0)","(3827.143, 2871.468)",270.867
"(2402.0, 4185.0)","(2645.663, 4312.537)",275.022
"(3588.0, 2733.0)","(3827.143, 2871.468)",276.338
"(4892.0, 2547.0)","(4900.165, 2270.505)",276.616
"(5037.0, 2515.0)","(4900.165, 2270.505)",280.181
"(2563.0, 4044.0)","(2645.663, 4312.537)",280.972
"(4960.0, 2546.0)","(4900.165, 2270.505)",281.918
"(4093.0, 1546.0)","(4287.645, 1341.5)",282.324
"(4097.0, 2961.0)","(3827.143, 2871.468)",284.322
"(4003.0, 1367.0)","(4287.645, 1341.5)",285.785
"(3588.0, 3033.0)","(3827.143, 2871.468)",288.586
"(4067.0, 1530.0)","(4287.645, 1341.5)",290.201
"(5183.0, 2199.0)","(4900.165, 2270.505)",291.734
"(4057.0, 1162.0)","(4287.645, 1341.5)",292.262
"(5054.0, 2527.0)","(4900.165, 2270.505)",299.09
"(2605.0, 4015.0)","(2645.663, 4312.537)",300.303
"(4266.0, 3112.0)","(3995.164, 3247.515)",302.847
"(3715.0, 2588.0)","(3827.143, 2871.468)",304.844
