og_coord,goldstar_coord,dist
"(2.225, 1.384)","(2.239, 1.417)",0.036
"(2.2, 1.425)","(2.239, 1.417)",0.039
"(1.67, 1.725)","(1.705, 1.761)",0.05
"(1.959, 1.628)","(1.899, 1.632)",0.06
"(1.633, 1.759)","(1.705, 1.761)",0.073
"(1.845, 1.575)","(1.899, 1.632)",0.079
"(0.61, 0.969)","(0.529, 0.969)",0.081
"(1.867, 1.557)","(1.899, 1.632)",0.081
"(1.899, 1.548)","(1.899, 1.632)",0.084
"(1.627, 1.727)","(1.705, 1.761)",0.085
"(0.992, 0.903)","(0.966, 0.821)",0.086
"(1.884, 1.716)","(1.899, 1.632)",0.086
"(2.199, 1.494)","(2.239, 1.417)",0.087
"(1.779, 1.711)","(1.705, 1.761)",0.089
"(1.958, 1.562)","(1.899, 1.632)",0.091
"(0.613, 0.932)","(0.529, 0.969)",0.092
"(2.095, 1.689)","(2.078, 1.779)",0.092
"(1.988, 1.606)","(1.899, 1.632)",0.092
"(1.768, 1.694)","(1.705, 1.761)",0.092
"(0.624, 0.99)","(0.529, 0.969)",0.097
"(1.645, 1.683)","(1.705, 1.761)",0.098
"(2.016, 1.701)","(2.078, 1.779)",0.1
"(2.156, 1.474)","(2.239, 1.417)",0.101
"(1.061, 0.859)","(0.966, 0.821)",0.102
"(0.918, 0.912)","(0.966, 0.821)",0.103
"(2.187, 1.508)","(2.239, 1.417)",0.105
"(2.065, 1.884)","(2.078, 1.779)",0.106
"(2.185, 1.792)","(2.078, 1.779)",0.107
"(1.676, 1.657)","(1.705, 1.761)",0.108
"(1.603, 1.728)","(1.705, 1.761)",0.108
"(2.188, 1.776)","(2.078, 1.779)",0.111
"(2.102, 1.889)","(2.078, 1.779)",0.113
"(2.159, 1.499)","(2.239, 1.417)",0.114
"(0.569, 1.079)","(0.529, 0.969)",0.118
"(1.768, 1.662)","(1.705, 1.761)",0.118
"(1.031, 0.921)","(0.966, 0.821)",0.119
"(2.007, 1.683)","(1.899, 1.632)",0.119
"(2.127, 1.462)","(2.239, 1.417)",0.121
"(1.782, 1.667)","(1.705, 1.761)",0.122
"(1.892, 1.509)","(1.899, 1.632)",0.123
"(1.778, 1.6)","(1.899, 1.632)",0.126
"(0.843, 0.786)","(0.966, 0.821)",0.129
"(2.185, 1.534)","(2.239, 1.417)",0.129
"(0.653, 0.931)","(0.529, 0.969)",0.13
"(2.201, 1.729)","(2.078, 1.779)",0.133
"(1.897, 1.499)","(1.899, 1.632)",0.133
"(1.089, 0.77)","(0.966, 0.821)",0.133
"(2.212, 1.778)","(2.078, 1.779)",0.134
"(0.535, 0.831)","(0.529, 0.969)",0.138
"(0.92, 0.952)","(0.966, 0.821)",0.139
"(0.862, 0.914)","(0.966, 0.821)",0.14
"(0.646, 0.892)","(0.529, 0.969)",0.14
"(2.099, 1.4)","(2.239, 1.417)",0.141
"(0.61, 1.084)","(0.529, 0.969)",0.141
"(2.09, 1.636)","(2.078, 1.779)",0.143
"(1.054, 0.706)","(0.966, 0.821)",0.145
"(1.585, 1.68)","(1.705, 1.761)",0.145
"(2.218, 1.74)","(2.078, 1.779)",0.145
"(1.112, 0.807)","(0.966, 0.821)",0.146
"(1.049, 0.944)","(0.966, 0.821)",0.147
"(2.152, 1.649)","(2.078, 1.779)",0.149
"(0.995, 0.675)","(0.966, 0.821)",0.15
"(1.758, 1.579)","(1.899, 1.632)",0.151
"(1.933, 1.484)","(1.899, 1.632)",0.152
"(0.68, 0.98)","(0.529, 0.969)",0.152
"(0.835, 0.743)","(0.966, 0.821)",0.153
"(1.854, 1.8)","(1.705, 1.761)",0.153
"(1.933, 1.835)","(2.078, 1.779)",0.155
"(2.212, 1.863)","(2.078, 1.779)",0.158
"(2.046, 1.566)","(1.899, 1.632)",0.16
"(1.543, 1.768)","(1.705, 1.761)",0.162
"(0.839, 0.721)","(0.966, 0.821)",0.162
"(1.54, 1.767)","(1.705, 1.761)",0.165
"(2.21, 1.88)","(2.078, 1.779)",0.166
"(2.092, 1.336)","(2.239, 1.417)",0.167
"(1.052, 0.966)","(0.966, 0.821)",0.168
"(1.794, 1.5)","(1.899, 1.632)",0.168
"(2.236, 1.847)","(2.078, 1.779)",0.172
"(1.832, 1.473)","(1.899, 1.632)",0.172
"(0.985, 0.65)","(0.966, 0.821)",0.172
"(2.084, 1.339)","(2.239, 1.417)",0.174
"(2.21, 1.666)","(2.078, 1.779)",0.174
"(1.909, 1.822)","(2.078, 1.779)",0.175
"(2.063, 1.403)","(2.239, 1.417)",0.176
"(1.528, 1.767)","(1.705, 1.761)",0.177
"(0.642, 1.105)","(0.529, 0.969)",0.177
"(0.807, 0.74)","(0.966, 0.821)",0.179
"(0.81, 0.734)","(0.966, 0.821)",0.179
"(0.798, 0.749)","(0.966, 0.821)",0.183
"(1.522, 1.783)","(1.705, 1.761)",0.184
"(1.893, 1.446)","(1.899, 1.632)",0.186
"(2.175, 1.62)","(2.078, 1.779)",0.186
"(2.142, 1.601)","(2.078, 1.779)",0.189
"(1.156, 0.854)","(0.966, 0.821)",0.192
"(1.128, 0.929)","(0.966, 0.821)",0.194
"(2.202, 1.629)","(2.078, 1.779)",0.194
"(1.105, 0.958)","(0.966, 0.821)",0.195
"(1.749, 1.508)","(1.899, 1.632)",0.195
"(1.545, 1.651)","(1.705, 1.761)",0.195
"(2.177, 1.604)","(2.239, 1.417)",0.197
"(2.03, 1.484)","(1.899, 1.632)",0.197
"(1.12, 0.695)","(0.966, 0.821)",0.199
"(1.509, 1.793)","(1.705, 1.761)",0.199
"(1.814, 1.452)","(1.899, 1.632)",0.199
"(0.506, 0.77)","(0.529, 0.969)",0.2
"(1.816, 1.45)","(1.899, 1.632)",0.2
"(2.11, 1.577)","(2.078, 1.779)",0.204
"(1.142, 0.929)","(0.966, 0.821)",0.206
"(0.459, 0.772)","(0.529, 0.969)",0.209
"(0.793, 0.695)","(0.966, 0.821)",0.214
"(1.115, 0.975)","(0.966, 0.821)",0.214
"(1.797, 1.442)","(1.899, 1.632)",0.215
"(1.105, 0.655)","(0.966, 0.821)",0.217
"(0.753, 0.784)","(0.966, 0.821)",0.217
"(0.455, 0.761)","(0.529, 0.969)",0.22
"(1.133, 0.675)","(0.966, 0.821)",0.221
"(1.834, 1.419)","(1.899, 1.632)",0.222
"(2.029, 1.341)","(2.239, 1.417)",0.223
"(1.851, 1.413)","(1.899, 1.632)",0.224
"(2.027, 1.334)","(2.239, 1.417)",0.228
"(0.55, 0.74)","(0.529, 0.969)",0.229
"(0.665, 0.782)","(0.529, 0.969)",0.23
"(1.87, 1.925)","(1.705, 1.761)",0.232
"(1.015, 1.05)","(0.966, 0.821)",0.233
"(1.177, 0.717)","(0.966, 0.821)",0.235
"(0.448, 0.748)","(0.529, 0.969)",0.235
"(1.045, 1.043)","(0.966, 0.821)",0.236
"(1.189, 0.742)","(0.966, 0.821)",0.236
"(1.118, 0.637)","(0.966, 0.821)",0.239
"(1.695, 1.504)","(1.899, 1.632)",0.241
"(1.158, 0.674)","(0.966, 0.821)",0.242
"(0.711, 0.809)","(0.529, 0.969)",0.242
"(1.177, 0.698)","(0.966, 0.821)",0.244
"(1.206, 0.867)","(0.966, 0.821)",0.244
"(1.106, 0.617)","(0.966, 0.821)",0.247
"(1.878, 1.385)","(1.899, 1.632)",0.248
"(1.217, 0.84)","(0.966, 0.821)",0.251
"(1.117, 1.024)","(0.966, 0.821)",0.253
"(0.463, 0.725)","(0.529, 0.969)",0.253
"(1.462, 1.692)","(1.705, 1.761)",0.253
"(1.912, 1.378)","(1.899, 1.632)",0.254
"(1.803, 1.394)","(1.899, 1.632)",0.257
"(1.994, 1.338)","(2.239, 1.417)",0.257
"(1.072, 1.057)","(0.966, 0.821)",0.259
"(0.723, 0.724)","(0.966, 0.821)",0.262
"(0.704, 0.771)","(0.529, 0.969)",0.264
"(0.37, 0.757)","(0.529, 0.969)",0.265
"(1.079, 0.581)","(0.966, 0.821)",0.265
"(0.712, 0.747)","(0.966, 0.821)",0.265
"(1.445, 1.814)","(1.705, 1.761)",0.265
"(1.441, 1.729)","(1.705, 1.761)",0.266
"(0.68, 0.745)","(0.529, 0.969)",0.27
"(1.074, 0.573)","(0.966, 0.821)",0.271
"(1.434, 1.778)","(1.705, 1.761)",0.272
"(1.213, 0.948)","(0.966, 0.821)",0.277
"(1.845, 1.354)","(1.899, 1.632)",0.283
"(1.201, 0.66)","(0.966, 0.821)",0.285
"(1.215, 0.68)","(0.966, 0.821)",0.286
"(0.771, 0.61)","(0.966, 0.821)",0.287
"(1.092, 1.08)","(0.966, 0.821)",0.288
"(1.422, 1.699)","(1.705, 1.761)",0.29
"(1.417, 1.795)","(1.705, 1.761)",0.29
"(0.346, 0.743)","(0.529, 0.969)",0.291
"(1.419, 1.836)","(1.705, 1.761)",0.296
"(1.928, 1.336)","(1.899, 1.632)",0.297
"(1.233, 0.69)","(0.966, 0.821)",0.297
"(0.955, 0.521)","(0.966, 0.821)",0.3
"(1.188, 1.026)","(0.966, 0.821)",0.301
"(1.112, 1.088)","(0.966, 0.821)",0.304
"(1.091, 0.543)","(0.966, 0.821)",0.305
"(1.157, 0.583)","(0.966, 0.821)",0.305
"(1.084, 0.538)","(0.966, 0.821)",0.306
"(1.257, 0.723)","(0.966, 0.821)",0.307
"(0.371, 0.705)","(0.529, 0.969)",0.308
"(1.101, 1.099)","(0.966, 0.821)",0.309
"(0.392, 0.688)","(0.529, 0.969)",0.312
"(0.668, 0.687)","(0.529, 0.969)",0.314
"(1.598, 1.465)","(1.705, 1.761)",0.315
"(0.844, 0.528)","(0.966, 0.821)",0.317
"(0.811, 0.541)","(0.966, 0.821)",0.32
"(1.98, 1.227)","(2.239, 1.417)",0.321
"(1.607, 1.454)","(1.705, 1.761)",0.323
"(0.324, 0.716)","(0.529, 0.969)",0.326
"(1.671, 1.399)","(1.899, 1.632)",0.326
"(0.787, 0.549)","(0.966, 0.821)",0.326
"(1.1, 0.52)","(0.966, 0.821)",0.33
"(1.881, 1.301)","(1.899, 1.632)",0.331
"(1.795, 1.316)","(1.899, 1.632)",0.332
"(0.815, 0.525)","(0.966, 0.821)",0.333
"(1.208, 1.051)","(0.966, 0.821)",0.333
"(1.788, 1.316)","(1.899, 1.632)",0.334
"(0.876, 0.499)","(0.966, 0.821)",0.335
"(1.819, 1.303)","(1.899, 1.632)",0.338
"(1.628, 1.425)","(1.899, 1.632)",0.341
"(1.891, 1.29)","(1.899, 1.632)",0.342
"(0.511, 0.626)","(0.529, 0.969)",0.343
"(1.904, 1.288)","(1.899, 1.632)",0.343
"(2.02, 1.151)","(2.239, 1.417)",0.345
"(1.204, 1.071)","(0.966, 0.821)",0.345
"(1.582, 1.439)","(1.705, 1.761)",0.345
"(1.986, 1.18)","(2.239, 1.417)",0.346
"(1.644, 1.386)","(1.899, 1.632)",0.354
"(0.538, 0.613)","(0.529, 0.969)",0.356
"(1.614, 1.415)","(1.705, 1.761)",0.358
"(1.15, 1.129)","(0.966, 0.821)",0.358
"(0.357, 0.653)","(0.529, 0.969)",0.36
"(1.935, 1.224)","(2.239, 1.417)",0.36
"(1.934, 1.22)","(2.239, 1.417)",0.362
"(1.937, 1.208)","(2.239, 1.417)",0.367
"(0.267, 0.71)","(0.529, 0.969)",0.369
"(1.159, 1.14)","(0.966, 0.821)",0.372
"(0.662, 0.606)","(0.966, 0.821)",0.373
"(1.164, 1.138)","(0.966, 0.821)",0.373
"(0.551, 0.594)","(0.529, 0.969)",0.375
"(1.352, 0.781)","(0.966, 0.821)",0.388
"(0.781, 0.48)","(0.966, 0.821)",0.389
"(0.536, 0.58)","(0.529, 0.969)",0.389
"(0.275, 0.672)","(0.529, 0.969)",0.391
"(1.529, 1.408)","(1.705, 1.761)",0.394
"(0.74, 0.498)","(0.966, 0.821)",0.395
"(0.448, 0.577)","(0.529, 0.969)",0.4
"(1.37, 0.841)","(0.966, 0.821)",0.404
"(1.15, 1.184)","(0.966, 0.821)",0.406
"(1.635, 1.321)","(1.899, 1.632)",0.408
"(1.499, 1.401)","(1.705, 1.761)",0.415
"(0.412, 0.567)","(0.529, 0.969)",0.418
"(0.764, 0.448)","(0.966, 0.821)",0.424
"(1.288, 1.1)","(0.966, 0.821)",0.426
"(0.533, 0.542)","(0.529, 0.969)",0.427
"(0.583, 0.538)","(0.529, 0.969)",0.434
"(0.589, 0.534)","(0.529, 0.969)",0.439
"(0.759, 0.43)","(0.966, 0.821)",0.443
"(1.609, 1.283)","(1.899, 1.632)",0.454
"(0.46, 0.515)","(0.529, 0.969)",0.459
"(0.257, 0.598)","(0.529, 0.969)",0.459
"(1.437, 0.828)","(0.966, 0.821)",0.471
"(0.607, 0.497)","(0.529, 0.969)",0.478
"(0.716, 0.399)","(0.966, 0.821)",0.491
"(0.645, 0.45)","(0.966, 0.821)",0.491
"(0.466, 0.481)","(0.529, 0.969)",0.492
"(1.621, 1.219)","(1.899, 1.632)",0.498
"(0.45, 0.475)","(0.529, 0.969)",0.5
"(1.478, 1.314)","(1.705, 1.761)",0.502
"(1.864, 1.074)","(2.239, 1.417)",0.508
"(0.436, 0.469)","(0.529, 0.969)",0.509
"(1.737, 1.149)","(1.899, 1.632)",0.509
"(1.497, 1.293)","(1.705, 1.761)",0.512
"(1.478, 0.868)","(0.966, 0.821)",0.513
"(0.594, 0.456)","(0.529, 0.969)",0.517
"(0.506, 0.448)","(0.529, 0.969)",0.521
"(1.459, 1.298)","(1.705, 1.761)",0.525
"(0.358, 0.472)","(0.529, 0.969)",0.526
"(1.489, 0.888)","(0.966, 0.821)",0.527
"(0.348, 0.474)","(0.529, 0.969)",0.527
"(0.68, 0.378)","(0.966, 0.821)",0.528
"(1.876, 1.033)","(2.239, 1.417)",0.528
"(1.494, 0.855)","(0.966, 0.821)",0.529
"(1.655, 1.16)","(1.899, 1.632)",0.531
"(1.473, 1.273)","(1.705, 1.761)",0.541
"(0.42, 0.435)","(0.529, 0.969)",0.544
"(1.731, 1.113)","(1.899, 1.632)",0.545
"(1.507, 0.901)","(0.966, 0.821)",0.546
"(0.481, 0.424)","(0.529, 0.969)",0.547
"(1.355, 1.209)","(0.966, 0.821)",0.549
"(1.41, 1.296)","(1.705, 1.761)",0.551
"(0.653, 0.36)","(0.966, 0.821)",0.558
"(0.404, 0.414)","(0.529, 0.969)",0.569
"(0.44, 0.407)","(0.529, 0.969)",0.569
"(0.566, 0.387)","(0.529, 0.969)",0.583
"(0.69, 0.305)","(0.966, 0.821)",0.586
"(1.759, 1.059)","(1.899, 1.632)",0.59
"(0.536, 0.368)","(0.529, 0.969)",0.601
"(1.413, 1.225)","(0.966, 0.821)",0.602
"(1.697, 1.063)","(1.899, 1.632)",0.604
"(0.54, 0.364)","(0.529, 0.969)",0.605
"(1.471, 1.158)","(0.966, 0.821)",0.607
"(1.47, 1.182)","(0.966, 0.821)",0.619
"(0.433, 0.341)","(0.529, 0.969)",0.634
"(1.715, 1.023)","(1.899, 1.632)",0.635
"(1.596, 0.907)","(0.966, 0.821)",0.636
"(0.372, 0.35)","(0.529, 0.969)",0.638
"(0.544, 0.326)","(0.529, 0.969)",0.643
"(0.504, 0.325)","(0.529, 0.969)",0.644
"(0.424, 0.28)","(0.529, 0.969)",0.697
"(1.653, 0.963)","(0.966, 0.821)",0.701
"(1.671, 0.935)","(0.966, 0.821)",0.714
"(0.471, 0.24)","(0.529, 0.969)",0.731
"(0.465, 0.212)","(0.529, 0.969)",0.759
"(0.391, 0.189)","(0.529, 0.969)",0.792
"(0.35, 0.186)","(0.529, 0.969)",0.803
"(0.389, 0.139)","(0.529, 0.969)",0.841
"(0.334, 0.142)","(0.529, 0.969)",0.85
"(0.353, 0.131)","(0.529, 0.969)",0.856
"(0.427, 0.086)","(0.529, 0.969)",0.888
"(0.232, 0.069)","(0.529, 0.969)",0.947
"(0.18, 0.057)","(0.529, 0.969)",0.976
"(0.105, 0.039)","(0.529, 0.969)",1.022
"(0.003, 0.009)","(0.529, 0.969)",1.095
