og_coord,goldstar_coord,dist
"(0.548, 0.93)","(0.529, 0.969)",0.043
"(0.541, 0.921)","(0.529, 0.969)",0.049
"(1.658, 1.742)","(1.705, 1.761)",0.051
"(0.513, 1.018)","(0.529, 0.969)",0.052
"(1.67, 1.722)","(1.705, 1.761)",0.052
"(0.529, 1.026)","(0.529, 0.969)",0.057
"(1.652, 1.742)","(1.705, 1.761)",0.057
"(0.581, 0.944)","(0.529, 0.969)",0.058
"(1.948, 1.596)","(1.899, 1.632)",0.06
"(1.845, 1.658)","(1.899, 1.632)",0.061
"(0.568, 0.921)","(0.529, 0.969)",0.062
"(0.499, 1.023)","(0.529, 0.969)",0.062
"(0.505, 0.909)","(0.529, 0.969)",0.064
"(1.65, 1.728)","(1.705, 1.761)",0.064
"(0.517, 0.906)","(0.529, 0.969)",0.064
"(1.941, 1.582)","(1.899, 1.632)",0.065
"(1.67, 1.707)","(1.705, 1.761)",0.065
"(1.676, 1.703)","(1.705, 1.761)",0.066
"(2.189, 1.46)","(2.239, 1.417)",0.066
"(1.663, 1.709)","(1.705, 1.761)",0.067
"(1.015, 0.772)","(0.966, 0.821)",0.069
"(1.839, 1.665)","(1.899, 1.632)",0.069
"(0.486, 1.022)","(0.529, 0.969)",0.069
"(1.959, 1.594)","(1.899, 1.632)",0.07
"(0.557, 0.904)","(0.529, 0.969)",0.071
"(0.543, 0.898)","(0.529, 0.969)",0.072
"(2.169, 1.441)","(2.239, 1.417)",0.074
"(2.311, 1.432)","(2.239, 1.417)",0.074
"(2.172, 1.451)","(2.239, 1.417)",0.075
"(1.842, 1.681)","(1.899, 1.632)",0.076
"(2.143, 1.82)","(2.078, 1.779)",0.076
"(0.501, 1.04)","(0.529, 0.969)",0.077
"(1.926, 1.705)","(1.899, 1.632)",0.078
"(2.113, 1.709)","(2.078, 1.779)",0.078
"(0.512, 0.89)","(0.529, 0.969)",0.081
"(1.04, 0.786)","(0.966, 0.821)",0.081
"(0.474, 1.029)","(0.529, 0.969)",0.082
"(2.107, 1.701)","(2.078, 1.779)",0.083
"(2.167, 1.461)","(2.239, 1.417)",0.084
"(2.134, 1.842)","(2.078, 1.779)",0.084
"(1.833, 1.685)","(1.899, 1.632)",0.085
"(2.156, 1.441)","(2.239, 1.417)",0.086
"(2.322, 1.439)","(2.239, 1.417)",0.086
"(1.957, 1.567)","(1.899, 1.632)",0.086
"(2.177, 1.477)","(2.239, 1.417)",0.086
"(1.856, 1.708)","(1.899, 1.632)",0.088
"(1.821, 1.674)","(1.899, 1.632)",0.089
"(2.157, 1.453)","(2.239, 1.417)",0.089
"(2.148, 1.435)","(2.239, 1.417)",0.092
"(2.137, 1.85)","(2.078, 1.779)",0.092
"(2.011, 1.843)","(2.078, 1.779)",0.093
"(2.103, 1.87)","(2.078, 1.779)",0.094
"(2.159, 1.829)","(2.078, 1.779)",0.095
"(2.153, 1.458)","(2.239, 1.417)",0.095
"(2.168, 1.817)","(2.078, 1.779)",0.098
"(2.179, 1.778)","(2.078, 1.779)",0.101
"(2.038, 1.686)","(2.078, 1.779)",0.102
"(2.156, 1.476)","(2.239, 1.417)",0.102
"(1.901, 1.734)","(1.899, 1.632)",0.102
"(2.153, 1.851)","(2.078, 1.779)",0.104
"(2.025, 1.689)","(2.078, 1.779)",0.105
"(1.951, 1.723)","(1.899, 1.632)",0.105
"(1.82, 1.561)","(1.899, 1.632)",0.107
"(1.944, 1.729)","(1.899, 1.632)",0.107
"(1.809, 1.575)","(1.899, 1.632)",0.107
"(2.163, 1.341)","(2.239, 1.417)",0.107
"(2.174, 1.829)","(2.078, 1.779)",0.108
"(1.719, 1.653)","(1.705, 1.761)",0.109
"(1.807, 1.689)","(1.899, 1.632)",0.109
"(2.003, 1.665)","(1.899, 1.632)",0.109
"(1.949, 1.73)","(1.899, 1.632)",0.11
"(2.01, 1.691)","(2.078, 1.779)",0.111
"(2.002, 1.678)","(1.899, 1.632)",0.113
"(2.127, 1.438)","(2.239, 1.417)",0.114
"(2.194, 1.755)","(2.078, 1.779)",0.118
"(2.02, 1.676)","(2.078, 1.779)",0.118
"(2.037, 1.668)","(2.078, 1.779)",0.118
"(1.962, 1.754)","(2.078, 1.779)",0.119
"(2.019, 1.645)","(1.899, 1.632)",0.121
"(1.933, 1.748)","(1.899, 1.632)",0.121
"(1.961, 1.742)","(2.078, 1.779)",0.122
"(2.194, 1.739)","(2.078, 1.779)",0.123
"(2.154, 1.507)","(2.239, 1.417)",0.124
"(0.484, 0.852)","(0.529, 0.969)",0.124
"(2.198, 1.745)","(2.078, 1.779)",0.125
"(0.944, 0.697)","(0.966, 0.821)",0.127
"(0.472, 0.853)","(0.529, 0.969)",0.129
"(2.207, 1.766)","(2.078, 1.779)",0.13
"(2.206, 1.757)","(2.078, 1.779)",0.13
"(2.201, 1.824)","(2.078, 1.779)",0.131
"(1.945, 1.765)","(2.078, 1.779)",0.134
"(2.212, 1.76)","(2.078, 1.779)",0.135
"(0.921, 0.693)","(0.966, 0.821)",0.136
"(2.216, 1.789)","(2.078, 1.779)",0.139
"(0.828, 0.82)","(0.966, 0.821)",0.139
"(0.488, 0.835)","(0.529, 0.969)",0.14
"(2.168, 1.664)","(2.078, 1.779)",0.146
"(0.826, 0.865)","(0.966, 0.821)",0.147
"(0.47, 0.831)","(0.529, 0.969)",0.15
"(1.928, 1.799)","(2.078, 1.779)",0.151
"(2.228, 1.753)","(2.078, 1.779)",0.152
"(1.928, 1.814)","(2.078, 1.779)",0.154
"(2.097, 1.478)","(2.239, 1.417)",0.155
"(2.1, 1.625)","(2.078, 1.779)",0.156
"(2.084, 1.435)","(2.239, 1.417)",0.156
"(0.926, 0.972)","(0.966, 0.821)",0.156
"(0.943, 0.977)","(0.966, 0.821)",0.157
"(2.107, 1.326)","(2.239, 1.417)",0.16
"(1.919, 1.798)","(2.078, 1.779)",0.161
"(1.91, 1.794)","(1.899, 1.632)",0.162
"(2.106, 1.32)","(2.239, 1.417)",0.164
"(2.191, 1.576)","(2.239, 1.417)",0.166
"(0.802, 0.849)","(0.966, 0.821)",0.167
"(0.952, 0.988)","(0.966, 0.821)",0.167
"(0.964, 0.992)","(0.966, 0.821)",0.171
"(2.069, 1.44)","(2.239, 1.417)",0.172
"(1.739, 1.566)","(1.899, 1.632)",0.174
"(0.799, 0.876)","(0.966, 0.821)",0.176
"(2.188, 1.585)","(2.239, 1.417)",0.176
"(1.88, 1.807)","(1.899, 1.632)",0.177
"(0.824, 0.928)","(0.966, 0.821)",0.178
"(2.178, 1.587)","(2.239, 1.417)",0.181
"(1.871, 1.834)","(1.705, 1.761)",0.182
"(2.195, 1.635)","(2.078, 1.779)",0.185
"(1.727, 1.56)","(1.899, 1.632)",0.186
"(1.896, 1.821)","(2.078, 1.779)",0.187
"(0.826, 0.946)","(0.966, 0.821)",0.188
"(2.051, 1.432)","(2.239, 1.417)",0.188
"(2.18, 1.599)","(2.239, 1.417)",0.192
"(2.046, 1.439)","(2.239, 1.417)",0.194
"(1.877, 1.85)","(1.705, 1.761)",0.194
"(1.885, 1.834)","(1.705, 1.761)",0.194
"(1.871, 1.865)","(1.705, 1.761)",0.196
"(2.182, 1.612)","(2.078, 1.779)",0.196
"(2.202, 1.611)","(2.239, 1.417)",0.197
"(0.769, 0.827)","(0.966, 0.821)",0.198
"(1.049, 1.002)","(0.966, 0.821)",0.198
"(2.209, 1.628)","(2.078, 1.779)",0.2
"(2.043, 1.457)","(2.239, 1.417)",0.2
"(1.883, 1.858)","(1.705, 1.761)",0.203
"(0.808, 0.951)","(0.966, 0.821)",0.205
"(0.76, 0.795)","(0.966, 0.821)",0.208
"(1.07, 1.002)","(0.966, 0.821)",0.208
"(2.031, 1.435)","(2.239, 1.417)",0.209
"(0.759, 0.852)","(0.966, 0.821)",0.21
"(1.152, 0.722)","(0.966, 0.821)",0.21
"(0.786, 0.93)","(0.966, 0.821)",0.21
"(0.756, 0.825)","(0.966, 0.821)",0.211
"(1.887, 1.87)","(1.705, 1.761)",0.212
"(2.03, 1.464)","(1.899, 1.632)",0.212
"(0.563, 0.756)","(0.529, 0.969)",0.216
"(0.752, 0.794)","(0.966, 0.821)",0.216
"(1.156, 0.715)","(0.966, 0.821)",0.217
"(1.076, 1.009)","(0.966, 0.821)",0.217
"(1.167, 0.735)","(0.966, 0.821)",0.218
"(0.747, 0.84)","(0.966, 0.821)",0.22
"(1.951, 1.412)","(1.899, 1.632)",0.225
"(1.177, 0.738)","(0.966, 0.821)",0.227
"(1.183, 0.744)","(0.966, 0.821)",0.23
"(0.562, 0.739)","(0.529, 0.969)",0.232
"(1.965, 1.409)","(1.899, 1.632)",0.232
"(1.936, 1.402)","(1.899, 1.632)",0.232
"(1.194, 0.754)","(0.966, 0.821)",0.237
"(0.526, 0.731)","(0.529, 0.969)",0.238
"(1.194, 0.742)","(0.966, 0.821)",0.241
"(0.558, 0.729)","(0.529, 0.969)",0.241
"(1.199, 0.756)","(0.966, 0.821)",0.242
"(0.575, 0.73)","(0.529, 0.969)",0.243
"(1.054, 1.049)","(0.966, 0.821)",0.244
"(0.511, 0.72)","(0.529, 0.969)",0.25
"(0.539, 0.719)","(0.529, 0.969)",0.25
"(0.561, 0.717)","(0.529, 0.969)",0.253
"(1.096, 0.6)","(0.966, 0.821)",0.256
"(1.111, 0.608)","(0.966, 0.821)",0.258
"(0.416, 0.735)","(0.529, 0.969)",0.259
"(1.049, 1.069)","(0.966, 0.821)",0.261
"(0.407, 0.738)","(0.529, 0.969)",0.261
"(0.538, 0.707)","(0.529, 0.969)",0.262
"(1.111, 0.601)","(0.966, 0.821)",0.264
"(1.91, 1.368)","(1.899, 1.632)",0.264
"(1.065, 1.069)","(0.966, 0.821)",0.266
"(1.119, 0.602)","(0.966, 0.821)",0.267
"(0.416, 0.726)","(0.529, 0.969)",0.268
"(0.402, 0.724)","(0.529, 0.969)",0.276
"(0.434, 0.675)","(0.529, 0.969)",0.309
"(0.585, 0.661)","(0.529, 0.969)",0.312
"(0.564, 0.657)","(0.529, 0.969)",0.314
"(0.42, 0.674)","(0.529, 0.969)",0.315
"(1.143, 1.083)","(0.966, 0.821)",0.315
"(1.283, 0.802)","(0.966, 0.821)",0.317
"(0.626, 0.666)","(0.529, 0.969)",0.318
"(0.599, 0.653)","(0.529, 0.969)",0.323
"(0.583, 0.648)","(0.529, 0.969)",0.325
"(0.43, 0.658)","(0.529, 0.969)",0.326
"(0.853, 0.514)","(0.966, 0.821)",0.328
"(0.864, 0.505)","(0.966, 0.821)",0.333
"(0.613, 0.638)","(0.529, 0.969)",0.341
"(0.851, 0.497)","(0.966, 0.821)",0.344
"(0.589, 0.624)","(0.529, 0.969)",0.35
"(1.354, 1.771)","(1.705, 1.761)",0.351
"(0.844, 0.491)","(0.966, 0.821)",0.352
"(0.618, 0.626)","(0.529, 0.969)",0.354
"(1.349, 1.767)","(1.705, 1.761)",0.356
"(1.348, 1.731)","(1.705, 1.761)",0.359
"(0.589, 0.613)","(0.529, 0.969)",0.361
"(1.344, 1.757)","(1.705, 1.761)",0.361
"(1.973, 1.166)","(2.239, 1.417)",0.366
"(1.35, 1.667)","(1.705, 1.761)",0.368
"(0.589, 0.604)","(0.529, 0.969)",0.37
"(1.994, 1.126)","(2.239, 1.417)",0.38
"(1.977, 1.127)","(2.239, 1.417)",0.39
"(1.895, 1.227)","(2.239, 1.417)",0.393
"(1.313, 1.679)","(1.705, 1.761)",0.401
"(0.551, 0.549)","(0.529, 0.969)",0.42
"(0.591, 0.553)","(0.529, 0.969)",0.42
"(1.385, 0.888)","(0.966, 0.821)",0.423
"(1.397, 0.841)","(0.966, 0.821)",0.431
"(0.581, 0.539)","(0.529, 0.969)",0.432
"(1.405, 0.867)","(0.966, 0.821)",0.441
"(0.327, 0.569)","(0.529, 0.969)",0.448
"(1.421, 0.856)","(0.966, 0.821)",0.456
"(0.317, 0.564)","(0.529, 0.969)",0.457
"(0.745, 0.416)","(0.966, 0.821)",0.462
"(0.726, 0.418)","(0.966, 0.821)",0.47
"(0.531, 0.468)","(0.529, 0.969)",0.501
"(0.563, 0.466)","(0.529, 0.969)",0.504
"(0.475, 0.468)","(0.529, 0.969)",0.504
"(0.509, 0.462)","(0.529, 0.969)",0.507
"(0.487, 0.463)","(0.529, 0.969)",0.507
"(1.876, 1.057)","(2.239, 1.417)",0.511
"(0.495, 0.457)","(0.529, 0.969)",0.513
"(0.589, 0.456)","(0.529, 0.969)",0.516
"(0.551, 0.452)","(0.529, 0.969)",0.518
"(0.573, 0.453)","(0.529, 0.969)",0.518
"(0.541, 0.45)","(0.529, 0.969)",0.518
"(0.473, 0.452)","(0.529, 0.969)",0.52
"(1.445, 1.305)","(1.705, 1.761)",0.525
"(1.85, 1.063)","(2.239, 1.417)",0.526
"(0.576, 0.442)","(0.529, 0.969)",0.528
"(0.605, 0.436)","(0.966, 0.821)",0.528
"(1.475, 1.28)","(1.705, 1.761)",0.533
"(0.566, 0.435)","(0.529, 0.969)",0.535
"(0.602, 0.415)","(0.966, 0.821)",0.545
"(0.552, 0.422)","(0.529, 0.969)",0.547
"(1.766, 1.099)","(1.899, 1.632)",0.549
"(0.535, 0.419)","(0.529, 0.969)",0.55
"(1.776, 1.096)","(1.899, 1.632)",0.55
"(1.756, 1.101)","(1.899, 1.632)",0.55
"(0.6, 0.407)","(0.966, 0.821)",0.553
"(0.583, 0.418)","(0.529, 0.969)",0.553
"(0.548, 0.415)","(0.529, 0.969)",0.554
"(1.783, 1.088)","(1.899, 1.632)",0.556
"(0.565, 0.414)","(0.529, 0.969)",0.556
"(1.789, 1.084)","(1.899, 1.632)",0.559
"(1.752, 1.087)","(1.899, 1.632)",0.564
"(0.547, 0.404)","(0.529, 0.969)",0.565
"(1.595, 1.153)","(1.899, 1.632)",0.568
"(0.276, 0.46)","(0.529, 0.969)",0.568
"(1.642, 1.123)","(1.899, 1.632)",0.57
"(1.646, 1.115)","(1.899, 1.632)",0.575
"(1.693, 1.094)","(1.899, 1.632)",0.576
"(1.806, 1.034)","(2.239, 1.417)",0.578
"(1.791, 1.046)","(2.239, 1.417)",0.581
"(1.691, 1.088)","(1.899, 1.632)",0.582
"(1.654, 1.103)","(1.899, 1.632)",0.582
"(1.627, 1.114)","(1.899, 1.632)",0.585
"(1.806, 1.021)","(2.239, 1.417)",0.586
"(1.694, 1.082)","(1.899, 1.632)",0.587
"(1.745, 1.062)","(1.899, 1.632)",0.59
"(1.639, 1.1)","(1.899, 1.632)",0.592
"(1.771, 1.038)","(2.239, 1.417)",0.602
"(1.526, 1.158)","(1.899, 1.632)",0.603
"(1.522, 1.157)","(1.899, 1.632)",0.607
"(1.473, 1.163)","(0.966, 0.821)",0.611
"(1.479, 1.159)","(0.966, 0.821)",0.614
"(0.397, 0.356)","(0.529, 0.969)",0.627
"(1.679, 1.043)","(1.899, 1.632)",0.629
"(0.366, 0.36)","(0.529, 0.969)",0.63
"(0.421, 0.345)","(0.529, 0.969)",0.633
"(0.4, 0.344)","(0.529, 0.969)",0.638
"(0.379, 0.348)","(0.529, 0.969)",0.638
"(0.343, 0.351)","(0.529, 0.969)",0.645
"(0.422, 0.331)","(0.529, 0.969)",0.647
"(1.596, 0.979)","(0.966, 0.821)",0.649
"(0.462, 0.322)","(0.529, 0.969)",0.65
"(0.412, 0.328)","(0.529, 0.969)",0.651
"(0.434, 0.325)","(0.529, 0.969)",0.651
"(0.459, 0.317)","(0.529, 0.969)",0.656
"(1.603, 0.994)","(0.966, 0.821)",0.659
"(1.615, 0.975)","(0.966, 0.821)",0.666
"(1.63, 0.928)","(0.966, 0.821)",0.672
"(0.446, 0.299)","(0.529, 0.969)",0.675
"(1.634, 0.995)","(0.966, 0.821)",0.689
"(0.438, 0.276)","(0.529, 0.969)",0.698
"(0.456, 0.239)","(0.529, 0.969)",0.733
"(0.465, 0.229)","(0.529, 0.969)",0.742
"(0.45, 0.223)","(0.529, 0.969)",0.75
"(0.096, 0.03)","(0.529, 0.969)",1.033
