og_coord,goldstar_coord,dist
"(1993.0, 2127.0)","(2052.0, 2136.0)",59.682
"(656.0, 424.0)","(698.0, 468.0)",60.828
"(1007.0, 766.0)","(984.0, 844.0)",81.32
"(504.0, 1364.0)","(488.0, 1280.0)",85.51
"(1019.0, 765.0)","(984.0, 844.0)",86.406
"(1042.0, 766.0)","(984.0, 844.0)",97.201
"(978.0, 942.0)","(984.0, 844.0)",98.184
"(1576.0, 2180.0)","(1486.0, 2132.0)",102.0
"(1055.0, 767.0)","(984.0, 844.0)",104.738
"(1085.0, 797.0)","(984.0, 844.0)",111.4
"(1014.0, 952.0)","(984.0, 844.0)",112.089
"(1459.0, 2242.0)","(1486.0, 2132.0)",113.265
"(338.0, 2351.0)","(394.0, 2450.0)",113.741
"(1040.0, 743.0)","(984.0, 844.0)",115.486
"(1081.0, 1948.0)","(1100.0, 1834.0)",115.572
"(891.0, 775.0)","(984.0, 844.0)",115.802
"(889.0, 920.0)","(984.0, 844.0)",121.659
"(1541.0, 2241.0)","(1486.0, 2132.0)",122.09
"(1483.0, 2005.0)","(1486.0, 2132.0)",127.035
"(1952.0, 2053.0)","(2052.0, 2136.0)",129.958
"(568.0, 461.0)","(698.0, 468.0)",130.188
"(961.0, 712.0)","(984.0, 844.0)",133.989
"(664.0, 598.0)","(698.0, 468.0)",134.373
"(1020.0, 974.0)","(984.0, 844.0)",134.893
"(1223.0, 1890.0)","(1100.0, 1834.0)",135.148
"(1912.0, 2134.0)","(2052.0, 2136.0)",140.014
"(1026.0, 981.0)","(984.0, 844.0)",143.293
"(1075.0, 731.0)","(984.0, 844.0)",145.086
"(1065.0, 2390.0)","(974.0, 2504.0)",145.866
"(628.0, 1237.0)","(488.0, 1280.0)",146.455
"(1113.0, 1688.0)","(1100.0, 1834.0)",146.578
"(2464.0, 3756.0)","(2552.0, 3875.0)",148.003
"(1341.0, 2164.0)","(1486.0, 2132.0)",148.489
"(1039.0, 988.0)","(984.0, 844.0)",154.146
"(1128.0, 2538.0)","(974.0, 2504.0)",157.709
"(974.0, 1937.0)","(1100.0, 1834.0)",162.742
"(1011.0, 682.0)","(984.0, 844.0)",164.235
"(955.0, 1008.0)","(984.0, 844.0)",166.544
"(2091.0, 1922.0)","(2214.0, 2038.0)",169.071
"(760.0, 627.0)","(698.0, 468.0)",170.66
"(1556.0, 1976.0)","(1486.0, 2132.0)",170.985
"(1951.0, 2275.0)","(2052.0, 2136.0)",171.82
"(611.0, 1401.0)","(488.0, 1280.0)",172.54
"(2009.0, 2304.0)","(2052.0, 2136.0)",173.416
"(1332.0, 2220.0)","(1486.0, 2132.0)",177.37
"(1451.0, 2306.0)","(1486.0, 2132.0)",177.485
"(1269.0, 1891.0)","(1100.0, 1834.0)",178.354
"(1387.0, 2281.0)","(1486.0, 2132.0)",178.891
"(926.0, 1014.0)","(984.0, 844.0)",179.622
"(1219.0, 1969.0)","(1100.0, 1834.0)",179.961
"(1082.0, 2360.0)","(974.0, 2504.0)",180.0
"(1270.0, 1898.0)","(1100.0, 1834.0)",181.648
"(1305.0, 2113.0)","(1486.0, 2132.0)",181.995
"(1441.0, 1953.0)","(1486.0, 2132.0)",184.57
"(1310.0, 2195.0)","(1486.0, 2132.0)",186.936
"(1908.0, 2262.0)","(2052.0, 2136.0)",191.343
"(1102.0, 1642.0)","(1100.0, 1834.0)",192.01
"(1025.0, 2011.0)","(1100.0, 1834.0)",192.234
"(625.0, 1415.0)","(488.0, 1280.0)",192.338
"(1291.0, 1869.0)","(1100.0, 1834.0)",194.18
"(1313.0, 2043.0)","(1486.0, 2132.0)",194.551
"(1288.0, 1783.0)","(1100.0, 1834.0)",194.795
"(1092.0, 678.0)","(984.0, 844.0)",198.04
"(1856.0, 2105.0)","(2052.0, 2136.0)",198.436
"(1306.0, 2042.0)","(1486.0, 2132.0)",201.246
"(828.0, 716.0)","(984.0, 844.0)",201.792
"(1292.0, 1898.0)","(1100.0, 1834.0)",202.386
"(2450.0, 3700.0)","(2552.0, 3875.0)",202.556
"(800.0, 929.0)","(984.0, 844.0)",202.684
"(1104.0, 1009.0)","(984.0, 844.0)",204.022
"(1902.0, 2283.0)","(2052.0, 2136.0)",210.021
"(1302.0, 2025.0)","(1486.0, 2132.0)",212.85
"(2246.0, 2249.0)","(2214.0, 2038.0)",213.413
"(1091.0, 1029.0)","(984.0, 844.0)",213.715
"(1310.0, 2256.0)","(1486.0, 2132.0)",215.295
"(1184.0, 764.0)","(984.0, 844.0)",215.407
"(1259.0, 1688.0)","(1100.0, 1834.0)",215.863
"(534.0, 610.0)","(698.0, 468.0)",216.933
"(557.0, 634.0)","(698.0, 468.0)",217.8
"(545.0, 2293.0)","(394.0, 2450.0)",217.83
"(2021.0, 2352.0)","(2052.0, 2136.0)",218.213
"(1646.0, 1983.0)","(1486.0, 2132.0)",218.634
"(1270.0, 2098.0)","(1486.0, 2132.0)",218.66
"(2100.0, 2350.0)","(2052.0, 2136.0)",219.317
"(778.0, 932.0)","(984.0, 844.0)",224.009
"(1826.0, 2113.0)","(2052.0, 2136.0)",227.167
"(1295.0, 2257.0)","(1486.0, 2132.0)",228.267
"(754.0, 856.0)","(984.0, 844.0)",230.313
"(1178.0, 2391.0)","(974.0, 2504.0)",233.206
"(1212.0, 894.0)","(984.0, 844.0)",233.418
"(968.0, 611.0)","(984.0, 844.0)",233.549
"(810.0, 688.0)","(984.0, 844.0)",233.692
"(1851.0, 2258.0)","(2052.0, 2136.0)",235.128
"(1437.0, 2362.0)","(1486.0, 2132.0)",235.162
"(1172.0, 2367.0)","(974.0, 2504.0)",240.776
"(1813.0, 2094.0)","(2052.0, 2136.0)",242.662
"(451.0, 1039.0)","(488.0, 1280.0)",243.824
"(2025.0, 1883.0)","(2214.0, 2038.0)",244.43
"(1845.0, 2270.0)","(2052.0, 2136.0)",246.587
"(1847.0, 1998.0)","(2052.0, 2136.0)",247.121
"(2400.0, 3680.0)","(2552.0, 3875.0)",247.243
"(1267.0, 2252.0)","(1486.0, 2132.0)",249.722
"(1004.0, 595.0)","(984.0, 844.0)",249.802
"(1677.0, 1971.0)","(1486.0, 2132.0)",249.804
"(1254.0, 2039.0)","(1486.0, 2132.0)",249.946
"(1234.0, 859.0)","(984.0, 844.0)",250.45
"(490.0, 1028.0)","(488.0, 1280.0)",252.008
"(2299.0, 2278.0)","(2214.0, 2038.0)",254.608
"(1255.0, 2240.0)","(1486.0, 2132.0)",255.0
"(1321.0, 1703.0)","(1100.0, 1834.0)",256.909
"(1240.0, 869.0)","(984.0, 844.0)",257.218
"(1705.0, 2267.0)","(1486.0, 2132.0)",257.266
"(998.0, 586.0)","(984.0, 844.0)",258.38
"(412.0, 1033.0)","(488.0, 1280.0)",258.428
"(1218.0, 1604.0)","(1100.0, 1834.0)",258.503
"(2320.0, 3754.0)","(2552.0, 3875.0)",261.658
"(1364.0, 1814.0)","(1100.0, 1834.0)",264.756
"(1175.0, 1578.0)","(1100.0, 1834.0)",266.76
"(586.0, 2263.0)","(394.0, 2450.0)",268.017
"(631.0, 1046.0)","(488.0, 1280.0)",274.235
"(1322.0, 1672.0)","(1100.0, 1834.0)",274.824
"(2091.0, 2410.0)","(2052.0, 2136.0)",276.762
"(1245.0, 2269.0)","(1486.0, 2132.0)",277.218
"(1830.0, 1969.0)","(2052.0, 2136.0)",277.8
"(583.0, 721.0)","(698.0, 468.0)",277.91
"(2339.0, 2287.0)","(2214.0, 2038.0)",278.614
"(670.0, 1069.0)","(488.0, 1280.0)",278.649
"(1657.0, 2354.0)","(1486.0, 2132.0)",280.223
"(1372.0, 1757.0)","(1100.0, 1834.0)",282.689
"(701.0, 1093.0)","(488.0, 1280.0)",283.44
"(2487.0, 3597.0)","(2552.0, 3875.0)",285.498
"(991.0, 2099.0)","(1100.0, 1834.0)",286.541
"(2317.0, 3711.0)","(2552.0, 3875.0)",286.568
"(493.0, 993.0)","(488.0, 1280.0)",287.044
"(695.0, 872.0)","(984.0, 844.0)",290.353
"(2311.0, 3712.0)","(2552.0, 3875.0)",290.947
"(954.0, 2086.0)","(1100.0, 1834.0)",291.239
"(1268.0, 770.0)","(984.0, 844.0)",293.483
"(1739.0, 1980.0)","(1486.0, 2132.0)",295.149
"(612.0, 2249.0)","(394.0, 2450.0)",296.522
"(621.0, 1007.0)","(488.0, 1280.0)",303.674
"(1061.0, 2211.0)","(974.0, 2504.0)",305.644
"(1509.0, 1827.0)","(1486.0, 2132.0)",305.866
"(1711.0, 1924.0)","(1486.0, 2132.0)",306.413
"(2324.0, 3669.0)","(2552.0, 3875.0)",307.278
"(2311.0, 3683.0)","(2552.0, 3875.0)",308.131
"(1219.0, 1546.0)","(1100.0, 1834.0)",311.617
"(1876.0, 1877.0)","(2052.0, 2136.0)",313.141
"(958.0, 2114.0)","(1100.0, 1834.0)",313.949
"(2763.0, 3641.0)","(2552.0, 3875.0)",315.083
"(1128.0, 1520.0)","(1100.0, 1834.0)",315.246
"(1204.0, 2273.0)","(1486.0, 2132.0)",315.286
"(1894.0, 1863.0)","(2052.0, 2136.0)",315.425
"(723.0, 1022.0)","(984.0, 844.0)",315.919
"(1135.0, 2150.0)","(1100.0, 1834.0)",317.932
