og_coord,goldstar_coord,dist
"(643.719, 419.406)","(698.0, 468.0)",72.855
"(1063.0, 2492.5)","(974.0, 2504.0)",89.74
"(644.883, 391.583)","(698.0, 468.0)",93.064
"(1073.83, 2510.979)","(974.0, 2504.0)",100.074
"(2049.0, 2246.0)","(2052.0, 2136.0)",110.041
"(380.747, 2338.253)","(394.0, 2450.0)",112.53
"(1210.0, 1802.0)","(1100.0, 1834.0)",114.56
"(2066.063, 2252.667)","(2052.0, 2136.0)",117.512
"(1103.218, 1712.322)","(1100.0, 1834.0)",121.721
"(2059.597, 2259.597)","(2052.0, 2136.0)",123.83
"(1208.027, 1768.554)","(1100.0, 1834.0)",126.305
"(1124.71, 1710.03)","(1100.0, 1834.0)",126.409
"(1359.475, 2111.95)","(1486.0, 2132.0)",128.104
"(1373.756, 2062.626)","(1486.0, 2132.0)",131.953
"(592.291, 1362.764)","(488.0, 1280.0)",133.141
"(602.57, 564.977)","(698.0, 468.0)",136.057
"(619.511, 1333.156)","(488.0, 1280.0)",141.847
"(411.717, 2306.708)","(394.0, 2450.0)",144.383
"(1343.617, 2105.815)","(1486.0, 2132.0)",144.771
"(426.627, 2306.627)","(394.0, 2450.0)",147.039
"(1116.5, 1685.714)","(1100.0, 1834.0)",149.201
"(1245.303, 1792.224)","(1100.0, 1834.0)",151.189
"(611.353, 1370.988)","(488.0, 1280.0)",153.28
"(1609.176, 2040.77)","(1486.0, 2132.0)",153.282
"(2420.0, 3795.0)","(2552.0, 3875.0)",154.35
"(625.052, 1353.883)","(488.0, 1280.0)",155.698
"(1144.784, 1683.649)","(1100.0, 1834.0)",156.879
"(2088.034, 1942.667)","(2214.0, 2038.0)",157.974
"(1241.209, 1763.104)","(1100.0, 1834.0)",158.007
"(1171.753, 1692.636)","(1100.0, 1834.0)",158.532
"(1323.942, 2116.014)","(1486.0, 2132.0)",162.845
"(437.235, 2292.452)","(394.0, 2450.0)",163.373
"(937.814, 1004.288)","(984.0, 844.0)",166.809
"(1145.182, 2501.568)","(974.0, 2504.0)",171.199
"(347.701, 2284.131)","(394.0, 2450.0)",172.21
"(1134.247, 1664.37)","(1100.0, 1834.0)",173.053
"(561.28, 579.667)","(698.0, 468.0)",176.527
"(2420.0, 3757.0)","(2552.0, 3875.0)",177.054
"(1308.538, 2115.956)","(1486.0, 2132.0)",178.186
"(2702.0, 3775.0)","(2552.0, 3875.0)",180.278
"(636.506, 1382.937)","(488.0, 1280.0)",180.693
"(1107.157, 1653.146)","(1100.0, 1834.0)",180.996
"(1094.019, 1649.552)","(1100.0, 1834.0)",184.545
"(1264.016, 1747.75)","(1100.0, 1834.0)",185.311
"(437.647, 2267.353)","(394.0, 2450.0)",187.79
"(1189.895, 1668.663)","(1100.0, 1834.0)",188.195
"(1250.349, 1947.699)","(1100.0, 1834.0)",188.5
"(628.61, 1406.9)","(488.0, 1280.0)",189.406
"(808.887, 621.597)","(698.0, 468.0)",189.441
"(638.614, 1400.096)","(488.0, 1280.0)",192.633
"(793.021, 814.67)","(984.0, 844.0)",193.218
"(627.25, 1422.0)","(488.0, 1280.0)",198.883
"(785.155, 837.981)","(984.0, 844.0)",198.936
"(1168.588, 1640.412)","(1100.0, 1834.0)",205.379
"(804.487, 739.026)","(984.0, 844.0)",207.953
"(1227.325, 1999.675)","(1100.0, 1834.0)",208.949
"(2705.0, 3730.0)","(2552.0, 3875.0)",210.794
"(770.568, 834.784)","(984.0, 844.0)",213.631
"(1093.085, 1618.927)","(1100.0, 1834.0)",215.184
"(837.026, 632.442)","(698.0, 468.0)",215.336
"(858.496, 667.292)","(984.0, 844.0)",216.742
"(954.618, 1995.691)","(1100.0, 1834.0)",217.439
"(814.5, 651.875)","(698.0, 468.0)",217.675
"(670.0, 1406.0)","(488.0, 1280.0)",221.359
"(778.14, 759.93)","(984.0, 844.0)",222.365
"(1210.347, 1637.053)","(1100.0, 1834.0)",225.753
"(1192.667, 1628.0)","(1100.0, 1834.0)",225.883
"(2721.859, 3724.014)","(2552.0, 3875.0)",227.264
"(1243.825, 2016.247)","(1100.0, 1834.0)",232.163
"(1253.977, 2115.682)","(1486.0, 2132.0)",232.596
"(488.919, 1046.97)","(488.0, 1280.0)",233.032
"(1880.158, 2295.347)","(2052.0, 2136.0)",234.353
"(1134.634, 1600.941)","(1100.0, 1834.0)",235.618
"(862.99, 640.725)","(984.0, 844.0)",236.567
"(520.25, 1045.638)","(488.0, 1280.0)",236.571
"(1284.092, 2001.857)","(1486.0, 2132.0)",240.217
"(2354.0, 3732.0)","(2552.0, 3875.0)",244.24
"(389.59, 1055.718)","(488.0, 1280.0)",244.922
"(1259.822, 2036.436)","(1486.0, 2132.0)",245.538
"(1268.621, 1653.253)","(1100.0, 1834.0)",247.189
"(1182.971, 2369.577)","(974.0, 2504.0)",248.472
"(1883.694, 2322.065)","(2052.0, 2136.0)",250.893
"(1234.442, 1621.481)","(1100.0, 1834.0)",251.474
"(493.67, 1028.351)","(488.0, 1280.0)",251.713
"(1196.374, 1599.57)","(1100.0, 1834.0)",253.467
"(2745.602, 3711.373)","(2552.0, 3875.0)",253.487
"(1227.964, 770.357)","(984.0, 844.0)",254.837
"(1200.5, 2384.5)","(974.0, 2504.0)",256.091
"(1819.243, 2244.365)","(2052.0, 2136.0)",256.747
"(585.261, 1038.135)","(488.0, 1280.0)",260.688
"(1222.011, 1601.832)","(1100.0, 1834.0)",262.276
"(1619.346, 1903.885)","(1486.0, 2132.0)",264.23
"(393.33, 1032.313)","(488.0, 1280.0)",265.163
"(1230.516, 2212.319)","(1486.0, 2132.0)",267.812
"(922.59, 2035.5)","(1100.0, 1834.0)",268.471
"(1586.895, 2382.0)","(1486.0, 2132.0)",269.592
"(1373.108, 1852.2)","(1100.0, 1834.0)",273.714
"(1254.293, 1603.889)","(1100.0, 1834.0)",277.051
"(1840.367, 1952.633)","(2052.0, 2136.0)",280.021
"(1653.711, 1905.567)","(1486.0, 2132.0)",281.778
"(1224.14, 2237.93)","(1486.0, 2132.0)",282.474
"(628.614, 1031.735)","(488.0, 1280.0)",285.321
"(1817.907, 2303.704)","(2052.0, 2136.0)",287.966
"(1205.702, 2199.071)","(1486.0, 2132.0)",288.211
"(1079.33, 2229.33)","(974.0, 2504.0)",294.173
"(1208.324, 2323.972)","(974.0, 2504.0)",295.496
"(1645.074, 1882.638)","(1486.0, 2132.0)",295.78
"(1559.679, 1844.714)","(1486.0, 2132.0)",296.584
"(1776.13, 2253.18)","(2052.0, 2136.0)",299.726
"(1853.656, 2360.885)","(2052.0, 2136.0)",299.856
"(1256.298, 1577.965)","(1100.0, 1834.0)",299.972
"(1230.636, 2297.193)","(1486.0, 2132.0)",304.137
"(1181.956, 2281.538)","(974.0, 2504.0)",304.524
"(1146.556, 1103.025)","(984.0, 844.0)",305.808
"(1182.258, 1078.258)","(984.0, 844.0)",306.893
"(1194.119, 2229.789)","(1486.0, 2132.0)",307.827
"(1109.875, 1526.295)","(1100.0, 1834.0)",307.863
"(1200.112, 2293.714)","(974.0, 2504.0)",308.783
"(2327.5, 3662.5)","(2552.0, 3875.0)",309.122
"(906.701, 2075.391)","(1100.0, 1834.0)",309.248
"(1175.961, 1088.803)","(984.0, 844.0)",311.091
"(990.756, 2128.2)","(1100.0, 1834.0)",313.828
"(1228.165, 2313.144)","(1486.0, 2132.0)",315.106
"(1135.823, 2147.684)","(1100.0, 1834.0)",315.723
"(955.53, 2115.635)","(1100.0, 1834.0)",316.528
"(369.565, 986.121)","(488.0, 1280.0)",316.847
"(1060.522, 2198.978)","(974.0, 2504.0)",317.056
"(1824.092, 2358.495)","(2052.0, 2136.0)",318.506
"(859.692, 2043.945)","(1100.0, 1834.0)",319.1
"(1153.5, 1114.5)","(984.0, 844.0)",319.219
"(938.208, 2111.583)","(1100.0, 1834.0)",321.293
"(1098.353, 1512.224)","(1100.0, 1834.0)",321.78
"(1121.315, 2217.348)","(974.0, 2504.0)",322.29
"(2299.0, 3673.0)","(2552.0, 3875.0)",323.748
"(1847.9, 2387.714)","(2052.0, 2136.0)",324.063
"(1784.182, 1952.677)","(2052.0, 2136.0)",324.552
"(1650.488, 1852.19)","(1486.0, 2132.0)",324.577
"(1869.833, 2404.867)","(2052.0, 2136.0)",324.768
"(1218.943, 1068.356)","(984.0, 844.0)",324.86
"(2612.76, 3555.54)","(2552.0, 3875.0)",325.187
"(1125.79, 1508.61)","(1100.0, 1834.0)",326.41
"(1102.371, 2201.202)","(974.0, 2504.0)",328.886
"(1110.426, 1505.085)","(1100.0, 1834.0)",329.08
"(993.611, 2145.704)","(1100.0, 1834.0)",329.36
"(1893.376, 2424.899)","(2052.0, 2136.0)",329.582
"(1134.384, 2161.902)","(1100.0, 1834.0)",329.7
"(903.878, 2099.39)","(1100.0, 1834.0)",329.993
"(1143.711, 1136.542)","(984.0, 844.0)",333.299
"(1845.833, 1872.644)","(2052.0, 2136.0)",334.457
"(1806.359, 1906.804)","(2052.0, 2136.0)",335.962
"(2621.449, 3543.91)","(2552.0, 3875.0)",338.295
"(1784.688, 1928.385)","(2052.0, 2136.0)",338.467
"(397.861, 953.708)","(488.0, 1280.0)",338.514
"(1857.768, 2413.679)","(2052.0, 2136.0)",338.868
"(840.205, 2052.59)","(1100.0, 1834.0)",339.522
"(1798.195, 2362.172)","(2052.0, 2136.0)",339.957
"(986.371, 2159.5)","(974.0, 2504.0)",344.722
"(1106.466, 2179.068)","(1100.0, 1834.0)",345.129
"(1834.517, 1864.944)","(2052.0, 2136.0)",347.52
"(1172.667, 1136.029)","(984.0, 844.0)",347.673
"(1332.667, 847.881)","(984.0, 844.0)",348.689
"(1779.111, 2355.5)","(2052.0, 2136.0)",350.212
"(1771.394, 1921.394)","(2052.0, 2136.0)",353.264
"(2815.427, 3638.355)","(2552.0, 3875.0)",354.111
"(1085.525, 1479.188)","(1100.0, 1834.0)",355.107
"(1847.981, 1842.117)","(2052.0, 2136.0)",357.758
"(1207.091, 1126.071)","(984.0, 844.0)",359.63
"(1806.26, 2400.236)","(2052.0, 2136.0)",360.845
"(1280.117, 1052.553)","(984.0, 844.0)",362.187
"(1545.868, 1773.538)","(1486.0, 2132.0)",363.427
"(1305.302, 1016.719)","(984.0, 844.0)",364.783
"(869.207, 2120.732)","(1100.0, 1834.0)",368.077
"(1239.916, 1109.614)","(984.0, 844.0)",368.841
"(854.642, 2110.299)","(1100.0, 1834.0)",369.515
"(1580.796, 1774.495)","(1486.0, 2132.0)",369.86
"(343.481, 939.442)","(488.0, 1280.0)",369.953
"(1757.375, 1880.5)","(1486.0, 2132.0)",369.995
"(1133.267, 1464.511)","(1100.0, 1834.0)",370.984
"(1826.433, 1840.344)","(2052.0, 2136.0)",371.878
"(882.608, 2136.115)","(1100.0, 1834.0)",372.2
"(375.952, 923.145)","(488.0, 1280.0)",374.032
"(1757.916, 2390.205)","(1486.0, 2132.0)",374.978
"(1331.413, 986.217)","(984.0, 844.0)",375.395
"(821.704, 2088.346)","(1100.0, 1834.0)",377.015
"(1114.688, 1452.817)","(1100.0, 1834.0)",381.466
"(1195.558, 1162.844)","(984.0, 844.0)",382.646
"(1830.945, 2448.703)","(2052.0, 2136.0)",382.947
"(339.038, 926.865)","(488.0, 1280.0)",383.268
"(1330.967, 1009.783)","(984.0, 844.0)",384.539
"(1301.949, 1063.102)","(984.0, 844.0)",386.131
"(1789.158, 1852.921)","(2052.0, 2136.0)",386.29
"(815.903, 2100.056)","(1100.0, 1834.0)",389.226
"(2750.112, 3534.991)","(2552.0, 3875.0)",393.516
"(1214.105, 1163.558)","(984.0, 844.0)",393.784
"(1821.43, 1815.234)","(2052.0, 2136.0)",395.036
"(1778.163, 2421.366)","(2052.0, 2136.0)",395.5
"(325.432, 918.102)","(488.0, 1280.0)",396.735
"(455.89, 878.233)","(488.0, 1280.0)",403.048
"(1315.828, 1074.097)","(984.0, 844.0)",403.8
"(324.611, 907.611)","(488.0, 1280.0)",406.657
"(1188.5, 1436.135)","(1100.0, 1834.0)",407.589
"(336.627, 899.827)","(488.0, 1280.0)",409.201
"(2733.817, 3499.57)","(2552.0, 3875.0)",417.139
"(2060.5, 1645.906)","(2214.0, 2038.0)",421.07
"(439.925, 860.198)","(488.0, 1280.0)",422.546
"(1353.64, 1051.596)","(984.0, 844.0)",423.946
"(2029.515, 1652.097)","(2214.0, 2038.0)",427.733
