og_coord,goldstar_coord,dist
"(2030.0, 1832.0)","(2046.0, 1817.0)",21.932
"(2600.0, 2924.0)","(2573.0, 2892.0)",41.869
"(3310.0, 1991.0)","(3355.0, 1984.0)",45.541
"(3729.0, 3711.0)","(3755.0, 3659.0)",58.138
"(6410.0, 6934.0)","(6365.0, 6893.0)",60.877
"(6387.0, 6413.0)","(6446.0, 6431.0)",61.685
"(6791.0, 6392.0)","(6828.0, 6337.0)",66.287
"(2791.0, 2005.0)","(2802.0, 2072.0)",67.897
"(3052.0, 2548.0)","(3036.0, 2482.0)",67.912
"(3899.0, 3258.0)","(3966.0, 3284.0)",71.868
"(4732.0, 5309.0)","(4797.0, 5259.0)",82.006
"(6077.0, 5634.0)","(6039.0, 5709.0)",84.077
"(4697.0, 5339.0)","(4704.0, 5426.0)",87.281
"(3292.0, 2725.0)","(3248.0, 2649.0)",87.818
"(7011.0, 6835.0)","(6928.0, 6798.0)",90.874
"(4966.0, 5685.0)","(5057.0, 5671.0)",92.071
"(6063.0, 6622.0)","(6149.0, 6587.0)",92.849
"(4795.0, 5390.0)","(4704.0, 5426.0)",97.862
"(4191.0, 4685.0)","(4192.0, 4585.0)",100.005
"(3510.0, 4231.0)","(3469.0, 4137.0)",102.552
"(6181.0, 6685.0)","(6149.0, 6587.0)",103.092
"(6551.0, 6303.0)","(6608.0, 6394.0)",107.378
"(3131.0, 2687.0)","(3039.0, 2746.0)",109.293
"(3069.0, 2635.0)","(3039.0, 2746.0)",114.983
"(6994.0, 6999.0)","(7107.0, 6974.0)",115.732
"(3797.0, 4419.0)","(3916.0, 4396.0)",121.202
"(2727.0, 2797.0)","(2605.0, 2815.0)",123.321
"(4904.0, 4679.0)","(5027.0, 4698.0)",124.459
"(6755.0, 6235.0)","(6828.0, 6337.0)",125.431
"(6279.0, 6672.0)","(6326.0, 6545.0)",135.418
"(4341.0, 4392.0)","(4415.0, 4278.0)",135.912
"(6120.0, 6130.0)","(6121.0, 5991.0)",139.004
"(7778.0, 7194.0)","(7824.0, 7326.0)",139.786
"(4035.0, 4311.0)","(3916.0, 4396.0)",146.24
"(7126.0, 6576.0)","(7248.0, 6658.0)",146.997
"(3280.0, 2258.0)","(3424.0, 2228.0)",147.092
"(5857.0, 6033.0)","(5934.0, 6161.0)",149.375
"(5955.0, 6013.0)","(5934.0, 6161.0)",149.482
"(2394.0, 2240.0)","(2465.0, 2372.0)",149.883
"(1489.0, 1171.0)","(1489.0, 1021.0)",150.0
"(2436.0, 1374.0)","(2537.0, 1263.0)",150.073
"(4606.0, 5001.0)","(4665.0, 4860.0)",152.846
"(7053.0, 6707.0)","(6928.0, 6798.0)",154.616
"(4098.0, 5211.0)","(4211.0, 5105.0)",154.935
"(3564.0, 3873.0)","(3528.0, 3715.0)",162.049
"(7755.0, 7527.0)","(7814.0, 7375.0)",163.049
"(3879.0, 3423.0)","(3966.0, 3284.0)",163.982
"(7373.0, 7412.0)","(7533.0, 7339.0)",175.866
"(7280.0, 6479.0)","(7248.0, 6658.0)",181.838
"(2526.0, 2200.0)","(2465.0, 2372.0)",182.497
"(6774.0, 6132.0)","(6955.0, 6104.0)",183.153
"(5569.0, 5250.0)","(5433.0, 5373.0)",183.371
"(2491.0, 2010.0)","(2674.0, 2038.0)",185.13
"(3370.0, 3815.0)","(3528.0, 3715.0)",186.987
"(6273.0, 6299.0)","(6322.0, 6116.0)",189.447
"(2542.0, 1900.0)","(2674.0, 2038.0)",190.966
"(2741.0, 2676.0)","(2605.0, 2815.0)",194.466
"(4523.0, 4441.0)","(4415.0, 4278.0)",195.533
"(6233.0, 5826.0)","(6121.0, 5991.0)",199.422
"(6363.0, 5821.0)","(6560.0, 5782.0)",200.823
"(4988.0, 5407.0)","(5029.0, 5604.0)",201.221
"(7951.0, 7162.0)","(7824.0, 7326.0)",207.425
"(3349.0, 3603.0)","(3528.0, 3715.0)",211.152
"(3941.0, 3494.0)","(3966.0, 3284.0)",211.483
"(2908.0, 1880.0)","(2802.0, 2072.0)",219.317
"(6357.0, 5693.0)","(6560.0, 5782.0)",221.653
"(2463.0, 1962.0)","(2674.0, 2038.0)",224.27
"(2450.0, 1980.0)","(2674.0, 2038.0)",231.387
"(2811.0, 2686.0)","(3039.0, 2746.0)",235.763
"(3490.0, 3467.0)","(3727.0, 3516.0)",242.012
"(5644.0, 5773.0)","(5878.0, 5706.0)",243.403
"(6710.0, 6907.0)","(6928.0, 6798.0)",243.731
"(3508.0, 3396.0)","(3727.0, 3516.0)",249.722
"(3948.0, 4657.0)","(4192.0, 4585.0)",254.401
"(5879.0, 5409.0)","(5935.0, 5658.0)",255.22
"(2713.0, 2576.0)","(2605.0, 2815.0)",262.269
"(2854.0, 2972.0)","(3039.0, 2746.0)",292.063
"(3257.0, 3522.0)","(3528.0, 3715.0)",332.701
"(1772.0, 543.0)","(2023.0, 786.0)",349.357
"(3180.0, 3912.0)","(3469.0, 4137.0)",366.259
"(1929.0, 1443.0)","(2046.0, 1817.0)",391.874
