og_coord,goldstar_coord,dist
"(6938.832, 6080.136)","(6955.0, 6104.0)",28.825
"(6943.272, 6067.704)","(6955.0, 6104.0)",38.144
"(3769.56, 3591.96)","(3785.0, 3642.0)",52.368
"(6198.24, 6628.032)","(6149.0, 6587.0)",64.095
"(4755.24, 5380.392)","(4704.0, 5426.0)",68.598
"(4715.28, 5350.2)","(4704.0, 5426.0)",76.635
"(1408.368, 1056.72)","(1489.0, 1021.0)",88.19
"(6238.2, 6623.592)","(6149.0, 6587.0)",96.414
"(1403.928, 1073.592)","(1489.0, 1021.0)",100.016
"(3885.888, 3348.648)","(3966.0, 3284.0)",102.943
"(1416.36, 1094.016)","(1489.0, 1021.0)",102.995
"(6141.408, 5685.864)","(6039.0, 5709.0)",104.989
"(2710.176, 2140.08)","(2674.0, 2038.0)",108.301
"(4993.224, 5758.68)","(5057.0, 5671.0)",108.421
"(4331.664, 4347.648)","(4415.0, 4278.0)",108.608
"(4331.664, 4164.72)","(4349.0, 4057.0)",109.106
"(2411.808, 2272.392)","(2465.0, 2372.0)",112.921
"(4081.248, 4085.688)","(4146.0, 4179.0)",113.578
"(1401.264, 1094.904)","(1489.0, 1021.0)",114.714
"(4335.216, 4193.136)","(4415.0, 4278.0)",116.479
"(2559.216, 2013.096)","(2674.0, 2038.0)",117.455
"(3927.624, 3979.128)","(4047.0, 3971.0)",119.652
"(4305.912, 4331.664)","(4415.0, 4278.0)",121.573
"(3921.408, 3991.56)","(4047.0, 3971.0)",127.264
"(4308.576, 4352.976)","(4415.0, 4278.0)",130.182
"(3919.632, 4009.32)","(4047.0, 3971.0)",133.008
"(3852.144, 3462.312)","(3727.0, 3516.0)",136.174
"(2419.8, 2242.2)","(2465.0, 2372.0)",137.445
"(3908.088, 3958.704)","(4047.0, 3971.0)",139.455
"(3866.352, 3502.272)","(3727.0, 3516.0)",140.027
"(2529.912, 2037.072)","(2674.0, 2038.0)",144.091
"(4677.096, 5065.152)","(4795.0, 4978.0)",146.618
"(4953.264, 5779.104)","(5057.0, 5671.0)",149.825
"(3863.688, 3440.112)","(3727.0, 3516.0)",156.341
"(3889.44, 3993.336)","(4047.0, 3971.0)",159.135
"(4668.216, 5100.672)","(4787.0, 5211.0)",162.117
"(4662.0, 5089.128)","(4795.0, 4978.0)",173.316
"(6713.28, 6199.128)","(6828.0, 6337.0)",179.358
"(6588.072, 5962.032)","(6560.0, 5782.0)",182.207
"(6551.664, 5976.24)","(6391.0, 6077.0)",189.646
"(6722.16, 6176.04)","(6828.0, 6337.0)",192.64
"(4187.808, 4779.216)","(4192.0, 4585.0)",194.261
"(5245.416, 5310.24)","(5433.0, 5373.0)",197.804
"(6577.416, 5979.792)","(6560.0, 5782.0)",198.557
"(2996.112, 2148.96)","(2802.0, 2072.0)",208.812
"(7787.76, 7112.88)","(7824.0, 7326.0)",216.179
"(5128.2, 4966.584)","(4974.0, 4815.0)",216.23
"(5119.32, 4979.904)","(4974.0, 4815.0)",219.798
"(5214.336, 5338.656)","(5433.0, 5373.0)",221.345
"(2690.64, 2381.616)","(2465.0, 2372.0)",225.845
"(3009.432, 2172.048)","(2802.0, 2072.0)",230.299
"(5067.816, 5359.08)","(5086.0, 5591.0)",232.632
"(5160.168, 4963.92)","(4974.0, 4815.0)",238.402
"(5106.0, 5352.864)","(5086.0, 5591.0)",238.974
"(5139.744, 4990.56)","(4974.0, 4815.0)",241.438
"(2682.648, 1458.096)","(2537.0, 1263.0)",243.466
"(6715.056, 6052.608)","(6955.0, 6104.0)",245.386
"(6650.232, 6724.824)","(6404.0, 6794.0)",255.765
"(4407.144, 4847.592)","(4665.0, 4860.0)",258.154
"(6673.32, 6740.808)","(6928.0, 6798.0)",261.023
"(5065.152, 5329.776)","(5086.0, 5591.0)",262.055
"(5185.032, 5280.936)","(5433.0, 5373.0)",264.507
"(5172.6, 5310.24)","(5433.0, 5373.0)",267.856
"(8095.896, 7325.112)","(7824.0, 7326.0)",271.897
"(7237.2, 7281.6)","(7511.0, 7291.0)",273.961
"(5629.032, 5827.056)","(5878.0, 5706.0)",276.839
"(2746.584, 2391.384)","(2465.0, 2372.0)",282.25
"(3044.064, 1924.296)","(2802.0, 2072.0)",283.569
"(2848.704, 2978.352)","(2573.0, 2892.0)",288.911
"(7238.088, 7387.272)","(7511.0, 7291.0)",289.395
"(3060.936, 1942.056)","(2802.0, 2072.0)",289.712
"(7890.768, 7040.064)","(7824.0, 7326.0)",293.628
"(4795.2, 4505.712)","(5027.0, 4698.0)",301.174
"(3922.296, 5215.224)","(4211.0, 5105.0)",309.03
"(2213.784, 1030.08)","(2023.0, 786.0)",309.796
"(2804.304, 3115.992)","(2573.0, 2892.0)",321.984
"(2233.32, 1040.736)","(2023.0, 786.0)",330.341
"(3147.072, 3638.136)","(3528.0, 3715.0)",388.605
"(3145.296, 3623.928)","(3528.0, 3715.0)",393.391
"(3126.648, 3599.952)","(3528.0, 3715.0)",417.516
"(3093.792, 3615.936)","(3528.0, 3715.0)",445.365
