og_coord,goldstar_coord,dist
"(0.451, 0.652)","(0.442, 0.66)",0.012
"(0.441, 0.644)","(0.442, 0.66)",0.016
"(0.467, 0.655)","(0.442, 0.66)",0.026
"(0.448, 0.757)","(0.463, 0.783)",0.03
"(0.432, 0.789)","(0.463, 0.783)",0.031
"(0.481, 0.753)","(0.463, 0.783)",0.035
"(0.49, 0.759)","(0.463, 0.783)",0.036
"(0.364, 0.67)","(0.37, 0.712)",0.042
"(0.471, 0.693)","(0.442, 0.66)",0.044
"(0.455, 0.614)","(0.442, 0.66)",0.048
"(0.452, 0.613)","(0.442, 0.66)",0.048
"(0.502, 0.752)","(0.463, 0.783)",0.05
"(0.494, 0.681)","(0.442, 0.66)",0.056
"(0.436, 0.594)","(0.442, 0.66)",0.066
"(0.451, 0.59)","(0.442, 0.66)",0.071
"(0.521, 0.738)","(0.463, 0.783)",0.073
"(0.532, 0.598)","(0.442, 0.66)",0.109
