og_coord,goldstar_coord,dist
"(0.458, 0.796)","(0.463, 0.783)",0.014
"(0.465, 0.769)","(0.463, 0.783)",0.014
"(0.441, 0.644)","(0.442, 0.66)",0.016
"(0.43, 0.788)","(0.463, 0.783)",0.033
"(0.429, 0.734)","(0.391, 0.728)",0.038
"(0.485, 0.659)","(0.442, 0.66)",0.043
"(0.353, 0.755)","(0.37, 0.712)",0.046
"(0.447, 0.734)","(0.463, 0.783)",0.052
"(0.492, 0.68)","(0.442, 0.66)",0.054
"(0.466, 0.61)","(0.442, 0.66)",0.055
"(0.4, 0.621)","(0.442, 0.66)",0.057
"(0.437, 0.602)","(0.442, 0.66)",0.058
"(0.508, 0.66)","(0.442, 0.66)",0.066
"(0.498, 0.606)","(0.442, 0.66)",0.078
"(0.517, 0.628)","(0.442, 0.66)",0.082
"(0.513, 0.577)","(0.442, 0.66)",0.109
"(0.495, 0.555)","(0.442, 0.66)",0.118
