X,Y,cluster_id
5156,3951,37
7039,7018,6
7238,7468,3
6136,6681,53
5460,5289,52
5734,5646,5
7413,7279,16
6425,7256,4
5857,5612,9
3300,3647,18
2816,2735,19
5735,6123,45
6621,6119,58
2641,3308,57
690,1344,42
1626,2593,60
4821,4058,36
4423,4050,44
7420,7409,62
5986,5996,55
5557,5007,43
2122,2943,7
7291,7457,3
3323,3941,47
5687,5223,35
983,1435,61
6274,6289,63
6841,6897,51
3303,3655,18
3834,3828,32
6627,6859,0
5661,5634,5
5350,5739,30
3935,4276,50
2821,2739,19
6305,6800,20
1532,2557,1
7018,7047,6
3193,3636,31
3762,4100,25
5877,5658,9
3019,3457,10
5290,4281,28
3929,3114,54
6766,6309,17
3673,3307,26
5626,5477,56
6750,7709,49
5240,4932,12
7311,7395,3
6343,7232,4
3526,3471,46
7432,7272,16
5200,5692,38
7069,7378,11
2047,2927,7
1269,2171,59
2847,3190,34
4273,4359,48
4579,4289,21
7197,7236,27
2539,2559,29
3515,3749,14
6547,6795,0
4436,4549,15
6451,6017,41
2725,2970,8
1435,2543,1
3071,3507,10
7638,7671,2
6529,7439,22
6851,7483,39
1413,1606,24
7062,7326,11
2449,3363,23
7549,7626,2
1314,2000,33
1020,2037,40
7062,7363,11
6306,6776,20
6842,6651,13
2701,2905,8
