X,Y,cluster_id
2388.0,3121.0,0.0
2471.0,3205.0,0.0
1922.0,1754.0,1.0
1905.0,1639.0,1.0
1913.0,1725.0,1.0
3343.0,3653.0,2.0
3350.0,3635.0,2.0
3350.0,3693.0,2.0
3322.0,3686.0,2.0
3428.0,3674.0,2.0
3330.0,3671.0,2.0
1995.0,2442.0,3.0
2016.0,2444.0,3.0
2077.0,2374.0,3.0
1814.0,2182.0,4.0
1833.0,2289.0,4.0
1813.0,2198.0,4.0
3465.0,2650.0,5.0
3447.0,2567.0,5.0
3481.0,2553.0,5.0
3200.0,3482.0,6.0
3182.0,3509.0,6.0
3121.0,3534.0,6.0
3109.0,3499.0,6.0
1126.0,1729.0,7.0
1059.0,1637.0,7.0
374.0,87.0,8.0
310.0,181.0,8.0
1402.0,1583.0,9.0
1294.0,1540.0,9.0
1316.0,1594.0,9.0
1764.0,339.0,10.0
1875.0,346.0,10.0
1324.0,595.0,11.0
1306.0,565.0,11.0
1331.0,573.0,11.0
1359.0,637.0,11.0
1336.0,519.0,11.0
407.0,1671.0,12.0
319.0,1621.0,12.0
3407.0,2253.0,13.0
3412.0,2234.0,13.0
3321.0,2264.0,13.0
784.0,2385.0,14.0
677.0,2386.0,14.0
3414.0,1191.0,15.0
3406.0,1152.0,15.0
3335.0,1108.0,15.0
1391.0,186.0,16.0
1371.0,80.0,16.0
2829.0,810.0,17.0
2866.0,720.0,17.0
489.0,987.0,18.0
473.0,1061.0,18.0
493.0,1100.0,18.0
3144.0,3408.0,19.0
3171.0,3398.0,19.0
3144.0,3314.0,19.0
855.0,1455.0,20.0
786.0,1450.0,20.0
2273.0,2372.0,21.0
2242.0,2319.0,21.0
2270.0,2391.0,21.0
2383.0,2265.0,22.0
2300.0,2195.0,22.0
2590.0,2166.0,23.0
2619.0,2153.0,23.0
2637.0,2130.0,23.0
2617.0,2183.0,23.0
1751.0,469.0,24.0
1748.0,450.0,24.0
1740.0,426.0,24.0
1813.0,462.0,24.0
2656.0,1926.0,25.0
2696.0,1890.0,25.0
2738.0,1919.0,25.0
2664.0,1892.0,25.0
770.0,887.0,26.0
825.0,907.0,26.0
763.0,909.0,26.0
1563.0,826.0,27.0
1548.0,804.0,27.0
1625.0,823.0,27.0
1629.0,795.0,27.0
1566.0,793.0,27.0
1588.0,779.0,27.0
1843.0,2435.0,28.0
1857.0,2517.0,28.0
1870.0,2462.0,28.0
493.0,140.0,29.0
508.0,42.0,29.0
2811.0,3381.0,30.0
2794.0,3276.0,30.0
2368.0,3451.0,31.0
2396.0,3469.0,31.0
2361.0,3518.0,31.0
1641.0,542.0,32.0
1596.0,535.0,32.0
1647.0,490.0,32.0
3508.0,2508.0,33.0
3514.0,2437.0,33.0
3450.0,2494.0,33.0
2912.0,3661.0,34.0
2834.0,3650.0,34.0
3105.0,2570.0,35.0
3098.0,2477.0,35.0
2834.0,2161.0,36.0
2839.0,2115.0,36.0
2774.0,2164.0,36.0
3084.0,681.0,37.0
3124.0,758.0,37.0
2985.0,67.0,38.0
2912.0,28.0,38.0
1223.0,1015.0,39.0
1283.0,985.0,39.0
1258.0,978.0,39.0
1299.0,954.0,39.0
1241.0,1003.0,39.0
687.0,184.0,40.0
713.0,111.0,40.0
2234.0,2811.0,41.0
2293.0,2854.0,41.0
2264.0,2847.0,41.0
2254.0,2879.0,41.0
2221.0,2853.0,41.0
1005.0,119.0,42.0
991.0,169.0,42.0
3090.0,3387.0,43.0
3053.0,3424.0,43.0
1270.0,2096.0,44.0
1296.0,2119.0,44.0
1342.0,2122.0,44.0
1306.0,2133.0,44.0
2703.0,1832.0,45.0
2758.0,1855.0,45.0
3262.0,2698.0,46.0
3303.0,2729.0,46.0
1865.0,2725.0,47.0
1830.0,2762.0,47.0
2484.0,1130.0,48.0
1707.0,179.0,49.0
1735.0,244.0,49.0
1741.0,170.0,49.0
2261.0,3736.0,50.0
2181.0,3723.0,50.0
1404.0,986.0,51.0
1369.0,987.0,51.0
3353.0,2359.0,52.0
3422.0,2359.0,52.0
3381.0,2335.0,52.0
1782.0,3580.0,53.0
1832.0,3572.0,53.0
1790.0,3551.0,53.0
448.0,2859.0,54.0
383.0,2874.0,54.0
1613.0,1364.0,55.0
1653.0,1344.0,55.0
1632.0,1374.0,55.0
2965.0,1939.0,56.0
2967.0,1984.0,56.0
2916.0,1898.0,56.0
2964.0,1924.0,56.0
2891.0,1963.0,56.0
2944.0,1925.0,56.0
629.0,1112.0,57.0
659.0,1085.0,57.0
646.0,1053.0,57.0
670.0,1056.0,57.0
637.0,1070.0,57.0
1817.0,39.0,58.0
2060.0,2820.0,59.0
2079.0,2842.0,59.0
2089.0,2788.0,59.0
2658.0,1740.0,60.0
2702.0,1667.0,60.0
2655.0,1700.0,60.0
809.0,673.0,61.0
800.0,656.0,61.0
781.0,659.0,61.0
759.0,673.0,61.0
774.0,707.0,61.0
739.0,708.0,61.0
822.0,646.0,61.0
2237.0,1242.0,62.0
2557.0,1932.0,63.0
2591.0,1926.0,63.0
2519.0,1933.0,63.0
2571.0,3737.0,64.0
2531.0,3719.0,64.0
2510.0,3708.0,64.0
1574.0,3173.0,65.0
1542.0,3135.0,65.0
3188.0,1830.0,66.0
3191.0,1887.0,66.0
3222.0,1851.0,66.0
3250.0,105.0,67.0
3328.0,110.0,67.0
1421.0,1273.0,68.0
1409.0,1285.0,68.0
1426.0,1317.0,68.0
1444.0,1342.0,68.0
2508.0,3542.0,69.0
2521.0,3614.0,69.0
2310.0,3557.0,70.0
2284.0,3530.0,70.0
2265.0,3541.0,70.0
1043.0,263.0,71.0
1038.0,226.0,71.0
1478.0,1399.0,72.0
1418.0,1428.0,72.0
2174.0,1394.0,73.0
2209.0,1452.0,73.0
2203.0,1413.0,73.0
2205.0,1390.0,73.0
139.0,567.0,74.0
151.0,501.0,74.0
173.0,554.0,74.0
144.0,521.0,74.0
1480.0,168.0,75.0
1518.0,176.0,75.0
1554.0,1550.0,76.0
1617.0,1550.0,76.0
2256.0,1846.0,77.0
2286.0,1842.0,77.0
2251.0,1873.0,77.0
2231.0,1881.0,77.0
2230.0,1851.0,77.0
1598.0,2153.0,78.0
1546.0,2120.0,78.0
1997.0,3287.0,79.0
1951.0,3321.0,79.0
2017.0,3660.0,80.0
2028.0,3648.0,80.0
