X,Y,cluster_id
28,2682.0,231.0
117,1634.0,84.0
878,1535.0,53.0
640,396.0,148.0
1641,2174.0,19.0
3003,1943.0,100.0
3391,458.0,199.0
166,1958.0,150.0
251,2887.0,131.0
3522,242.0,21.0
2205,687.0,185.0
611,871.0,46.0
2575,151.0,71.0
741,3066.0,140.0
984,1008.0,5.0
1545,405.0,42.0
2024,1873.0,162.0
3201,2823.0,107.0
1137,2460.0,56.0
2534,464.0,85.0
1167,2695.0,215.0
1359,3496.0,81.0
2798,2456.0,79.0
2564,1989.0,232.0
916,746.0,8.0
354,3554.0,193.0
1540,502.0,42.0
1691,1764.0,218.0
1062,2531.0,56.0
3134,1554.0,11.0
1855,1592.0,159.0
875,2627.0,54.0
3541,2560.0,24.0
551,1930.0,29.0
1389,3451.0,81.0
2219,2461.0,57.0
1603,186.0,67.0
392,2065.0,102.0
1240,745.0,178.0
2226,3427.0,23.0
3764,2002.0,92.0
2990,3161.0,89.0
1423,3374.0,177.0
3003,3180.0,89.0
1011,1564.0,75.0
2472,228.0,87.0
1236,2446.0,120.0
1783,2141.0,2.0
3316,2015.0,22.0
2166,3270.0,207.0
3397,292.0,136.0
2119,3474.0,23.0
1573,2308.0,226.0
321,699.0,182.0
1849,174.0,189.0
88,2059.0,118.0
2446,3091.0,37.0
3322,2975.0,142.0
1355,2640.0,108.0
1985,90.0,152.0
1267,2474.0,120.0
3424,1314.0,80.0
1555,3419.0,52.0
940,1243.0,233.0
1602,155.0,67.0
1653,3050.0,138.0
2437,3449.0,14.0
1096,978.0,5.0
107,1568.0,84.0
1214,2188.0,203.0
357,2102.0,102.0
1645,2258.0,19.0
546,2450.0,27.0
81,2481.0,206.0
2453,180.0,87.0
2577,3440.0,10.0
1956,3163.0,112.0
3479,1618.0,200.0
2553,2159.0,119.0
186,3446.0,25.0
2572,2573.0,16.0
554,1532.0,49.0
267,2608.0,26.0
3401,1155.0,50.0
899,2173.0,116.0
2761,434.0,94.0
3598,318.0,21.0
3021,1907.0,100.0
71,2129.0,118.0
2389,2444.0,213.0
179,3203.0,229.0
1941,1849.0,227.0
2591,3499.0,10.0
2543,3300.0,105.0
3678,1589.0,235.0
2844,3405.0,90.0
3262,2125.0,98.0
2094,1331.0,3.0
1153,1396.0,55.0
209,2199.0,43.0
903,2627.0,54.0
3660,215.0,234.0
182,2322.0,144.0
364,2338.0,74.0
2159,2957.0,33.0
3552,2602.0,24.0
505,3548.0,103.0
100,1393.0,28.0
2973,557.0,97.0
1349,1781.0,164.0
3266,1897.0,222.0
2149,1298.0,3.0
2341,3459.0,14.0
1824,2942.0,40.0
107,1224.0,17.0
757,2580.0,145.0
434,2158.0,30.0
3626,1129.0,205.0
90,99.0,139.0
233,1803.0,34.0
52,2114.0,118.0
1785,937.0,172.0
754,2071.0,223.0
1821,3123.0,225.0
3049,2841.0,31.0
275,1643.0,96.0
576,2231.0,60.0
2941,2593.0,143.0
3638,3298.0,204.0
773,2403.0,78.0
2196,3506.0,23.0
1293,1187.0,230.0
1115,585.0,12.0
887,2709.0,54.0
1874,2825.0,36.0
3683,2780.0,1.0
1123,3260.0,58.0
1597,2690.0,48.0
1465,1371.0,111.0
2446,3171.0,197.0
3357,610.0,125.0
2207,522.0,165.0
3757,2017.0,92.0
709,782.0,211.0
1501,3166.0,88.0
339,825.0,224.0
81,1266.0,17.0
3296,3215.0,129.0
2239,2376.0,57.0
3213,2014.0,22.0
157,729.0,4.0
465,3191.0,61.0
2404,570.0,153.0
3493,1480.0,72.0
362,1745.0,86.0
3217,1105.0,113.0
389,3197.0,61.0
588,159.0,123.0
2232,2974.0,33.0
1258,782.0,178.0
3622,1409.0,187.0
469,3185.0,61.0
2623,3561.0,10.0
22,1208.0,17.0
2736,1104.0,186.0
3494,3149.0,13.0
2454,2372.0,77.0
391,2260.0,74.0
3299,1097.0,113.0
2326,3567.0,208.0
19,2009.0,202.0
572,960.0,46.0
2843,3217.0,66.0
958,1506.0,53.0
3362,1197.0,50.0
3371,1065.0,106.0
71,3082.0,45.0
650,2913.0,64.0
3309,1228.0,50.0
3526,661.0,126.0
534,1699.0,156.0
536,2835.0,240.0
2201,1474.0,130.0
3425,1490.0,72.0
1151,3176.0,58.0
1973,929.0,209.0
1078,1806.0,91.0
1265,3062.0,149.0
3678,1936.0,95.0
401,2021.0,102.0
2089,1043.0,158.0
3237,2831.0,107.0
3746,2045.0,92.0
2032,3354.0,63.0
41,2950.0,20.0
3125,1954.0,236.0
2321,2619.0,62.0
705,2397.0,78.0
2023,1158.0,195.0
413,1850.0,6.0
921,1118.0,221.0
2543,3082.0,37.0
2313,1262.0,181.0
205,631.0,4.0
3104,2713.0,109.0
1690,1104.0,47.0
1281,1797.0,237.0
1825,300.0,0.0
1789,610.0,175.0
1029,757.0,8.0
3191,2099.0,98.0
1372,736.0,214.0
2058,3281.0,63.0
1927,298.0,0.0
585,245.0,123.0
3510,3039.0,13.0
2967,3154.0,89.0
119,1487.0,28.0
11,1692.0,196.0
3580,161.0,114.0
2372,3316.0,127.0
3602,1536.0,174.0
175,3556.0,25.0
1607,112.0,67.0
875,515.0,201.0
3643,1017.0,44.0
2867,2446.0,79.0
1438,3329.0,177.0
2394,2766.0,171.0
1634,2690.0,48.0
2250,2668.0,62.0
1791,2239.0,2.0
634,2836.0,64.0
141,1018.0,59.0
1194,602.0,12.0
1371,2144.0,210.0
1903,2414.0,38.0
3141,1171.0,194.0
992,2176.0,110.0
2612,477.0,85.0
145,3104.0,45.0
2641,3339.0,101.0
3109,1832.0,188.0
1581,2620.0,48.0
53,2808.0,121.0
210,1746.0,34.0
335,1687.0,86.0
2318,2213.0,147.0
2292,2073.0,7.0
3182,1647.0,11.0
1519,2126.0,132.0
3573,979.0,44.0
1988,1664.0,18.0
1633,880.0,35.0
2130,2600.0,41.0
1444,1235.0,198.0
2341,1902.0,169.0
2381,1996.0,7.0
153,2251.0,144.0
651,1589.0,49.0
126,3321.0,167.0
2131,1248.0,3.0
1034,1545.0,75.0
1468,1519.0,104.0
1001,2925.0,124.0
2607,221.0,71.0
1757,2348.0,166.0
2682,1942.0,217.0
1860,1110.0,163.0
477,3579.0,103.0
604,1579.0,49.0
1633,2871.0,212.0
1424,2625.0,70.0
325,3127.0,190.0
362,794.0,224.0
1892,2494.0,38.0
3308,2970.0,142.0
1574,936.0,35.0
2943,607.0,97.0
835,2661.0,54.0
1795,2193.0,2.0
2484,3293.0,105.0
125,3003.0,20.0
2193,3009.0,33.0
2448,2294.0,77.0
1398,1200.0,198.0
384,729.0,182.0
2152,300.0,115.0
223,1642.0,96.0
1343,2655.0,108.0
242,2204.0,43.0
246,2681.0,26.0
642,2147.0,154.0
1449,3198.0,88.0
2368,1090.0,191.0
528,1963.0,29.0
2323,3095.0,168.0
3548,2715.0,216.0
3538,653.0,126.0
2101,1042.0,158.0
2387,3303.0,127.0
1638,3478.0,52.0
1103,1832.0,91.0
600,1706.0,156.0
3702,1948.0,95.0
867,975.0,83.0
1436,1078.0,51.0
149,1852.0,238.0
2365,899.0,220.0
1262,1066.0,241.0
3017,1544.0,179.0
78,1065.0,59.0
430,901.0,173.0
492,2082.0,30.0
709,209.0,219.0
2560,2556.0,16.0
3436,1037.0,106.0
3585,1504.0,174.0
2486,2149.0,119.0
1760,2796.0,99.0
3559,146.0,114.0
3474,2637.0,24.0
295,168.0,9.0
1506,1062.0,51.0
287,1730.0,86.0
2730,441.0,94.0
1449,1964.0,15.0
226,662.0,4.0
2458,2947.0,180.0
235,1941.0,150.0
3161,1556.0,11.0
2983,2750.0,31.0
626,2374.0,27.0
1962,3489.0,133.0
98,481.0,134.0
1337,1308.0,146.0
373,1577.0,192.0
350,1900.0,6.0
281,2190.0,43.0
1561,1944.0,15.0
2766,446.0,94.0
2911,3357.0,90.0
613,2674.0,76.0
1178,1503.0,55.0
1127,690.0,12.0
2158,2853.0,32.0
2871,3374.0,90.0
413,1794.0,6.0
3772,3221.0,122.0
2489,3217.0,197.0
2089,2529.0,41.0
3332,2476.0,117.0
2913,3199.0,66.0
2086,1856.0,162.0
1097,1553.0,75.0
850,2133.0,116.0
2776,1711.0,155.0
3302,952.0,183.0
538,2686.0,76.0
3000,2373.0,160.0
2340,1886.0,169.0
2136,2675.0,161.0
3481,1264.0,80.0
2558,1729.0,137.0
1394,1745.0,164.0
482,3018.0,157.0
1755,2134.0,2.0
403,2480.0,151.0
1210,2834.0,73.0
2049,2869.0,32.0
193,2697.0,26.0
2499,940.0,141.0
967,1419.0,228.0
1258,946.0,69.0
1415,331.0,82.0
734,2587.0,145.0
861,536.0,201.0
431,2776.0,184.0
248,267.0,9.0
3799,2807.0,1.0
75,2507.0,206.0
1314,1820.0,237.0
1963,128.0,152.0
1381,3421.0,81.0
2000,1640.0,18.0
1533,1791.0,39.0
3155,2575.0,93.0
1902,3171.0,112.0
36,2193.0,239.0
287,1314.0,135.0
3068,2109.0,176.0
2954,2617.0,143.0
2082,1637.0,18.0
1517,1660.0,128.0
1614,1813.0,39.0
1417,2486.0,170.0
2572,1112.0,68.0
1536,1422.0,111.0
2534,3314.0,105.0
1923,355.0,0.0
2103,1213.0,3.0
560,785.0,65.0
3389,1060.0,106.0
508,2274.0,60.0
1950,2780.0,36.0
476,1986.0,29.0
1571,1350.0,111.0
1903,2937.0,40.0
2199,3011.0,33.0
1475,2641.0,70.0
112,1426.0,28.0
2499,2508.0,16.0
455,2427.0,151.0
2146,2744.0,161.0
3038,2666.0,109.0
1616,1032.0,47.0
982,719.0,8.0
1451,1065.0,51.0
1473,1100.0,51.0
