og_centroid,closest_centroid,dist,cluster_id
"(168.5, 1501.5)","(185.0, 1406.0)",96.915,4.0
"(185.0, 1406.0)","(168.5, 1501.5)",96.915,8.0
"(1202.0, 2545.333)","(1119.0, 2631.0)",119.28,43.0
"(1119.0, 2631.0)","(1202.0, 2545.333)",119.28,139.0
"(3421.0, 2472.667)","(3624.333, 2450.333)",204.556,10.0
"(3624.333, 2450.333)","(3421.0, 2472.667)",204.556,16.0
"(2636.667, 2065.667)","(2523.333, 1882.667)",215.252,27.0
"(2523.333, 1882.667)","(2636.667, 2065.667)",215.252,17.0
"(366.25, 1635.25)","(168.5, 1501.5)",238.734,22.0
"(395.5, 163.25)","(663.333, 117.667)",271.684,128.0
"(663.333, 117.667)","(395.5, 163.25)",271.684,66.0
"(3279.333, 2897.667)","(3130.0, 3155.667)",298.101,70.0
"(3130.0, 3155.667)","(3279.333, 2897.667)",298.101,33.0
"(59.0, 939.667)","(198.667, 640.0)",330.616,64.0
"(198.667, 640.0)","(59.0, 939.667)",330.616,146.0
"(2354.0, 682.0)","(2408.667, 1022.333)",344.696,50.0
"(2408.667, 1022.333)","(2354.0, 682.0)",344.696,57.0
"(1382.333, 1282.333)","(1300.333, 944.0)",348.128,24.0
"(1300.333, 944.0)","(1382.333, 1282.333)",348.128,39.0
"(415.333, 996.0)","(59.0, 939.667)",360.758,6.0
"(2999.0, 2056.333)","(2636.667, 2065.667)",362.453,110.0
"(2252.667, 3066.0)","(1874.333, 3070.667)",378.363,155.0
"(1874.333, 3070.667)","(2252.667, 3066.0)",378.363,59.0
"(725.667, 2740.0)","(1119.0, 2631.0)",408.157,79.0
"(1789.0, 3528.0)","(1874.333, 3070.667)",465.226,113.0
"(1882.0, 122.333)","(1552.333, 469.667)",478.875,7.0
"(1552.333, 469.667)","(1882.0, 122.333)",478.875,5.0
"(1377.0, 3038.0)","(1119.0, 2631.0)",481.885,20.0
"(872.333, 1718.667)","(366.25, 1635.25)",512.912,34.0
"(298.0, 2437.667)","(725.667, 2740.0)",523.741,98.0
"(1902.333, 2426.0)","(1874.333, 3070.667)",645.275,54.0
"(2999.667, 546.667)","(2354.0, 682.0)",659.698,40.0
"(44.333, 3429.667)","(725.667, 2740.0)",969.462,28.0
