og_centroid,closest_centroid,dist,cluster_id
"(3735.798, 2907.473)","(3724.612, 2943.477)",37.702,114
"(3724.612, 2943.477)","(3735.798, 2907.473)",37.702,79
"(4647.245, 2268.282)","(4642.948, 2227.24)",41.266,109
"(4642.948, 2227.24)","(4647.245, 2268.282)",41.266,135
"(3536.973, 5309.105)","(3587.706, 5315.921)",51.189,55
"(3587.706, 5315.921)","(3536.973, 5309.105)",51.189,90
"(2904.954, 5426.157)","(2859.689, 5395.56)",54.636,17
"(2859.689, 5395.56)","(2904.954, 5426.157)",54.636,46
"(3883.743, 4148.368)","(3903.063, 4095.799)",56.007,89
"(3903.063, 4095.799)","(3883.743, 4148.368)",56.007,10
"(4774.594, 1812.448)","(4828.156, 1829.857)",56.32,39
"(4828.156, 1829.857)","(4774.594, 1812.448)",56.32,166
"(3754.245, 2804.201)","(3789.805, 2760.344)",56.462,165
"(3789.805, 2760.344)","(3754.245, 2804.201)",56.462,52
"(3020.82, 3847.886)","(2976.37, 3805.985)",61.086,67
"(2976.37, 3805.985)","(3020.82, 3847.886)",61.086,19
"(2742.564, 5202.722)","(2699.595, 5249.838)",63.767,87
"(2699.595, 5249.838)","(2742.564, 5202.722)",63.767,105
"(4580.126, 2271.927)","(4647.245, 2268.282)",67.218,8
"(3812.03, 2379.259)","(3743.873, 2383.111)",68.266,61
"(3743.873, 2383.111)","(3812.03, 2379.259)",68.266,84
"(3490.212, 5016.921)","(3500.213, 4949.283)",68.373,158
"(3500.213, 4949.283)","(3490.212, 5016.921)",68.373,229
"(4578.644, 2201.755)","(4642.948, 2227.24)",69.17,149
"(1173.257, 8157.015)","(1145.328, 8092.859)",69.972,27
"(1145.328, 8092.859)","(1173.257, 8157.015)",69.972,44
"(1161.922, 8024.702)","(1145.328, 8092.859)",70.148,82
"(3820.92, 4180.668)","(3883.743, 4148.368)",70.64,3
"(950.34, 9581.34)","(904.557, 9636.014)",71.311,43
"(904.557, 9636.014)","(950.34, 9581.34)",71.311,2
"(996.346, 9636.088)","(950.34, 9581.34)",71.512,28
"(1031.462, 9933.458)","(1062.354, 10002.134)",75.304,22
"(1062.354, 10002.134)","(1031.462, 9933.458)",75.304,64
"(4624.872, 1808.521)","(4551.381, 1826.894)",75.753,45
"(4551.381, 1826.894)","(4624.872, 1808.521)",75.753,38
"(957.452, 9225.593)","(1012.57, 9171.512)",77.219,160
"(1012.57, 9171.512)","(957.452, 9225.593)",77.219,32
"(3655.566, 4057.69)","(3613.116, 4126.736)",81.052,78
"(3613.116, 4126.736)","(3655.566, 4057.69)",81.052,143
"(3768.469, 2464.01)","(3743.873, 2383.111)",84.555,26
"(2940.81, 5347.332)","(2904.954, 5426.157)",86.597,60
"(3657.937, 2395.854)","(3743.873, 2383.111)",86.876,51
"(1252.008, 8782.723)","(1272.381, 8690.859)",94.096,30
"(1272.381, 8690.859)","(1252.008, 8782.723)",94.096,35
"(2941.403, 5513.279)","(2904.954, 5426.157)",94.439,127
"(3810.074, 4066.817)","(3903.063, 4095.799)",97.401,23
"(3869.104, 4266.131)","(3820.92, 4180.668)",98.11,93
"(3727.353, 2683.445)","(3789.805, 2760.344)",99.064,47
"(1154.81, 8749.311)","(1252.008, 8782.723)",102.78,50
"(3958.715, 5571.064)","(3992.052, 5674.262)",108.449,0
"(3992.052, 5674.262)","(3958.715, 5571.064)",108.449,29
"(2906.317, 4253.507)","(2919.178, 4143.923)",110.336,14
"(2919.178, 4143.923)","(2906.317, 4253.507)",110.336,13
"(2887.174, 5610.18)","(2941.403, 5513.279)",111.043,49
"(3732.316, 3973.828)","(3655.566, 4057.69)",113.681,77
"(826.77, 9551.411)","(904.557, 9636.014)",114.928,75
"(4002.869, 4017.389)","(3903.063, 4095.799)",126.923,54
"(3696.993, 5211.671)","(3587.706, 5315.921)",151.035,31
"(4486.336, 1689.321)","(4551.381, 1826.894)",152.175,9
"(4981.657, 1886.457)","(4828.156, 1829.857)",163.604,164
"(3801.362, 3822.994)","(3732.316, 3973.828)",165.886,34
"(3865.548, 4438.775)","(3869.104, 4266.131)",172.681,112
"(3260.554, 2749.083)","(3411.091, 2854.577)",183.822,83
"(3411.091, 2854.577)","(3260.554, 2749.083)",183.822,104
"(1248.822, 9849.448)","(1232.153, 9638.533)",211.573,15
"(1232.153, 9638.533)","(1248.822, 9849.448)",211.573,7
"(920.411, 8799.317)","(1154.81, 8749.311)",239.674,76
"(3102.253, 5136.817)","(3037.711, 4898.684)",246.725,4
"(3037.711, 4898.684)","(3102.253, 5136.817)",246.725,53
"(2760.166, 4951.194)","(2742.564, 5202.722)",252.143,59
"(4889.497, 2352.885)","(4647.245, 2268.282)",256.6,25
"(2044.699, 5880.91)","(2212.72, 5686.337)",257.079,1
"(2212.72, 5686.337)","(2044.699, 5880.91)",257.079,11
"(1324.313, 8429.493)","(1272.381, 8690.859)",266.475,68
"(3234.477, 3659.418)","(3020.82, 3847.886)",284.903,58
"(3967.827, 3132.39)","(3724.612, 2943.477)",307.964,62
"(3347.083, 2406.818)","(3657.937, 2395.854)",311.047,24
"(4047.437, 2174.671)","(3812.03, 2379.259)",311.886,16
"(1313.275, 7648.73)","(1624.424, 7516.713)",337.997,6
"(1624.424, 7516.713)","(1313.275, 7648.73)",337.997,101
"(2369.85, 5069.52)","(2699.595, 5249.838)",375.828,40
"(3478.655, 3286.631)","(3724.612, 2943.477)",422.196,81
"(2003.805, 7181.042)","(1624.424, 7516.713)",506.562,86
"(4051.171, 1342.093)","(4486.336, 1689.321)",556.719,119
"(1951.354, 6435.171)","(2044.699, 5880.91)",562.066,201
"(1705.694, 4959.728)","(2369.85, 5069.52)",673.17,196
"(1986.618, 9377.463)","(1232.153, 9638.533)",798.358,18
