og_centroid,closest_centroid,dist,cluster_id
"(4.202, 3.27)","(4.19, 3.311)",0.042,114
"(4.19, 3.311)","(4.202, 3.27)",0.042,79
"(5.227, 2.552)","(5.223, 2.505)",0.046,109
"(5.223, 2.505)","(5.227, 2.552)",0.046,135
"(3.979, 5.972)","(4.036, 5.98)",0.058,55
"(4.036, 5.98)","(3.979, 5.972)",0.058,90
"(3.268, 6.104)","(3.217, 6.069)",0.061,17
"(3.217, 6.069)","(3.268, 6.104)",0.061,46
"(4.369, 4.666)","(4.39, 4.607)",0.063,89
"(4.39, 4.607)","(4.369, 4.666)",0.063,10
"(5.371, 2.039)","(5.431, 2.058)",0.063,39
"(5.431, 2.058)","(5.371, 2.039)",0.063,166
"(4.223, 3.154)","(4.263, 3.105)",0.064,165
"(4.263, 3.105)","(4.223, 3.154)",0.064,52
"(3.398, 4.328)","(3.348, 4.281)",0.069,67
"(3.348, 4.281)","(3.398, 4.328)",0.069,19
"(3.085, 5.852)","(3.037, 5.905)",0.072,87
"(3.037, 5.905)","(3.085, 5.852)",0.072,105
"(5.152, 2.556)","(5.227, 2.552)",0.076,8
"(4.288, 2.676)","(4.211, 2.681)",0.077,61
"(4.211, 2.681)","(4.288, 2.676)",0.077,84
"(3.926, 5.643)","(3.937, 5.567)",0.077,158
"(3.937, 5.567)","(3.926, 5.643)",0.077,229
"(5.15, 2.477)","(5.223, 2.505)",0.078,149
"(1.32, 9.176)","(1.288, 9.103)",0.079,27
"(1.288, 9.103)","(1.32, 9.176)",0.079,44
"(1.307, 9.027)","(1.288, 9.103)",0.079,82
"(4.298, 4.703)","(4.369, 4.666)",0.079,3
"(1.069, 10.778)","(1.018, 10.839)",0.08,43
"(1.018, 10.839)","(1.069, 10.778)",0.08,2
"(1.121, 10.839)","(1.069, 10.778)",0.08,28
"(1.16, 11.174)","(1.195, 11.251)",0.085,22
"(1.195, 11.251)","(1.16, 11.174)",0.085,64
"(5.202, 2.034)","(5.12, 2.055)",0.085,45
"(5.12, 2.055)","(5.202, 2.034)",0.085,38
"(1.077, 10.377)","(1.139, 10.317)",0.087,160
"(1.139, 10.317)","(1.077, 10.377)",0.087,32
"(4.112, 4.564)","(4.064, 4.642)",0.091,78
"(4.064, 4.642)","(4.112, 4.564)",0.091,143
"(4.239, 2.772)","(4.211, 2.681)",0.095,26
"(3.308, 6.015)","(3.268, 6.104)",0.097,60
"(4.115, 2.695)","(4.211, 2.681)",0.098,51
"(1.408, 9.879)","(1.431, 9.776)",0.106,30
"(1.431, 9.776)","(1.408, 9.879)",0.106,35
"(3.309, 6.202)","(3.268, 6.104)",0.106,127
"(4.286, 4.575)","(4.39, 4.607)",0.11,23
"(4.352, 4.799)","(4.298, 4.703)",0.11,93
"(4.193, 3.019)","(4.263, 3.105)",0.111,47
"(1.299, 9.842)","(1.408, 9.879)",0.116,50
"(4.453, 6.267)","(4.491, 6.383)",0.122,0
"(4.491, 6.383)","(4.453, 6.267)",0.122,29
"(3.269, 4.785)","(3.284, 4.661)",0.124,14
"(3.284, 4.661)","(3.269, 4.785)",0.124,13
"(3.248, 6.311)","(3.309, 6.202)",0.125,49
"(4.198, 4.47)","(4.112, 4.564)",0.128,77
"(0.93, 10.744)","(1.018, 10.839)",0.129,75
"(4.503, 4.519)","(4.39, 4.607)",0.143,54
"(4.159, 5.862)","(4.036, 5.98)",0.17,31
"(5.047, 1.9)","(5.12, 2.055)",0.171,9
"(5.604, 2.122)","(5.431, 2.058)",0.184,164
"(4.276, 4.3)","(4.198, 4.47)",0.187,34
"(4.348, 4.993)","(4.352, 4.799)",0.194,112
"(3.668, 3.092)","(3.837, 3.211)",0.207,83
"(3.837, 3.211)","(3.668, 3.092)",0.207,104
"(1.405, 11.079)","(1.386, 10.842)",0.238,15
"(1.386, 10.842)","(1.405, 11.079)",0.238,7
"(1.035, 9.898)","(1.299, 9.842)",0.27,76
"(3.49, 5.778)","(3.417, 5.51)",0.278,4
"(3.417, 5.51)","(3.49, 5.778)",0.278,53
"(3.105, 5.569)","(3.085, 5.852)",0.284,59
"(5.5, 2.647)","(5.227, 2.552)",0.289,25
"(2.3, 6.615)","(2.489, 6.396)",0.289,1
"(2.489, 6.396)","(2.3, 6.615)",0.289,11
"(1.49, 9.482)","(1.431, 9.776)",0.3,68
"(3.638, 4.116)","(3.398, 4.328)",0.32,58
"(4.463, 3.523)","(4.19, 3.311)",0.346,62
"(3.765, 2.707)","(4.115, 2.695)",0.35,24
"(4.553, 2.446)","(4.288, 2.676)",0.351,16
"(1.477, 8.604)","(1.827, 8.455)",0.38,6
"(1.827, 8.455)","(1.477, 8.604)",0.38,101
"(2.666, 5.702)","(3.037, 5.905)",0.423,40
"(3.913, 3.697)","(4.19, 3.311)",0.475,81
"(2.254, 8.078)","(1.827, 8.455)",0.57,86
"(4.557, 1.51)","(5.047, 1.9)",0.626,119
"(2.195, 7.239)","(2.3, 6.615)",0.632,201
"(1.919, 5.579)","(2.666, 5.702)",0.757,196
"(2.235, 10.548)","(1.386, 10.842)",0.898,18
