X,Y,cluster_id
4.442,3.061,313
8.026,0.654,354
3.321,2.582,268
2.882,2.906,111
3.014,2.708,78
5.158,1.792,283
1.757,4.257,61
4.539,3.067,226
4.249,2.642,69
4.487,2.518,6
2.548,3.284,59
7.961,0.667,15
2.083,4.57,235
8.524,0.792,91
4.732,2.122,49
4.458,3.391,36
1.628,4.459,37
2.737,3.295,107
4.009,3.376,193
3.332,2.68,291
1.525,4.617,32
1.589,4.087,86
3.114,3.044,56
0.844,3.577,307
3.261,2.879,55
2.771,3.363,21
4.822,2.66,60
7.633,1.194,2
4.302,2.393,75
8.18,1.818,229
7.29,1.211,352
4.556,2.699,51
4.547,3.194,326
4.086,2.306,114
3.086,2.809,33
4.562,1.205,139
3.452,2.901,84
2.546,3.474,343
4.19,2.363,10
3.283,2.92,55
8.532,0.838,91
1.542,3.73,26
4.381,2.124,16
2.802,3.399,21
4.435,3.326,23
2.098,2.883,213
2.343,2.961,320
1.183,3.762,25
8.105,0.95,149
7.698,0.818,309
5.185,3.484,190
2.162,3.362,202
7.764,1.336,336
5.895,1.677,345
2.08,3.099,257
2.351,4.586,90
4.382,2.834,220
6.65,1.875,201
3.561,3.348,68
7.856,0.728,123
8.542,0.991,335
2.61,3.192,20
3.508,3.205,66
8.797,0.945,94
8.495,0.733,151
3.881,3.483,223
4.0,3.242,95
2.331,3.534,74
4.173,3.153,194
3.25,3.528,73
2.021,4.172,142
7.49,1.288,289
7.625,0.876,162
3.289,3.571,3
3.573,3.327,68
5.253,3.597,85
2.793,3.022,363
2.739,3.294,107
4.327,2.609,105
3.743,3.17,305
5.1,3.596,339
4.137,2.422,266
4.986,2.367,88
7.859,0.76,123
2.467,2.971,52
1.458,3.968,82
1.681,4.46,37
3.038,2.817,33
4.986,2.233,330
3.853,3.399,359
7.854,0.671,358
2.672,3.116,252
7.641,1.345,237
1.565,4.626,32
1.588,4.053,86
4.728,2.467,327
4.567,1.185,139
1.61,4.325,39
2.929,2.672,227
8.852,1.009,125
1.505,3.687,26
3.287,2.427,50
2.225,2.827,239
7.946,0.906,234
8.023,0.815,238
4.348,2.088,16
3.282,3.505,73
5.054,2.2,186
7.03,0.316,302
1.946,3.755,353
3.278,3.137,134
3.902,2.248,80
3.754,3.325,308
4.463,2.779,7
7.659,1.138,2
3.084,2.759,11
2.021,4.246,261
4.4,3.406,310
7.718,1.389,211
8.806,0.836,19
2.153,3.349,202
8.195,0.895,96
3.31,3.53,3
4.09,2.292,114
4.331,2.285,267
3.452,2.888,84
4.223,2.755,297
7.745,1.043,93
3.366,2.431,275
7.711,1.045,93
1.886,4.013,360
3.813,2.606,43
8.0,0.705,15
4.423,1.442,102
8.733,1.043,200
3.376,3.069,350
8.328,0.892,333
4.814,2.759,215
7.896,1.027,316
8.098,1.109,0
4.778,3.455,244
2.769,3.43,18
5.043,2.249,186
2.126,3.026,159
4.293,1.629,77
4.195,3.048,163
6.677,1.396,214
2.138,3.474,198
4.83,2.576,278
3.298,3.002,286
