X,Y,cluster_id
2.006,11.507,155
2.22,10.359,234
2.262,10.319,136
2.351,9.729,171
2.249,8.046,20
2.046,6.851,36
2.331,6.611,89
2.453,6.393,254
4.461,6.28,239
4.459,6.224,237
4.166,5.834,132
3.938,5.653,158
4.342,4.828,22
4.464,4.311,230
4.27,3.131,25
4.207,3.044,5
5.293,2.776,131
5.392,2.736,180
4.145,2.7,2
4.2,2.698,41
4.278,2.669,14
5.13,2.583,122
4.566,2.474,134
4.534,2.465,134
4.552,2.441,50
4.53,2.426,50
4.824,2.255,147
3.125,2.23,148
4.733,1.965,17
5.035,1.873,123
4.819,1.725,259
4.571,1.527,59
2.2,10.563,19
2.252,10.568,19
2.252,10.514,256
2.198,10.514,121
2.169,10.495,121
2.115,10.505,226
2.313,10.468,117
2.32,10.453,117
2.194,10.347,234
2.255,10.349,136
2.315,10.311,163
2.3,10.295,163
1.41,10.556,146
1.419,10.527,146
1.273,10.516,159
1.459,10.874,212
1.444,10.883,212
1.437,10.93,227
1.423,10.948,227
1.437,11.088,30
1.414,11.047,30
1.376,11.072,126
1.392,11.11,126
1.347,11.146,192
1.41,10.854,112
1.376,10.874,112
1.385,10.849,112
1.372,10.824,124
1.387,10.809,124
1.189,10.818,213
1.146,10.838,6
1.117,10.853,6
1.097,10.856,6
1.041,10.881,238
1.02,10.854,45
0.968,10.892,9
0.928,11.115,93
1.097,10.768,43
1.065,10.804,43
1.032,10.824,45
1.014,10.809,45
1.0,10.829,45
0.998,10.838,45
0.935,10.847,9
0.883,11.081,207
0.869,11.061,207
1.205,11.273,15
1.191,11.255,15
1.218,11.227,15
1.221,11.189,182
1.117,11.18,243
1.167,11.153,62
1.194,11.167,62
1.135,11.106,210
1.227,11.162,182
1.115,10.448,113
1.106,10.48,113
1.198,10.554,110
1.191,10.59,110
1.124,10.703,150
1.108,10.678,150
0.928,10.766,75
0.948,10.736,75
0.914,10.73,75
0.946,10.628,157
1.101,10.554,118
1.072,10.541,118
0.998,10.532,197
1.169,10.471,8
1.056,10.392,79
1.065,10.372,79
1.016,10.376,236
1.097,10.381,79
1.09,10.365,79
1.167,10.324,32
1.155,10.414,8
1.137,10.324,32
1.113,10.302,32
1.056,10.293,72
1.025,10.264,72
1.173,9.966,106
1.137,9.948,106
1.038,9.926,76
1.027,9.89,76
0.955,9.806,152
1.041,9.878,76
1.439,9.899,262
1.41,9.872,208
1.376,9.867,208
1.286,9.869,24
1.282,9.838,24
1.306,9.833,24
1.322,9.827,24
1.421,9.811,1
1.426,9.777,1
1.437,9.766,1
1.441,9.75,1
1.356,9.761,203
1.23,9.736,168
1.104,9.689,231
1.757,9.61,69
1.766,9.581,69
1.097,9.399,253
1.097,9.376,253
1.077,9.315,94
1.095,9.302,94
1.489,9.511,16
1.482,9.482,16
1.498,9.453,16
1.32,9.207,86
1.324,9.171,129
1.351,9.151,129
1.32,9.101,21
1.277,9.092,21
1.284,9.173,86
1.268,9.117,21
1.327,9.014,82
1.306,9.052,82
1.288,9.014,82
1.466,8.646,242
