og_centroid,closest_centroid,dist,cluster_id
"(7.362, 1.163)","(7.329, 1.075)",0.094,43
"(7.329, 1.075)","(7.362, 1.163)",0.094,25
"(2.015, 3.343)","(2.089, 3.2)",0.161,93
"(2.089, 3.2)","(2.015, 3.343)",0.161,30
"(7.326, 0.882)","(7.329, 1.075)",0.193,0
"(7.765, 1.085)","(7.725, 1.295)",0.213,23
"(7.725, 1.295)","(7.765, 1.085)",0.213,2
"(4.271, 2.056)","(4.048, 2.154)",0.244,72
"(4.048, 2.154)","(4.271, 2.056)",0.244,3
"(8.257, 0.999)","(8.492, 0.871)",0.267,107
"(8.492, 0.871)","(8.257, 0.999)",0.267,63
"(8.005, 0.833)","(8.257, 0.999)",0.301,35
"(5.08, 1.885)","(4.996, 2.208)",0.334,61
"(4.996, 2.208)","(5.08, 1.885)",0.334,18
"(3.78, 3.187)","(3.442, 3.148)",0.34,15
"(3.442, 3.148)","(3.78, 3.187)",0.34,122
"(3.084, 3.55)","(2.98, 3.2)",0.365,5
"(2.98, 3.2)","(3.084, 3.55)",0.365,176
"(4.293, 1.684)","(4.271, 2.056)",0.372,66
"(3.701, 2.652)","(4.095, 2.595)",0.399,10
"(4.095, 2.595)","(3.701, 2.652)",0.399,26
"(2.486, 3.249)","(2.089, 3.2)",0.399,118
"(8.898, 0.85)","(8.492, 0.871)",0.407,96
"(4.479, 1.315)","(4.293, 1.684)",0.413,56
"(6.754, 1.15)","(7.329, 1.075)",0.58,24
"(4.666, 2.707)","(4.095, 2.595)",0.581,79
"(2.13, 4.02)","(2.015, 3.343)",0.687,86
"(5.322, 3.611)","(4.666, 2.707)",1.117,75
