og_centroid,closest_centroid,dist,cluster_id
"(8961.0, 746.0)","(8960.333, 647.667)",98.336,103
"(8960.333, 647.667)","(8961.0, 746.0)",98.336,109
"(2375.667, 3637.333)","(2341.0, 3769.333)",136.476,1
"(2341.0, 3769.333)","(2375.667, 3637.333)",136.476,10
"(5275.0, 2803.0)","(5240.667, 2955.0)",155.829,54
"(5240.667, 2955.0)","(5275.0, 2803.0)",155.829,25
"(8805.333, 783.667)","(8961.0, 746.0)",160.159,121
"(1945.333, 4791.333)","(1848.333, 4940.667)",178.071,139
"(1848.333, 4940.667)","(1945.333, 4791.333)",178.071,48
"(5337.667, 3113.333)","(5240.667, 2955.0)",185.684,76
"(8866.0, 1006.5)","(8805.333, 783.667)",230.944,65
"(4419.333, 2720.667)","(4266.333, 2900.333)",235.985,138
"(4266.333, 2900.333)","(4419.333, 2720.667)",235.985,73
"(4670.333, 2582.333)","(4419.333, 2720.667)",286.596,4
"(5166.333, 3438.667)","(5337.667, 3113.333)",367.691,33
"(3367.6, 3148.8)","(3567.333, 3461.333)",370.905,41
"(3567.333, 3461.333)","(3367.6, 3148.8)",370.905,72
"(4061.667, 3989.0)","(4155.333, 3615.0)",385.551,102
"(4155.333, 3615.0)","(4061.667, 3989.0)",385.551,13
"(3337.667, 3878.0)","(3567.333, 3461.333)",475.771,151
"(2582.667, 5154.333)","(1945.333, 4791.333)",733.459,35
"(9831.667, 889.667)","(8961.0, 746.0)",882.44,20
"(4958.0, 1481.25)","(4670.333, 2582.333)",1138.041,2
"(6358.5, 1930.75)","(5275.0, 2803.0)",1390.968,53
