X,Y,cluster_id
1783.333,10229.717,155
1973.579,9209.146,234
2010.917,9173.586,136
2090.038,8649.076,171
1999.36,7152.89,86
1818.893,6090.536,74
2072.258,5877.176,1
2180.716,5683.374,11
3965.827,5582.917,0
3964.049,5533.133,0
3703.572,5186.423,31
3500.88,5025.514,158
3860.036,4292.09,93
3968.494,3832.477,230
3796.028,2783.457,52
3740.021,2706.115,47
4705.474,2467.863,131
4793.485,2432.303,180
3684.903,2400.299,51
3733.798,2398.521,84
3803.14,2372.74,61
4560.568,2296.286,8
4059.172,2199.385,16
4030.724,2191.384,16
4046.726,2170.048,16
4027.168,2156.713,16
4288.534,2004.694,147
2778.123,1982.469,148
4207.635,1746.884,71
4476.113,1665.096,9
4284.089,1533.524,129
4063.617,1357.502,119
1955.799,9390.502,18
2002.027,9394.947,18
2002.027,9346.941,18
1954.021,9346.941,121
1928.24,9330.05,121
1880.234,9338.94,226
2056.256,9306.047,117
2062.479,9292.712,117
1950.465,9198.478,234
2004.694,9200.256,136
2058.034,9166.474,163
2044.699,9152.25,163
1253.489,9384.279,146
1261.49,9358.498,146
1131.696,9348.719,159
1297.05,9666.981,212
1283.715,9674.982,212
1277.492,9716.765,227
1265.046,9732.767,227
1277.492,9857.227,15
1257.045,9820.778,15
1223.263,9843.003,15
1237.487,9876.785,15
1197.482,9908.789,192
1253.489,9649.201,7
1223.263,9666.981,7
1231.264,9644.756,7
1219.707,9622.531,7
1233.042,9609.196,7
1057.02,9617.197,213
1018.793,9634.977,28
993.012,9648.312,28
975.232,9650.979,28
925.449,9673.204,2
906.78,9649.201,2
860.552,9682.983,42
824.992,9881.23,188
975.232,9572.747,43
946.784,9604.751,43
917.448,9622.531,2
901.446,9609.196,2
889.0,9626.976,2
887.222,9634.977,2
831.215,9642.978,42
784.987,9851.004,207
772.541,9833.224,207
1071.244,10021.692,64
1058.798,10005.69,64
1082.801,9980.798,64
1085.468,9947.016,182
993.012,9939.015,22
1037.462,9915.012,22
1061.465,9927.458,22
1009.014,9873.229,210
1090.802,9923.013,182
991.234,9288.267,113
983.233,9316.715,113
1065.021,9382.501,110
1058.798,9414.505,110
