X,Y,cluster_id
5594.0,3985.0,15
2402.0,4536.0,155
4780.0,3880.0,197
3895.0,3438.0,72
5685.0,2657.0,287
8781.0,1228.0,6
5710.0,2226.0,187
3526.0,4058.0,4
4741.0,2799.0,52
2520.0,4066.0,260
4292.0,3666.0,151
9354.0,980.0,236
1888.0,5017.0,291
2216.0,3451.0,62
3980.0,3047.0,283
3827.0,3975.0,144
8865.0,872.0,23
4268.0,3560.0,150
6264.0,1831.0,5
7768.0,669.0,123
7891.0,374.0,29
9286.0,1811.0,14
4915.0,3280.0,17
4521.0,3906.0,281
6483.0,1850.0,18
2394.0,4823.0,99
5118.0,3415.0,118
3677.0,2967.0,186
7130.0,1968.0,59
4559.0,2791.0,0
3585.0,4031.0,4
4397.0,3886.0,25
2647.0,3261.0,203
9546.0,1089.0,11
9125.0,1744.0,290
8632.0,1390.0,86
2497.0,4677.0,207
5562.0,2655.0,121
9722.0,999.0,215
9578.0,1147.0,11
3603.0,4020.0,4
1047.0,4106.0,68
9226.0,1365.0,1
5363.0,3223.0,63
1945.0,4452.0,103
2682.0,3388.0,117
4202.0,3827.0,286
4929.0,2275.0,131
3735.0,3140.0,93
9078.0,975.0,13
1643.0,4213.0,153
2378.0,3473.0,83
5713.0,2034.0,213
2420.0,3347.0,22
4710.0,3429.0,64
5015.0,3463.0,221
3259.0,3441.0,21
1580.0,4638.0,271
8097.0,1059.0,296
5408.0,3208.0,63
9342.0,959.0,236
1966.0,4881.0,284
2829.0,3433.0,40
8832.0,1013.0,19
2923.0,3557.0,20
5090.0,2376.0,193
5452.0,3954.0,299
9782.0,1284.0,218
5103.0,3172.0,37
4136.0,3487.0,159
7689.0,1010.0,243
9271.0,1390.0,1
2275.0,3995.0,224
6363.0,1993.0,33
5452.0,3000.0,48
4879.0,2824.0,2
8964.0,787.0,23
9827.0,837.0,32
5139.0,3246.0,37
4955.0,3666.0,8
5567.0,2544.0,95
2403.0,4796.0,99
5176.0,3331.0,118
7761.0,677.0,123
3418.0,3389.0,45
7957.0,1266.0,35
8907.0,836.0,23
2246.0,5026.0,275
4882.0,3114.0,139
3763.0,3153.0,93
5369.0,2377.0,27
3262.0,3172.0,200
5779.0,2310.0,137
4902.0,2823.0,2
3894.0,3440.0,72
9410.0,1939.0,209
1063.0,4095.0,68
9681.0,822.0,156
8416.0,1417.0,30
3589.0,3932.0,205
2275.0,3315.0,192
4215.0,3562.0,150
5124.0,3280.0,37
3079.0,3483.0,26
2593.0,5189.0,116
5146.0,3373.0,118
4104.0,3981.0,149
3327.0,3375.0,190
3482.0,3127.0,28
5246.0,3370.0,118
8122.0,1126.0,35
7941.0,1169.0,34
8707.0,1046.0,31
8125.0,991.0,240
4943.0,3066.0,66
3230.0,3304.0,65
1117.0,4121.0,68
2622.0,3966.0,293
7306.0,1937.0,276
2417.0,3450.0,83
8624.0,1293.0,233
8495.0,1554.0,253
8199.0,1076.0,301
4420.0,3745.0,79
4449.0,3702.0,79
4786.0,3437.0,130
2868.0,3443.0,40
6356.0,1814.0,5
5356.0,2754.0,295
7979.0,1232.0,35
4552.0,3805.0,249
3311.0,3835.0,184
6143.0,1881.0,198
3386.0,2957.0,125
4108.0,3597.0,150
8834.0,1077.0,19
4759.0,2717.0,52
3637.0,3347.0,12
6420.0,1999.0,33
1979.0,5154.0,171
4787.0,3445.0,130
5020.0,3114.0,66
7361.0,2044.0,157
4919.0,3199.0,74
4462.0,3762.0,79
2062.0,4873.0,172
4654.0,3471.0,64
5375.0,2363.0,27
4399.0,3498.0,128
5109.0,3006.0,169
5287.0,3394.0,118
8994.0,658.0,219
3382.0,3938.0,24
5264.0,3848.0,107
3896.0,3861.0,7
10090.0,1202.0,300
3816.0,2693.0,235
2667.0,3876.0,16
2454.0,3292.0,22
8727.0,1529.0,238
1478.0,4185.0,41
8707.0,1291.0,230
4157.0,2882.0,242
4889.0,3443.0,177
6312.0,1864.0,5
4807.0,3773.0,69
5272.0,3046.0,189
8057.0,1224.0,35
1375.0,4221.0,111
8660.0,891.0,254
7580.0,1280.0,54
4756.0,2775.0,52
5065.0,3081.0,66
7807.0,1055.0,10
5302.0,3217.0,63
5385.0,3234.0,63
5557.0,2915.0,77
4643.0,2426.0,158
1380.0,4212.0,111
2403.0,3945.0,185
9583.0,1165.0,11
1551.0,4150.0,163
4818.0,3269.0,17
2152.0,4813.0,3
1397.0,4139.0,268
7883.0,439.0,29
4738.0,3584.0,265
2822.0,3607.0,115
8613.0,1425.0,86
4093.0,3313.0,261
8489.0,1444.0,78
8222.0,1339.0,175
9747.0,860.0,32
8666.0,1025.0,31
8434.0,1326.0,30
4775.0,3701.0,69
2624.0,3426.0,117
2052.0,4419.0,109
3970.0,4037.0,165
5666.0,2414.0,247
7945.0,1110.0,34
9016.0,981.0,13
2284.0,4385.0,47
5673.0,2224.0,187
2221.0,3493.0,62
8920.0,822.0,23
1590.0,4487.0,44
4075.0,3146.0,227
2391.0,4376.0,47
2236.0,3921.0,231
4978.0,3216.0,74
4703.0,2333.0,42
3205.0,3826.0,58
3680.0,3892.0,182
4890.0,3135.0,139
3593.0,3396.0,12
2411.0,4830.0,99
8857.0,716.0,61
3424.0,3108.0,28
6519.0,1999.0,33
2814.0,3447.0,40
7773.0,603.0,123
5630.0,3808.0,167
8892.0,1087.0,19
2536.0,3256.0,154
5189.0,3365.0,118
4662.0,3476.0,64
2265.0,4426.0,47
2297.0,3412.0,49
3925.0,2862.0,112
6693.0,1838.0,46
1923.0,4488.0,103
2330.0,3388.0,49
4281.0,3978.0,259
2583.0,3734.0,201
4986.0,2409.0,124
2619.0,3821.0,16
5522.0,3986.0,15
2353.0,3813.0,50
2730.0,3858.0,16
4110.0,3424.0,302
4081.0,3707.0,206
2716.0,3754.0,16
2709.0,3786.0,16
2464.0,3384.0,22
8791.0,861.0,282
4428.0,2782.0,279
4533.0,2700.0,278
2329.0,4360.0,47
8583.0,892.0,256
7866.0,1146.0,222
8095.0,1174.0,35
4904.0,1767.0,135
2217.0,4247.0,53
8775.0,1207.0,6
5518.0,2727.0,121
2810.0,3588.0,115
9025.0,845.0,216
3207.0,3348.0,65
8909.0,727.0,61
8857.0,1338.0,297
2276.0,3570.0,214
4779.0,2575.0,251
2255.0,4677.0,285
4661.0,2331.0,42
7871.0,1053.0,10
5080.0,3228.0,37
9490.0,1084.0,11
7800.0,558.0,123
1775.0,4617.0,226
8618.0,996.0,31
4865.0,1973.0,289
8731.0,1394.0,170
2418.0,3676.0,39
5318.0,3834.0,107
4844.0,1871.0,245
4058.0,3525.0,164
7688.0,784.0,161
4789.0,3728.0,69
3778.0,3308.0,92
3910.0,3669.0,303
6728.0,1873.0,46
9272.0,1367.0,1
4113.0,2946.0,252
4822.0,3075.0,288
5406.0,2405.0,27
2010.0,4386.0,109
1266.0,4214.0,96
6212.0,1939.0,229
3346.0,3577.0,305
9334.0,1414.0,1
4903.0,2908.0,114
8023.0,1248.0,35
4954.0,2773.0,2
2999.0,3839.0,9
2534.0,3348.0,258
2609.0,5112.0,267
1330.0,4078.0,174
3518.0,4060.0,4
9829.0,957.0,194
5023.0,2416.0,124
2423.0,3673.0,39
6026.0,2007.0,223
956.0,3998.0,85
4941.0,2402.0,124
4679.0,2927.0,55
3520.0,3221.0,71
7443.0,1817.0,36
4023.0,3344.0,67
