X,Y,cluster_id
2072,272.0,6.0
749,2773.0,19.0
2701,1746.0,21.0
40,2044.0,57.0
3718,3599.0,83.0
3466,508.0,64.0
283,1114.0,222.0
1908,3055.0,218.0
2719,3593.0,195.0
2761,1657.0,21.0
316,2311.0,226.0
299,911.0,209.0
2306,2968.0,70.0
3479,1278.0,79.0
952,1177.0,141.0
2135,2778.0,215.0
2492,2473.0,140.0
2252,3116.0,42.0
348,1904.0,55.0
1537,1619.0,240.0
3654,769.0,189.0
190,649.0,217.0
2314,2074.0,156.0
1468,1770.0,214.0
1621,365.0,84.0
2915,2629.0,211.0
1497,1032.0,180.0
1654,3337.0,89.0
3121,570.0,114.0
1189,551.0,38.0
1173,2068.0,7.0
198,2983.0,30.0
410,188.0,2.0
1441,218.0,170.0
1994,1609.0,199.0
1406,1894.0,23.0
889,2108.0,72.0
2312,845.0,147.0
738,2919.0,245.0
1514,2293.0,5.0
2590,1023.0,104.0
2617,2270.0,18.0
515,845.0,66.0
3576,2540.0,8.0
3282,1084.0,231.0
3220,2152.0,78.0
123,2935.0,30.0
2912,2003.0,28.0
3749,3117.0,16.0
3602,121.0,142.0
192,2502.0,29.0
1592,2737.0,32.0
94,3011.0,30.0
3547,2754.0,26.0
2106,1347.0,200.0
1599,796.0,139.0
2061,3040.0,184.0
2434,2318.0,46.0
214,1225.0,47.0
2781,2404.0,126.0
3648,2262.0,68.0
3020,2027.0,197.0
1549,318.0,230.0
2692,3730.0,97.0
882,2525.0,237.0
181,2425.0,29.0
3087,1547.0,203.0
2346,817.0,147.0
1467,2234.0,45.0
2436,1101.0,150.0
1685,3110.0,13.0
287,116.0,115.0
3362,3526.0,35.0
3499,616.0,151.0
3325,357.0,227.0
1157,1909.0,206.0
468,3703.0,15.0
2675,2109.0,110.0
3708,3433.0,145.0
2807,476.0,221.0
1643,3717.0,176.0
2664,1605.0,228.0
3824,3139.0,16.0
680,2705.0,19.0
2086,78.0,113.0
1490,3198.0,56.0
2164,2057.0,44.0
1335,1160.0,127.0
1769,63.0,149.0
3334,2441.0,144.0
2179,1868.0,143.0
1058,1216.0,109.0
1162,2154.0,7.0
1344,762.0,48.0
2116,2120.0,44.0
1199,2567.0,208.0
1746,2615.0,234.0
