og_centroid,closest_centroid,dist,cluster_id
"(2654.0, 2216.333)","(2743.0, 2158.333)",106.231,93.0
"(2743.0, 2158.333)","(2654.0, 2216.333)",106.231,37.0
"(1819.667, 711.0)","(1759.333, 557.0)",165.397,158.0
"(1759.333, 557.0)","(1819.667, 711.0)",165.397,51.0
"(2730.0, 1848.0)","(2715.333, 1656.333)",192.227,15.0
"(2715.333, 1656.333)","(2730.0, 1848.0)",192.227,97.0
"(1095.5, 2878.0)","(885.333, 2780.667)",231.611,21.0
"(885.333, 2780.667)","(1095.5, 2878.0)",231.611,3.0
"(732.0, 2480.667)","(921.667, 2339.333)",236.535,11.0
"(921.667, 2339.333)","(732.0, 2480.667)",236.535,23.0
"(2425.0, 2312.0)","(2654.0, 2216.333)",248.18,7.0
"(569.4, 2693.2)","(732.0, 2480.667)",267.599,22.0
"(2046.0, 563.0)","(1819.667, 711.0)",270.427,61.0
"(352.0, 2491.667)","(569.4, 2693.2)",296.443,8.0
"(1105.0, 1997.0)","(795.333, 1953.0)",312.777,28.0
"(795.333, 1953.0)","(1105.0, 1997.0)",312.777,10.0
"(1107.333, 1245.667)","(1273.0, 1513.333)",314.787,4.0
"(1273.0, 1513.333)","(1107.333, 1245.667)",314.787,20.0
"(1847.0, 1044.333)","(1819.667, 711.0)",334.452,24.0
"(1436.667, 1823.333)","(1273.0, 1513.333)",350.552,75.0
"(1614.667, 2277.333)","(1436.667, 1823.333)",487.647,17.0
"(3291.333, 3138.333)","(3799.0, 3498.667)",622.548,146.0
"(3799.0, 3498.667)","(3291.333, 3138.333)",622.548,83.0
"(3403.0, 2521.667)","(3291.333, 3138.333)",626.695,33.0
"(1968.0, 2811.333)","(1614.667, 2277.333)",640.313,29.0
"(1829.667, 3561.333)","(1968.0, 2811.333)",762.651,40.0
"(414.667, 3454.667)","(569.4, 2693.2)",777.029,63.0
"(614.333, 405.0)","(1107.333, 1245.667)",974.561,2.0
"(3597.0, 990.0)","(2715.333, 1656.333)",1105.141,41.0
