og_centroid,closest_centroid,dist,cluster_id
"(1628.0, 522.333)","(1603.4, 593.8)",75.582,32.0
"(1603.4, 593.8)","(1628.0, 522.333)",75.582,82.0
"(1596.0, 1435.333)","(1632.667, 1360.667)",83.183,84.0
"(1632.667, 1360.667)","(1596.0, 1435.333)",83.183,55.0
"(2571.667, 2012.0)","(2555.667, 1930.333)",83.22,168.0
"(2555.667, 1930.333)","(2571.667, 2012.0)",83.22,63.0
"(2892.0, 3520.333)","(2984.25, 3491.25)",96.726,99.0
"(2984.25, 3491.25)","(2892.0, 3520.333)",96.726,146.0
"(3380.0, 2250.333)","(3385.333, 2351.0)",100.808,13.0
"(3385.333, 2351.0)","(3380.0, 2250.333)",100.808,52.0
"(678.75, 360.25)","(699.0, 467.0)",108.654,110.0
"(699.0, 467.0)","(678.75, 360.25)",108.654,95.0
"(2286.333, 3542.667)","(2375.0, 3479.333)",108.963,70.0
"(2375.0, 3479.333)","(2286.333, 3542.667)",108.963,31.0
"(3464.333, 2590.0)","(3490.667, 2479.667)",113.432,5.0
"(3490.667, 2479.667)","(3464.333, 2590.0)",113.432,33.0
"(3153.0, 3373.333)","(3153.0, 3506.0)",132.667,19.0
"(3153.0, 3506.0)","(3153.0, 3373.333)",132.667,6.0
"(2688.5, 1906.75)","(2555.667, 1930.333)",134.91,25.0
"(1331.2, 577.8)","(1253.0, 457.333)",143.623,11.0
"(1253.0, 457.333)","(1331.2, 577.8)",143.623,104.0
"(1637.333, 1214.333)","(1632.667, 1360.667)",146.408,81.0
"(1450.667, 865.667)","(1586.5, 803.333)",149.453,133.0
"(1586.5, 803.333)","(1450.667, 865.667)",149.453,27.0
"(3014.5, 3316.75)","(3153.0, 3373.333)",149.612,91.0
"(1763.0, 451.75)","(1628.0, 522.333)",152.338,24.0
"(2615.75, 2158.0)","(2571.667, 2012.0)",152.51,23.0
"(648.2, 1075.2)","(485.0, 1049.333)",165.237,57.0
"(485.0, 1049.333)","(648.2, 1075.2)",165.237,18.0
"(3076.0, 3149.667)","(3014.5, 3316.75)",178.042,187.0
"(2076.0, 2816.667)","(2253.2, 2848.8)",180.09,59.0
"(2253.2, 2848.8)","(2076.0, 2816.667)",180.09,41.0
"(1856.667, 2471.333)","(2029.333, 2420.0)",180.135,28.0
"(2029.333, 2420.0)","(1856.667, 2471.333)",180.135,3.0
"(2254.0, 2667.333)","(2253.2, 2848.8)",181.469,157.0
"(2638.667, 2341.333)","(2615.75, 2158.0)",184.76,94.0
"(3291.667, 2521.333)","(3464.333, 2590.0)",185.819,107.0
"(2815.667, 2146.667)","(2615.75, 2158.0)",200.238,36.0
"(2671.667, 1702.333)","(2688.5, 1906.75)",205.109,60.0
"(2404.0, 2173.333)","(2615.75, 2158.0)",212.304,89.0
"(1425.0, 1304.25)","(1632.667, 1360.667)",215.194,68.0
"(1693.0, 1682.667)","(1913.333, 1706.0)",221.565,115.0
"(1913.333, 1706.0)","(1693.0, 1682.667)",221.565,1.0
"(786.0, 901.0)","(648.2, 1075.2)",222.114,26.0
"(783.429, 674.571)","(699.0, 467.0)",224.085,61.0
"(1260.8, 987.0)","(1450.667, 865.667)",225.325,39.0
"(2261.667, 2360.667)","(2404.0, 2173.333)",235.272,21.0
"(2941.167, 1938.833)","(2815.667, 2146.667)",242.786,56.0
"(1820.0, 2223.0)","(1856.667, 2471.333)",251.025,4.0
"(2055.8, 3646.6)","(2286.333, 3542.667)",252.878,80.0
"(1727.667, 197.667)","(1763.0, 451.75)",256.528,49.0
"(3353.833, 3668.667)","(3153.0, 3506.0)",258.446,2.0
"(1801.333, 3567.667)","(2055.8, 3646.6)",266.428,53.0
"(3200.333, 1856.0)","(2941.167, 1938.833)",272.081,66.0
"(1337.333, 1572.333)","(1425.0, 1304.25)",282.053,9.0
"(2537.333, 3721.333)","(2375.0, 3479.333)",291.404,64.0
"(2250.8, 1858.6)","(2555.667, 1930.333)",313.192,77.0
"(2059.0, 3155.333)","(2076.0, 2816.667)",339.092,100.0
"(1083.75, 126.5)","(1253.0, 457.333)",371.613,123.0
"(2197.75, 1412.25)","(1913.333, 1706.0)",408.879,73.0
"(1303.5, 2117.5)","(1820.0, 2223.0)",527.165,44.0
"(151.75, 535.75)","(699.0, 467.0)",551.552,74.0
"(3385.0, 1150.333)","(3200.333, 1856.0)",729.43,15.0
"(281.667, 1803.0)","(485.0, 1049.333)",780.614,116.0
