X,Y,cluster_id
1636,2587.0,57.0
7076,7015.0,49.0
2962,2712.0,40.0
6409,7115.0,18.0
4877,5631.0,4.0
2419,3039.0,14.0
3367,3766.0,58.0
5262,4949.0,59.0
5475,5231.0,45.0
4032,4122.0,9.0
6834,7651.0,48.0
5262,4193.0,0.0
4787,5634.0,4.0
2841,3300.0,42.0
5391,5726.0,50.0
5199,4175.0,0.0
6459,7201.0,29.0
6334,7143.0,18.0
2711,2795.0,1.0
5219,4347.0,47.0
7165,8001.0,32.0
3646,3836.0,51.0
7076,7236.0,46.0
5973,6583.0,55.0
5091,5244.0,60.0
4646,3990.0,52.0
4084,3483.0,2.0
1793,2186.0,21.0
3725,4034.0,7.0
3270,3911.0,8.0
6778,7047.0,35.0
4020,4293.0,19.0
6462,7146.0,29.0
1128,1861.0,54.0
3759,3364.0,3.0
5327,4168.0,0.0
3795,3343.0,3.0
608,1931.0,23.0
4292,4429.0,10.0
5292,4182.0,0.0
6331,6458.0,6.0
3743,3964.0,7.0
2269,2899.0,41.0
5592,5425.0,20.0
2499,3012.0,14.0
5312,4803.0,36.0
1778,2654.0,37.0
1185,1481.0,34.0
4125,3578.0,2.0
5960,6055.0,25.0
4806,4292.0,61.0
2722,2905.0,1.0
4086,4065.0,9.0
3342,3867.0,8.0
5688,5146.0,22.0
7470,7607.0,56.0
6556,6643.0,15.0
2966,3520.0,53.0
7015,7778.0,28.0
4068,4255.0,19.0
1005,1736.0,38.0
2605,2700.0,24.0
3903,4103.0,26.0
6412,6426.0,6.0
5799,6571.0,33.0
6671,6221.0,44.0
5667,4924.0,11.0
1498,2502.0,39.0
6508,6043.0,27.0
7642,7633.0,12.0
5688,6363.0,17.0
6490,6666.0,15.0
2765,2519.0,16.0
2452,2478.0,13.0
6706,6775.0,43.0
3436,3484.0,30.0
1859,2171.0,21.0
4320,4495.0,10.0
4621,4187.0,5.0
4784,4164.0,31.0
3843,3292.0,3.0
1794,2586.0,37.0
