og_centroid,closest_centroid,dist,cluster_id
"(4855.667, 4758.667)","(4790.667, 4695.667)",90.521,184.0
"(4790.667, 4695.667)","(4855.667, 4758.667)",90.521,52.0
"(4923.667, 4696.0)","(4855.667, 4758.667)",92.472,13.0
"(973.667, 1507.333)","(870.0, 1451.0)",117.984,69.0
"(870.0, 1451.0)","(973.667, 1507.333)",117.984,7.0
"(2614.333, 3202.667)","(2747.333, 3224.667)",134.807,111.0
"(2747.333, 3224.667)","(2614.333, 3202.667)",134.807,50.0
"(6169.25, 6768.75)","(6329.0, 6799.0)",162.589,17.0
"(6329.0, 6799.0)","(6169.25, 6768.75)",162.589,48.0
"(4827.0, 4971.333)","(4967.667, 5061.333)",166.995,106.0
"(4967.667, 5061.333)","(4827.0, 4971.333)",166.995,116.0
"(4570.25, 4150.0)","(4580.0, 4319.75)",170.03,24.0
"(4580.0, 4319.75)","(4570.25, 4150.0)",170.03,34.0
"(6402.667, 6978.333)","(6329.0, 6799.0)",193.874,5.0
"(4856.0, 4318.333)","(4990.2, 4168.2)",201.369,15.0
"(4990.2, 4168.2)","(4856.0, 4318.333)",201.369,74.0
"(3453.75, 3778.25)","(3641.667, 3662.333)",220.793,20.0
"(3641.667, 3662.333)","(3453.75, 3778.25)",220.793,30.0
"(4119.0, 4215.333)","(3963.25, 4048.25)",228.418,2.0
"(3963.25, 4048.25)","(4119.0, 4215.333)",228.418,92.0
"(2561.333, 2782.667)","(2385.333, 2935.333)",232.987,23.0
"(2385.333, 2935.333)","(2561.333, 2782.667)",232.987,29.0
"(2339.333, 2698.0)","(2561.333, 2782.667)",237.597,54.0
"(1494.333, 2320.333)","(1707.0, 2430.333)",239.431,68.0
"(1707.0, 2430.333)","(1494.333, 2320.333)",239.431,53.0
"(7177.333, 7368.667)","(7420.333, 7430.333)",250.702,97.0
"(7420.333, 7430.333)","(7177.333, 7368.667)",250.702,6.0
"(1258.667, 2210.333)","(1494.333, 2320.333)",260.074,41.0
"(6518.667, 6265.0)","(6737.667, 6410.0)",262.652,16.0
"(6737.667, 6410.0)","(6518.667, 6265.0)",262.652,79.0
"(6082.667, 5692.333)","(5817.0, 5601.333)",280.82,58.0
"(5817.0, 5601.333)","(6082.667, 5692.333)",280.82,19.0
"(6598.333, 7183.667)","(6402.667, 6978.333)",283.632,3.0
"(6153.5, 6485.0)","(6169.25, 6768.75)",284.187,195.0
"(2971.333, 3417.0)","(3182.0, 3609.333)",285.259,105.0
"(3182.0, 3609.333)","(2971.333, 3417.0)",285.259,94.0
"(3788.5, 3278.25)","(4030.0, 3454.0)",298.681,63.0
"(4030.0, 3454.0)","(3788.5, 3278.25)",298.681,36.0
"(5285.0, 4669.333)","(4923.667, 4696.0)",362.316,138.0
"(1291.0, 1686.667)","(973.667, 1507.333)",364.501,0.0
"(4855.667, 5417.0)","(4967.667, 5061.333)",372.885,33.0
"(6812.667, 7607.667)","(7177.333, 7368.667)",436.007,18.0
"(4343.0, 4711.667)","(4790.667, 4695.667)",447.953,1.0
"(5764.333, 6197.667)","(6153.5, 6485.0)",483.747,108.0
"(5464.25, 5207.75)","(4967.667, 5061.333)",517.719,103.0
