 ,X,Y,cluster_id
1,7238.088,7387.272,41
2,8095.896,7325.112,28
3,7237.2,7281.6,33
4,7787.76,7112.88,40
5,7890.768,7040.064,27
6,6673.32,6740.808,9
7,6650.232,6724.824,9
8,6713.28,6199.128,18
9,6722.16,6176.04,18
10,6715.056,6052.608,37
11,6577.416,5979.792,11
12,6551.664,5976.24,11
13,6588.072,5962.032,11
14,4331.664,4164.72,31
15,4081.248,4085.688,32
16,3919.632,4009.32,3
17,3889.44,3993.336,3
18,3147.072,3638.136,21
19,3145.296,3623.928,21
20,3093.792,3615.936,26
21,3126.648,3599.952,26
22,3769.56,3591.96,35
23,3866.352,3502.272,0
24,3852.144,3462.312,0
25,3863.688,3440.112,0
26,3885.888,3348.648,38
27,2804.304,3115.992,39
28,2848.704,2978.352,43
29,2690.64,2381.616,2
30,2411.808,2272.392,13
31,2419.8,2242.2,13
32,3009.432,2172.048,10
33,2996.112,2148.96,10
34,2529.912,2037.072,14
35,2682.648,1458.096,19
36,2233.32,1040.736,24
37,2213.784,1030.08,24
38,3908.088,3958.704,3
39,3927.624,3979.128,3
40,3921.408,3991.56,3
41,4335.216,4193.136,31
42,4305.912,4331.664,25
43,4308.576,4352.976,25
44,4331.664,4347.648,25
45,4187.808,4779.216,36
46,4407.144,4847.592,42
47,3922.296,5215.224,22
48,4668.216,5100.672,12
49,4662.0,5089.128,12
50,4677.096,5065.152,12
51,5139.744,4990.56,8
52,5160.168,4963.92,8
53,5119.32,4979.904,8
54,5128.2,4966.584,8
55,5065.152,5329.776,1
56,5067.816,5359.08,1
57,5106.0,5352.864,1
58,5172.6,5310.24,4
59,5185.032,5280.936,4
60,5214.336,5338.656,15
61,5245.416,5310.24,15
62,4795.2,4505.712,20
63,6141.408,5685.864,23
64,6238.2,6623.592,6
65,6198.24,6628.032,6
66,1416.36,1094.016,17
67,1401.264,1094.904,17
68,1403.928,1073.592,17
69,1408.368,1056.72,17
70,2559.216,2013.096,14
71,2710.176,2140.08,34
72,2746.584,2391.384,2
73,3060.936,1942.056,30
74,3044.064,1924.296,30
75,4755.24,5380.392,5
76,4715.28,5350.2,5
77,4993.224,5758.68,7
78,4953.264,5779.104,7
79,5629.032,5827.056,16
80,6938.832,6080.136,29
81,6943.272,6067.704,29
