X,Y,cluster_id
1575,2.137,0.001
4721,4.246,0.062
1718,2.022,0.061
6662,6.27,0.063
2352,3.039,0.058
4495,4.026,0.044
6638,6.688,0.05
2588,2.848,0.038
4137,3.334,0.003
3045,3.173,0.065
6504,6.363,0.044
4091,3.032,0.046
2108,2.055,0.052
1615,2.039,0.06
1708,2.194,0.051
3728,3.421,0.054
1405,2.151,0.034
6099,5.382,0.043
4613,3.865,0.066
2829,2.911,0.002
5223,3.678,0.0
5876,4.868,0.045
2781,2.897,0.002
6808,6.748,0.048
6816,5.779,0.052
4970,4.995,0.064
2725,2.272,0.032
5691,4.632,0.049
2466,1.997,0.031
6280,6.062,0.053
7044,5.712,0.042
1196,1.338,0.04
4047,3.369,0.059
4905,4.973,0.004
7361,6.683,0.047
5210,3.588,0.059
4649,3.918,0.033
1022,1.599,0.055
1161,1.633,0.023
2394,2.932,0.02
6798,5.633,0.021
4368,3.807,0.016
2725,2.94,0.029
5160,3.667,0.0
6135,6.004,0.027
3828,3.756,0.03
2399,2.385,0.035
3859,2.765,0.056
5491,5.232,0.014
3561,3.084,0.025
6984,6.347,0.057
4896,4.783,0.036
5018,4.22,0.026
4515,4.334,0.039
5923,5.522,0.015
3937,3.168,0.01
6933,5.515,0.041
2075,2.53,0.02
1607,2.097,0.001
6029,5.006,0.012
3790,3.548,0.037
6301,5.707,0.028
5138,4.56,0.036
4167,3.346,0.003
6471,5.32,0.022
2811,2.919,0.002
1368,1.509,0.017
2243,2.134,0.028
6615,6.194,0.007
5263,3.49,0.018
4878,4.975,0.004
4772,5.046,0.024
3985,2.812,0.012
1833,2.581,0.013
4661,4.175,0.019
5414,4.496,0.008
3079,3.098,0.006
3380,3.495,0.005
7082,6.431,0.009
5212,4.987,0.004
5215,3.794,0.011
