X,Y,cluster_id
6.427,6.56,41
7.189,6.505,28
6.427,6.466,33
6.916,6.316,40
7.007,6.252,27
5.926,5.986,9
5.905,5.972,9
5.961,5.505,18
5.969,5.484,18
5.963,5.375,37
5.841,5.31,11
5.818,5.307,11
5.85,5.294,11
3.847,3.698,31
3.624,3.628,32
3.481,3.56,3
3.454,3.546,3
2.795,3.231,0
2.793,3.218,0
2.747,3.211,0
2.776,3.197,0
3.347,3.19,35
3.433,3.11,2
3.421,3.075,2
3.431,3.055,2
3.451,2.974,38
2.49,2.767,39
2.53,2.645,21
2.389,2.115,5
2.142,2.018,13
2.149,1.991,13
2.672,1.929,10
2.661,1.908,10
2.247,1.809,14
2.382,1.295,19
1.983,0.924,24
1.966,0.915,24
3.47,3.515,3
3.488,3.533,3
3.482,3.545,3
3.85,3.724,31
3.824,3.847,25
3.826,3.865,25
3.847,3.861,25
3.719,4.244,36
3.914,4.305,42
3.483,4.631,22
4.145,4.529,26
4.14,4.519,26
4.153,4.498,26
4.564,4.432,8
4.582,4.408,8
4.546,4.422,8
4.554,4.41,8
4.498,4.733,1
4.5,4.759,1
4.534,4.753,1
4.593,4.715,4
4.604,4.689,4
4.63,4.741,15
4.658,4.715,15
4.258,4.001,20
5.454,5.049,23
5.54,5.882,6
5.504,5.886,6
1.258,0.971,17
1.244,0.972,17
1.247,0.953,17
1.251,0.938,17
2.273,1.788,14
2.407,1.9,34
2.439,2.124,5
2.718,1.725,30
2.703,1.709,30
4.223,4.778,12
4.187,4.751,12
4.434,5.114,7
4.398,5.132,7
4.999,5.174,16
6.162,5.399,29
6.166,5.388,29
