X,Y,cluster_id
5235.648,5000.328,4
6234.648,6993.0,63
664.224,1152.624,10
4015.536,4065.264,68
5994.888,6880.224,51
1380.84,1699.632,58
3869.904,4203.792,71
6619.152,6643.128,40
5152.176,5320.008,47
3606.168,3938.28,53
3298.032,3152.4,64
4608.72,3789.984,69
5222.328,5015.424,4
1754.688,2220.888,61
6255.96,6173.376,46
4041.288,3837.936,65
2351.424,2151.624,56
4943.496,4253.52,57
6061.488,6700.848,54
4963.032,4599.84,50
3737.592,3524.472,42
6232.872,5714.28,7
4651.344,3507.6,3
3919.632,4243.752,31
5364.408,5605.944,72
2678.208,2648.904,8
2282.16,2216.448,66
2075.256,2560.992,52
6072.144,6277.272,49
4697.52,5044.728,26
3352.2,3072.48,43
2186.256,2257.296,62
5169.048,5867.904,45
3931.176,4062.6,36
6067.704,5775.552,48
6296.808,6419.352,38
4416.024,4487.952,59
2687.976,2636.472,8
6236.424,5703.624,7
6280.824,6911.304,2
6090.792,5513.592,1
900.432,1935.84,67
5056.272,5452.32,70
4572.312,4924.848,0
2235.984,2046.84,55
1148.184,1829.28,35
5531.352,5354.64,39
1284.936,2345.208,41
6533.016,7151.952,27
4455.984,4827.168,34
968.808,1990.896,20
3753.576,4046.616,17
5112.216,5504.712,33
3217.224,3045.84,60
2140.08,3051.168,23
6762.12,6850.032,30
2801.64,3100.896,37
3585.744,3723.384,25
6203.568,5815.512,29
6052.608,5554.44,1
6294.144,6808.296,28
4618.488,4958.592,0
4645.128,3532.464,3
4295.256,4876.896,44
4666.44,4903.536,32
2307.024,2500.608,21
1461.648,1830.168,19
4447.104,4909.752,9
4552.776,4780.992,13
3694.08,4025.304,16
4820.064,4730.376,22
3282.936,3549.336,14
5328.0,6019.752,15
604.728,1769.784,12
650.016,1150.848,10
2222.664,2148.96,24
6231.096,6911.304,2
2204.016,2689.752,11
1820.4,2113.44,5
2828.28,3390.384,6
1502.496,2220.0,18
