X,Y,cluster_id
6808.0,7409.0,69
6807.0,6730.0,72
3144.0,3545.0,62
2411.0,2439.0,55
2077.0,2468.0,58
1364.0,2437.0,70
6634.0,6627.0,2
2380.0,3077.0,6
1896.0,2478.0,51
4294.0,4014.0,43
3715.0,3309.0,1
2953.0,3239.0,66
2724.0,2680.0,68
5305.0,4814.0,53
7187.0,7735.0,64
1165.0,2145.0,38
3746.0,3278.0,1
5964.0,5960.0,61
2795.0,2781.0,67
4340.0,4785.0,52
5055.0,5645.0,63
2214.0,3356.0,59
4827.0,4715.0,65
6509.0,7153.0,57
605.0,1477.0,75
1621.0,2361.0,60
5205.0,4237.0,49
6336.0,6467.0,45
5859.0,5549.0,54
6669.0,6639.0,2
6721.0,7496.0,32
4915.0,4893.0,25
1999.0,2211.0,76
5750.0,5374.0,0
1041.0,1906.0,74
4512.0,4910.0,39
5301.0,5310.0,56
3949.0,3101.0,34
5811.0,5398.0,0
4284.0,4537.0,29
5556.0,5686.0,31
1553.0,2203.0,46
3687.0,3519.0,22
5100.0,5532.0,71
5166.0,5044.0,50
6082.0,6873.0,28
5324.0,5525.0,73
1344.0,2548.0,36
7062.0,7157.0,35
4001.0,3912.0,26
1012.0,1814.0,44
5267.0,5444.0,17
4454.0,4534.0,37
6743.0,6899.0,30
3562.0,4092.0,41
4847.0,5100.0,27
7304.0,7831.0,48
7072.0,7961.0,24
5037.0,5424.0,33
6331.0,5978.0,18
7264.0,8113.0,12
5118.0,4714.0,47
1983.0,2296.0,42
3089.0,3701.0,23
6267.0,6184.0,8
6544.0,7468.0,11
6434.0,6793.0,40
4994.0,5532.0,16
6706.0,6732.0,13
1892.0,2998.0,14
2356.0,3097.0,6
4692.0,4674.0,21
5703.0,5218.0,10
2845.0,3171.0,19
2318.0,2868.0,5
5079.0,5253.0,15
6448.0,6978.0,7
6410.0,5926.0,20
2608.0,3038.0,9
5131.0,5777.0,4
6765.0,7064.0,3
