X,Y,cluster_id
7238.088,7387.272,7
8095.896,7325.112,27
7237.2,7281.6,7
7787.76,7112.88,1
7890.768,7040.064,1
6673.32,6740.808,33
6650.232,6724.824,33
6713.28,6199.128,3
6722.16,6176.04,3
6715.056,6052.608,3
6577.416,5979.792,24
6551.664,5976.24,24
6588.072,5962.032,24
4331.664,4164.72,12
4081.248,4085.688,32
3919.632,4009.32,6
3889.44,3993.336,6
3147.072,3638.136,17
3145.296,3623.928,17
3093.792,3615.936,17
3126.648,3599.952,17
3769.56,3591.96,0
3866.352,3502.272,0
3852.144,3462.312,0
3863.688,3440.112,0
3885.888,3348.648,0
2804.304,3115.992,34
2848.704,2978.352,26
2690.64,2381.616,2
2411.808,2272.392,22
2419.8,2242.2,22
3009.432,2172.048,14
2996.112,2148.96,14
2529.912,2037.072,10
2682.648,1458.096,19
2233.32,1040.736,23
2213.784,1030.08,23
3908.088,3958.704,6
3927.624,3979.128,6
3921.408,3991.56,6
4335.216,4193.136,12
4305.912,4331.664,35
4308.576,4352.976,35
4331.664,4347.648,35
4187.808,4779.216,28
4407.144,4847.592,13
3922.296,5215.224,21
4668.216,5100.672,11
4662.0,5089.128,11
4677.096,5065.152,11
5139.744,4990.56,18
5160.168,4963.92,18
5119.32,4979.904,18
5128.2,4966.584,18
5065.152,5329.776,4
5067.816,5359.08,4
5106.0,5352.864,4
5172.6,5310.24,4
5185.032,5280.936,4
5214.336,5338.656,4
5245.416,5310.24,4
4795.2,4505.712,29
6141.408,5685.864,25
6238.2,6623.592,16
6198.24,6628.032,16
1416.36,1094.016,15
1401.264,1094.904,15
1403.928,1073.592,15
1408.368,1056.72,15
2559.216,2013.096,10
2710.176,2140.08,31
2746.584,2391.384,2
3060.936,1942.056,30
3044.064,1924.296,30
4755.24,5380.392,5
4715.28,5350.2,5
4993.224,5758.68,8
4953.264,5779.104,8
5629.032,5827.056,20
6938.832,6080.136,9
6943.272,6067.704,9
