og_centroid,closest_centroid,dist,cluster_id
"(6716.832, 6142.592)","(6572.384, 5972.688)",223.008,3
"(6572.384, 5972.688)","(6716.832, 6142.592)",223.008,24
"(5150.907, 5325.97)","(5136.858, 4975.242)",351.01,4
"(5136.858, 4975.242)","(5150.907, 5325.97)",351.01,18
"(4669.104, 5084.984)","(5136.858, 4975.242)",480.455,11
"(3847.526, 3469.061)","(3913.238, 3986.41)",521.505,0
"(3913.238, 3986.41)","(3847.526, 3469.061)",521.505,6
"(4315.384, 4344.096)","(3913.238, 3986.41)",538.201,35
"(3128.202, 3619.488)","(3847.526, 3469.061)",734.885,17
"(1407.48, 1079.808)","(3128.202, 3619.488)",3067.712,15
