og_coord,closest_coord,dist
"(2694, 1510)","(2546, 1766)",295.70255325241953
"(6319, 6124)","(6068, 5873)",354.9676041556469
"(1262, 666)","(1325, 848)",192.59543089076647
"(7494, 7456)","(7142, 7161)",459.2700730507051
"(3475, 2932)","(3306, 2822)",201.64572894063488
"(2412, 1964)","(2399, 1732)",232.36393868240398
"(1611, 1238)","(1578, 1287)",59.07622195096772
"(6314, 6627)","(6347, 6705)",84.69356528095862
"(5535, 4777)","(5525, 5089)",312.1602152741441
"(3276, 3586)","(3679, 3656)",409.03422839659765
"(5205, 4995)","(5184, 4890)",107.07940978544848
"(2399, 1732)","(2546, 1766)",150.88074761214565
"(3041, 2359)","(2924, 2525)",203.08865059377396
"(4681, 4839)","(4705, 4864)",34.655446902326915
"(7066, 6979)","(6968, 7054)",123.40583454602137
"(3783, 3714)","(3812, 3677)",47.01063709417264
"(3471, 4096)","(3679, 3656)",486.68675757616415
"(4778, 4543)","(4887, 4560)",110.3177229641729
"(2603, 2206)","(2427, 2459)",308.1963659746818
"(3812, 3677)","(3783, 3714)",47.01063709417264
"(2836, 3163)","(2955, 3120)",126.53062870309307
"(4580, 4440)","(4625, 4350)",100.62305898749054
"(5141, 5448)","(5353, 5509)",220.60145058453264
"(3568, 3205)","(3814, 3120)",260.2710126003278
"(1981, 1457)","(1768, 1153)",371.1940193483726
"(5525, 5089)","(5492, 5361)",273.99452549275503
"(5628, 5785)","(5661, 6066)",282.93108701590216
"(4909, 5713)","(4852, 5538)",184.04890654388578
"(4189, 4600)","(4580, 4440)",422.47011728641826
"(2076, 1917)","(2166, 2103)",206.63010429267078
"(6347, 6705)","(6314, 6627)",84.69356528095862
"(2955, 3120)","(2836, 3163)",126.53062870309307
"(7323, 6704)","(7058, 6806)",283.95246080990387
"(4625, 4350)","(4699, 4305)",86.6083136886985
"(5001, 4854)","(5184, 4890)",186.50737250843463
"(6870, 6711)","(7058, 6806)",210.63950246807934
"(4705, 4864)","(4681, 4839)",34.655446902326915
"(7697, 6753)","(7323, 6704)",377.19623540008985
"(7142, 7161)","(7066, 6979)",197.2308292331602
"(4094, 5135)","(4175, 5294)",178.4432682955566
"(5661, 6066)","(5628, 5785)",282.93108701590216
"(6903, 6374)","(6870, 6711)",338.61187220769443
"(5184, 4890)","(5205, 4995)",107.07940978544848
"(7838, 7128)","(7697, 6753)",400.6320007188642
"(5315, 5725)","(5353, 5509)",219.31712199461307
"(6405, 5681)","(6661, 5852)",307.8587338374534
"(7058, 6806)","(7066, 6979)",173.18487231857176
"(6901, 6022)","(6747, 5926)",181.4717608885746
"(2546, 1766)","(2399, 1732)",150.88074761214565
"(4336, 5143)","(4175, 5294)",220.7306050369998
"(4852, 5538)","(4909, 5713)",184.04890654388578
"(4175, 5294)","(4094, 5135)",178.4432682955566
"(1768, 1153)","(1611, 1238)",178.53291013143766
"(6747, 5926)","(6661, 5852)",113.45483682946268
"(6068, 5873)","(6319, 6124)",354.9676041556469
"(2862, 2526)","(2924, 2525)",62.00806399170998
"(3679, 3656)","(3783, 3714)",119.07980517283357
"(3306, 2822)","(3191, 2763)",129.25169244539896
"(1578, 1287)","(1611, 1238)",59.07622195096772
"(2225, 1761)","(2399, 1732)",176.40011337864837
"(3191, 2763)","(3306, 2822)",129.25169244539896
"(3814, 3120)","(3568, 3205)",260.2710126003278
"(4126, 4078)","(4076, 3927)",159.0628806478746
"(4076, 3927)","(4126, 4078)",159.0628806478746
"(2924, 2525)","(2862, 2526)",62.00806399170998
"(4699, 4305)","(4625, 4350)",86.6083136886985
"(6661, 5852)","(6747, 5926)",113.45483682946268
"(2823, 1848)","(2731, 1825)",94.83142938920619
"(2731, 1825)","(2823, 1848)",94.83142938920619
"(5353, 5509)","(5492, 5361)",203.03940504246953
"(4887, 4560)","(4778, 4543)",110.3177229641729
"(1802, 573)","(1262, 666)",547.9498152203357
"(1425, 1089)","(1611, 1238)",238.32121181296472
"(3219, 2961)","(3306, 2822)",163.98170629676957
"(2745, 2745)","(2862, 2526)",248.29418035870273
"(2166, 2103)","(2076, 1917)",206.63010429267078
"(1325, 848)","(1262, 666)",192.59543089076647
"(4182, 3708)","(4076, 3927)",243.30433617179946
"(2427, 2459)","(2603, 2206)",308.1963659746818
"(5492, 5361)","(5353, 5509)",203.03940504246953
"(6968, 7054)","(7066, 6979)",123.40583454602137
