og_coord,closest_coord,dist
"(2134, 1128)","(2134.0, 1128.0)",0.0
"(3040, 221)","(3040.0, 221.0)",0.0
"(352, 2254)","(352.0, 2254.0)",0.0
"(3347, 1646)","(3347.0, 1646.0)",0.0
"(3153, 1641)","(3153.0, 1641.0)",0.0
"(3175, 3208)","(3175.0, 3208.0)",0.0
"(2549, 2180)","(2549.0, 2180.0)",0.0
"(2198, 174)","(2198.0, 174.0)",0.0
"(3385, 2709)","(3385.0, 2709.0)",0.0
"(3556, 3342)","(3556.0, 3342.0)",0.0
"(1159, 3134)","(1159.0, 3134.0)",0.0
"(2368, 174)","(2368.0, 174.0)",0.0
"(368, 341)","(368.0, 341.0)",0.0
"(2326, 433)","(2326.0, 433.0)",0.0
"(2213, 1060)","(2213.0, 1060.0)",0.0
"(2340, 2975)","(2340.0, 2975.0)",0.0
"(1837, 2949)","(1837.0, 2949.0)",0.0
"(1024, 1491)","(1024.0, 1491.0)",0.0
"(1827, 2290)","(1827.0, 2290.0)",0.0
"(1379, 3167)","(1379.0, 3167.0)",0.0
"(2971, 3805)","(2971.0, 3805.0)",0.0
"(2928, 1290)","(2928.0, 1290.0)",0.0
"(1928, 946)","(1928.0, 946.0)",0.0
"(351, 31)","(351.0, 31.0)",0.0
"(2817, 724)","(2817.0, 724.0)",0.0
"(494, 2643)","(494.0, 2643.0)",0.0
"(3232, 2153)","(3232.0, 2153.0)",0.0
"(2824, 590)","(2824.0, 590.0)",0.0
"(3084, 2512)","(3084.0, 2512.0)",0.0
"(1975, 3638)","(1975.0, 3638.0)",0.0
"(2914, 1193)","(2914.0, 1193.0)",0.0
"(405, 3064)","(405.0, 3064.0)",0.0
"(129, 2267)","(129.0, 2267.0)",0.0
"(1808, 2404)","(1808.0, 2404.0)",0.0
"(3260, 1894)","(3260.0, 1894.0)",0.0
"(2618, 3535)","(2618.0, 3535.0)",0.0
"(1815, 454)","(1815.0, 454.0)",0.0
"(3137, 1740)","(3137.0, 1740.0)",0.0
"(3289, 3517)","(3289.0, 3517.0)",0.0
"(2768, 253)","(2768.0, 253.0)",0.0
"(3304, 1410)","(3304.0, 1410.0)",0.0
"(860, 1673)","(860.0, 1673.0)",0.0
"(1631, 345)","(1631.0, 345.0)",0.0
"(3014, 224)","(3014.0, 224.0)",0.0
"(2824, 55)","(2824.0, 55.0)",0.0
"(915, 686)","(915.0, 686.0)",0.0
"(2069, 1061)","(2069.0, 1061.0)",0.0
"(908, 2296)","(908.0, 2296.0)",0.0
"(3378, 2750)","(3378.0, 2750.0)",0.0
"(2194, 714)","(2194.0, 714.0)",0.0
"(3048, 706)","(3048.0, 706.0)",0.0
"(691, 3004)","(691.0, 3004.0)",0.0
"(217, 473)","(217.0, 473.0)",0.0
"(404, 952)","(404.0, 952.0)",0.0
"(3517, 3637)","(3517.0, 3637.0)",0.0
"(104, 1401)","(104.0, 1401.0)",0.0
"(2298, 3643)","(2298.0, 3643.0)",0.0
"(2558, 1642)","(2558.0, 1642.0)",0.0
"(469, 3436)","(469.0, 3436.0)",0.0
"(1452, 573)","(1452.0, 573.0)",0.0
"(840, 976)","(840.0, 976.0)",0.0
"(352, 1841)","(352.0, 1841.0)",0.0
"(492, 1043)","(492.0, 1043.0)",0.0
"(3414, 1389)","(3414.0, 1389.0)",0.0
"(1686, 634)","(1686.0, 634.0)",0.0
"(2947, 561)","(2947.0, 561.0)",0.0
"(882, 39)","(882.0, 39.0)",0.0
"(1552, 526)","(1552.0, 526.0)",0.0
"(1177, 1167)","(1177.0, 1167.0)",0.0
"(3099, 2534)","(3099.0, 2534.0)",0.0
"(1823, 2566)","(1823.0, 2566.0)",0.0
"(1720, 963)","(1720.0, 963.0)",0.0
"(576, 493)","(576.0, 493.0)",0.0
"(2618, 1672)","(2618.0, 1672.0)",0.0
"(510, 3166)","(510.0, 3166.0)",0.0
