og_coord,closest_coord,dist
"(2571.0, 3737.0)","(2571.0, 3737.0)",0.0
"(2964.0, 1048.0)","(2964.0, 1048.0)",0.0
"(646.0, 1053.0)","(646.0, 1053.0)",0.0
"(670.0, 1056.0)","(670.0, 1056.0)",0.0
"(473.0, 1061.0)","(473.0, 1061.0)",0.0
"(637.0, 1070.0)","(637.0, 1070.0)",0.0
"(659.0, 1085.0)","(659.0, 1085.0)",0.0
"(493.0, 1100.0)","(493.0, 1100.0)",0.0
"(3335.0, 1108.0)","(3335.0, 1108.0)",0.0
"(629.0, 1112.0)","(629.0, 1112.0)",0.0
"(2484.0, 1130.0)","(2484.0, 1130.0)",0.0
"(1621.0, 1039.0)","(1621.0, 1039.0)",0.0
"(753.0, 1139.0)","(753.0, 1139.0)",0.0
"(1496.0, 1167.0)","(1496.0, 1167.0)",0.0
"(3414.0, 1191.0)","(3414.0, 1191.0)",0.0
"(737.0, 1198.0)","(737.0, 1198.0)",0.0
"(1641.0, 1198.0)","(1641.0, 1198.0)",0.0
"(3252.0, 1207.0)","(3252.0, 1207.0)",0.0
"(1652.0, 1219.0)","(1652.0, 1219.0)",0.0
"(1619.0, 1226.0)","(1619.0, 1226.0)",0.0
"(2237.0, 1242.0)","(2237.0, 1242.0)",0.0
"(1081.0, 1260.0)","(1081.0, 1260.0)",0.0
"(1093.0, 1272.0)","(1093.0, 1272.0)",0.0
"(3406.0, 1152.0)","(3406.0, 1152.0)",0.0
"(1421.0, 1273.0)","(1421.0, 1273.0)",0.0
"(1223.0, 1015.0)","(1223.0, 1015.0)",0.0
"(965.0, 1001.0)","(965.0, 1001.0)",0.0
"(2829.0, 810.0)","(2829.0, 810.0)",0.0
"(1625.0, 823.0)","(1625.0, 823.0)",0.0
"(2536.0, 823.0)","(2536.0, 823.0)",0.0
"(1563.0, 826.0)","(1563.0, 826.0)",0.0
"(1446.0, 856.0)","(1446.0, 856.0)",0.0
"(1466.0, 869.0)","(1466.0, 869.0)",0.0
"(1440.0, 872.0)","(1440.0, 872.0)",0.0
"(770.0, 887.0)","(770.0, 887.0)",0.0
"(1607.0, 906.0)","(1607.0, 906.0)",0.0
"(825.0, 907.0)","(825.0, 907.0)",0.0
"(1241.0, 1003.0)","(1241.0, 1003.0)",0.0
"(763.0, 909.0)","(763.0, 909.0)",0.0
"(1299.0, 954.0)","(1299.0, 954.0)",0.0
"(836.0, 973.0)","(836.0, 973.0)",0.0
"(1258.0, 978.0)","(1258.0, 978.0)",0.0
"(1283.0, 985.0)","(1283.0, 985.0)",0.0
"(1404.0, 986.0)","(1404.0, 986.0)",0.0
"(3190.0, 985.0)","(3190.0, 985.0)",0.0
"(1369.0, 987.0)","(1369.0, 987.0)",0.0
"(489.0, 987.0)","(489.0, 987.0)",0.0
"(789.0, 994.0)","(789.0, 994.0)",0.0
"(934.0, 994.0)","(934.0, 994.0)",0.0
"(2990.0, 913.0)","(2990.0, 913.0)",0.0
"(1548.0, 804.0)","(1548.0, 804.0)",0.0
"(1409.0, 1285.0)","(1409.0, 1285.0)",0.0
"(1444.0, 1342.0)","(1444.0, 1342.0)",0.0
"(1402.0, 1583.0)","(1402.0, 1583.0)",0.0
"(1316.0, 1594.0)","(1316.0, 1594.0)",0.0
"(319.0, 1621.0)","(319.0, 1621.0)",0.0
"(1059.0, 1637.0)","(1059.0, 1637.0)",0.0
"(197.0, 1638.0)","(197.0, 1638.0)",0.0
"(1905.0, 1639.0)","(1905.0, 1639.0)",0.0
"(1688.0, 1660.0)","(1688.0, 1660.0)",0.0
"(2702.0, 1667.0)","(2702.0, 1667.0)",0.0
"(407.0, 1671.0)","(407.0, 1671.0)",0.0
"(1682.0, 1688.0)","(1682.0, 1688.0)",0.0
"(2110.0, 1578.0)","(2110.0, 1578.0)",0.0
"(675.0, 1696.0)","(675.0, 1696.0)",0.0
"(1709.0, 1700.0)","(1709.0, 1700.0)",0.0
"(1913.0, 1725.0)","(1913.0, 1725.0)",0.0
"(1126.0, 1729.0)","(1126.0, 1729.0)",0.0
"(2658.0, 1740.0)","(2658.0, 1740.0)",0.0
"(3571.0, 1748.0)","(3571.0, 1748.0)",0.0
"(1922.0, 1754.0)","(1922.0, 1754.0)",0.0
"(584.0, 1753.0)","(584.0, 1753.0)",0.0
"(96.0, 1760.0)","(96.0, 1760.0)",0.0
"(536.0, 1759.0)","(536.0, 1759.0)",0.0
"(293.0, 1774.0)","(293.0, 1774.0)",0.0
"(2655.0, 1700.0)","(2655.0, 1700.0)",0.0
"(1426.0, 1317.0)","(1426.0, 1317.0)",0.0
"(2663.0, 1557.0)","(2663.0, 1557.0)",0.0
