og_coord,closest_coord,dist
"(8137.0, 3076.0)","(8135.0, 3076.0)",2.0
"(8135.0, 3076.0)","(8137.0, 3076.0)",2.0
"(9129.0, 4342.0)","(9131.0, 4338.0)",4.472
"(9131.0, 4338.0)","(9129.0, 4342.0)",4.472
"(10362.0, 5816.0)","(10366.0, 5811.0)",6.403
"(10366.0, 5811.0)","(10362.0, 5816.0)",6.403
"(6991.0, 3775.0)","(6997.0, 3772.0)",6.708
"(6997.0, 3772.0)","(6991.0, 3775.0)",6.708
"(8309.0, 3221.0)","(8310.0, 3228.0)",7.071
"(8310.0, 3228.0)","(8309.0, 3221.0)",7.071
"(9041.0, 5550.0)","(9034.0, 5546.0)",8.062
"(9034.0, 5546.0)","(9041.0, 5550.0)",8.062
"(8846.0, 2567.0)","(8854.0, 2564.0)",8.544
"(8854.0, 2564.0)","(8846.0, 2567.0)",8.544
"(9669.0, 5091.0)","(9676.0, 5096.0)",8.602
"(9676.0, 5096.0)","(9669.0, 5091.0)",8.602
"(7930.0, 3192.0)","(7922.0, 3188.0)",8.944
"(7922.0, 3188.0)","(7930.0, 3192.0)",8.944
"(10408.0, 6167.0)","(10408.0, 6158.0)",9.0
"(10408.0, 6158.0)","(10408.0, 6167.0)",9.0
"(8614.0, 2461.0)","(8605.0, 2458.0)",9.487
"(8605.0, 2458.0)","(8614.0, 2461.0)",9.487
"(9223.0, 2847.0)","(9212.0, 2849.0)",11.18
"(9212.0, 2849.0)","(9223.0, 2847.0)",11.18
"(9737.0, 5921.0)","(9743.0, 5931.0)",11.662
"(9743.0, 5931.0)","(9737.0, 5921.0)",11.662
"(8511.0, 1687.0)","(8499.0, 1688.0)",12.042
"(8499.0, 1688.0)","(8511.0, 1687.0)",12.042
"(9714.0, 6186.0)","(9713.0, 6174.0)",12.042
"(9713.0, 6174.0)","(9714.0, 6186.0)",12.042
"(8290.0, 3533.0)","(8293.0, 3545.0)",12.369
"(8293.0, 3545.0)","(8290.0, 3533.0)",12.369
"(7885.0, 2828.0)","(7876.0, 2837.0)",12.728
"(7876.0, 2837.0)","(7885.0, 2828.0)",12.728
"(9235.0, 3601.0)","(9243.0, 3591.0)",12.806
"(9243.0, 3591.0)","(9235.0, 3601.0)",12.806
"(8102.0, 4038.0)","(8107.0, 4026.0)",13.0
"(8107.0, 4026.0)","(8102.0, 4038.0)",13.0
"(8635.0, 2452.0)","(8648.0, 2452.0)",13.0
"(8648.0, 2452.0)","(8635.0, 2452.0)",13.0
"(9543.0, 5801.0)","(9536.0, 5812.0)",13.038
"(9536.0, 5812.0)","(9543.0, 5801.0)",13.038
"(9717.0, 5654.0)","(9721.0, 5641.0)",13.601
"(9721.0, 5641.0)","(9717.0, 5654.0)",13.601
"(8115.0, 3633.0)","(8110.0, 3646.0)",13.928
"(8467.0, 3794.0)","(8480.0, 3789.0)",13.928
"(8480.0, 3789.0)","(8467.0, 3794.0)",13.928
"(8110.0, 3646.0)","(8115.0, 3633.0)",13.928
"(8713.0, 2588.0)","(8720.0, 2575.0)",14.765
