og_coord,closest_coord,dist
"(8158.0, 2990.0)","(8166.0, 2991.0)",8.062
"(8166.0, 2991.0)","(8158.0, 2990.0)",8.062
"(8780.0, 3408.0)","(8785.0, 3415.0)",8.602
"(8785.0, 3415.0)","(8780.0, 3408.0)",8.602
"(2867.0, 1618.0)","(2869.0, 1628.0)",10.198
"(2869.0, 1628.0)","(2867.0, 1618.0)",10.198
"(2876.0, 1740.0)","(2869.0, 1748.0)",10.63
"(2869.0, 1748.0)","(2876.0, 1740.0)",10.63
"(9124.0, 5900.0)","(9134.0, 5904.0)",10.77
"(9134.0, 5904.0)","(9124.0, 5900.0)",10.77
"(3022.0, 1829.0)","(3021.0, 1840.0)",11.045
"(3021.0, 1840.0)","(3022.0, 1829.0)",11.045
"(8648.0, 5457.0)","(8638.0, 5452.0)",11.18
"(8638.0, 5452.0)","(8648.0, 5457.0)",11.18
"(8400.0, 2427.0)","(8409.0, 2434.0)",11.402
"(8759.0, 1587.0)","(8766.0, 1596.0)",11.402
"(2690.0, 1130.0)","(2693.0, 1119.0)",11.402
"(8705.0, 5447.0)","(8698.0, 5456.0)",11.402
"(8766.0, 1596.0)","(8759.0, 1587.0)",11.402
"(8409.0, 2434.0)","(8400.0, 2427.0)",11.402
"(8698.0, 5456.0)","(8705.0, 5447.0)",11.402
"(2693.0, 1119.0)","(2690.0, 1130.0)",11.402
"(3170.0, 1177.0)","(3164.0, 1187.0)",11.662
"(3164.0, 1187.0)","(3170.0, 1177.0)",11.662
"(9244.0, 3275.0)","(9255.0, 3271.0)",11.705
"(9255.0, 3271.0)","(9244.0, 3275.0)",11.705
"(3194.0, 768.0)","(3195.0, 756.0)",12.042
"(3195.0, 756.0)","(3194.0, 768.0)",12.042
"(2816.0, 1731.0)","(2811.0, 1742.0)",12.083
"(2811.0, 1742.0)","(2816.0, 1731.0)",12.083
"(2876.0, 1411.0)","(2878.0, 1423.0)",12.166
"(2769.0, 1729.0)","(2771.0, 1717.0)",12.166
"(2878.0, 1423.0)","(2876.0, 1411.0)",12.166
"(2771.0, 1717.0)","(2769.0, 1729.0)",12.166
"(3177.0, 1167.0)","(3170.0, 1177.0)",12.207
"(9215.0, 6015.0)","(9205.0, 6022.0)",12.207
"(7348.0, 3082.0)","(7338.0, 3075.0)",12.207
"(9205.0, 6022.0)","(9215.0, 6015.0)",12.207
"(7338.0, 3075.0)","(7348.0, 3082.0)",12.207
"(2602.0, 1714.0)","(2595.0, 1704.0)",12.207
"(2595.0, 1704.0)","(2602.0, 1714.0)",12.207
"(8978.0, 1912.0)","(8985.0, 1922.0)",12.207
"(8985.0, 1922.0)","(8978.0, 1912.0)",12.207
"(8768.0, 3411.0)","(8780.0, 3408.0)",12.369
"(3100.0, 641.0)","(3103.0, 629.0)",12.369
"(3103.0, 629.0)","(3100.0, 641.0)",12.369
