og_coord,closest_coord,dist
"(9.639, 4.098)","(9.645, 4.096)",0.006
"(9.645, 4.096)","(9.639, 4.098)",0.006
"(2.476, 0.933)","(2.477, 0.939)",0.007
"(2.477, 0.939)","(2.476, 0.933)",0.007
"(11.218, 5.812)","(11.227, 5.81)",0.009
"(11.227, 5.81)","(11.218, 5.812)",0.009
"(9.994, 3.832)","(9.987, 3.841)",0.012
"(9.987, 3.841)","(9.994, 3.832)",0.012
"(3.973, 0.715)","(3.98, 0.726)",0.012
"(3.98, 0.726)","(3.973, 0.715)",0.012
"(10.415, 5.056)","(10.427, 5.06)",0.013
"(10.427, 5.06)","(10.415, 5.056)",0.013
"(10.792, 5.505)","(10.807, 5.502)",0.015
"(10.807, 5.502)","(10.792, 5.505)",0.015
"(8.351, 3.594)","(8.355, 3.579)",0.015
"(8.355, 3.579)","(8.351, 3.594)",0.015
"(11.502, 6.06)","(11.51, 6.074)",0.017
"(11.51, 6.074)","(11.502, 6.06)",0.017
"(9.947, 3.312)","(9.945, 3.295)",0.017
"(1.997, 1.899)","(1.98, 1.901)",0.017
"(9.945, 3.295)","(9.947, 3.312)",0.017
"(1.98, 1.901)","(1.997, 1.899)",0.017
"(10.101, 5.232)","(10.118, 5.235)",0.017
"(10.118, 5.235)","(10.101, 5.232)",0.017
"(1.611, 0.997)","(1.622, 0.983)",0.018
"(1.622, 0.983)","(1.611, 0.997)",0.018
"(10.452, 6.859)","(10.47, 6.856)",0.018
"(10.47, 6.856)","(10.452, 6.859)",0.018
"(1.461, 1.61)","(1.471, 1.594)",0.019
"(1.471, 1.594)","(1.461, 1.61)",0.019
"(11.517, 7.183)","(11.512, 7.201)",0.019
"(2.094, 0.996)","(2.089, 0.978)",0.019
"(2.089, 0.978)","(2.094, 0.996)",0.019
"(11.512, 7.201)","(11.517, 7.183)",0.019
"(10.751, 5.436)","(10.758, 5.454)",0.019
"(10.758, 5.454)","(10.751, 5.436)",0.019
"(7.909, 4.666)","(7.906, 4.686)",0.021
"(7.906, 4.686)","(7.909, 4.666)",0.021
"(8.994, 4.484)","(9.015, 4.48)",0.021
"(0.745, 1.345)","(0.748, 1.366)",0.021
"(9.015, 4.48)","(8.994, 4.484)",0.021
"(0.748, 1.366)","(0.745, 1.345)",0.021
"(10.688, 5.604)","(10.668, 5.598)",0.021
"(10.668, 5.598)","(10.688, 5.604)",0.021
"(3.307, 0.831)","(3.328, 0.837)",0.022
"(3.328, 0.837)","(3.307, 0.831)",0.022
"(10.036, 4.843)","(10.048, 4.823)",0.023
"(10.048, 4.823)","(10.036, 4.843)",0.023
"(4.183, 0.496)","(4.2, 0.514)",0.025
"(4.2, 0.514)","(4.183, 0.496)",0.025
"(10.51, 5.72)","(10.485, 5.717)",0.025
"(10.485, 5.717)","(10.51, 5.72)",0.025
"(10.485, 3.215)","(10.506, 3.201)",0.025
"(10.506, 3.201)","(10.485, 3.215)",0.025
"(6.913, 4.008)","(6.938, 4.002)",0.025
"(6.938, 4.002)","(6.913, 4.008)",0.025
"(9.961, 6.101)","(9.982, 6.116)",0.026
"(9.982, 6.116)","(9.961, 6.101)",0.026
"(9.953, 5.269)","(9.979, 5.272)",0.026
"(9.979, 5.272)","(9.953, 5.269)",0.026
"(9.229, 4.202)","(9.241, 4.179)",0.026
"(9.241, 4.179)","(9.229, 4.202)",0.026
"(9.767, 4.534)","(9.791, 4.523)",0.026
"(9.791, 4.523)","(9.767, 4.534)",0.026
"(0.755, 1.391)","(0.748, 1.366)",0.027
"(0.775, 1.364)","(0.748, 1.366)",0.027
"(9.241, 3.946)","(9.267, 3.938)",0.027
"(9.267, 3.938)","(9.241, 3.946)",0.027
"(1.969, 0.641)","(1.996, 0.643)",0.027
"(1.996, 0.643)","(1.969, 0.641)",0.027
"(2.641, 1.271)","(2.615, 1.281)",0.028
"(2.615, 1.281)","(2.641, 1.271)",0.028
"(9.44, 2.519)","(9.459, 2.498)",0.028
"(9.459, 2.498)","(9.44, 2.519)",0.028
"(2.456, 0.957)","(2.477, 0.939)",0.028
"(9.537, 2.228)","(9.51, 2.22)",0.028
"(9.51, 2.22)","(9.537, 2.228)",0.028
"(3.418, 1.6)","(3.432, 1.624)",0.028
"(3.432, 1.624)","(3.418, 1.6)",0.028
"(3.908, 0.702)","(3.917, 0.729)",0.028
"(3.917, 0.729)","(3.908, 0.702)",0.028
"(2.724, 1.778)","(2.704, 1.8)",0.029
"(2.704, 1.8)","(2.724, 1.778)",0.029
"(10.303, 5.708)","(10.315, 5.681)",0.03
"(10.315, 5.681)","(10.303, 5.708)",0.03
"(9.787, 4.557)","(9.767, 4.534)",0.03
"(2.665, 1.504)","(2.667, 1.534)",0.03
"(2.667, 1.534)","(2.665, 1.504)",0.03
"(9.297, 3.647)","(9.27, 3.632)",0.031
"(9.27, 3.632)","(9.297, 3.647)",0.031
"(10.299, 5.174)","(10.324, 5.155)",0.031
"(10.324, 5.155)","(10.299, 5.174)",0.031
"(1.913, 1.304)","(1.901, 1.333)",0.032
"(1.901, 1.333)","(1.913, 1.304)",0.032
"(8.777, 3.207)","(8.8, 3.183)",0.033
"(8.8, 3.183)","(8.777, 3.207)",0.033
"(3.376, 0.973)","(3.378, 1.006)",0.033
