og_coord,closest_coord,dist
"(7.244, 2.655)","(7.251, 2.656)",0.007
"(7.251, 2.656)","(7.244, 2.655)",0.007
"(7.797, 3.026)","(7.801, 3.033)",0.008
"(7.801, 3.033)","(7.797, 3.026)",0.008
"(2.546, 1.437)","(2.548, 1.446)",0.009
"(2.548, 1.446)","(2.546, 1.437)",0.009
"(2.554, 1.545)","(2.548, 1.552)",0.009
"(2.548, 1.552)","(2.554, 1.545)",0.009
"(8.102, 5.239)","(8.111, 5.243)",0.01
"(8.111, 5.243)","(8.102, 5.239)",0.01
"(2.684, 1.624)","(2.683, 1.634)",0.01
"(2.683, 1.634)","(2.684, 1.624)",0.01
"(7.679, 4.846)","(7.671, 4.841)",0.01
"(7.671, 4.841)","(7.679, 4.846)",0.01
"(7.459, 2.155)","(7.467, 2.161)",0.01
"(7.778, 1.409)","(7.784, 1.417)",0.01
"(2.389, 1.003)","(2.391, 0.994)",0.01
"(7.73, 4.837)","(7.724, 4.845)",0.01
"(7.784, 1.417)","(7.778, 1.409)",0.01
"(7.467, 2.161)","(7.459, 2.155)",0.01
"(7.724, 4.845)","(7.73, 4.837)",0.01
"(2.391, 0.994)","(2.389, 1.003)",0.01
"(2.815, 1.045)","(2.81, 1.054)",0.01
"(2.81, 1.054)","(2.815, 1.045)",0.01
"(8.209, 2.908)","(8.218, 2.905)",0.01
"(8.218, 2.905)","(8.209, 2.908)",0.01
"(2.836, 0.682)","(2.837, 0.671)",0.011
"(2.837, 0.671)","(2.836, 0.682)",0.011
"(2.501, 1.537)","(2.496, 1.547)",0.011
"(2.496, 1.547)","(2.501, 1.537)",0.011
"(2.554, 1.253)","(2.556, 1.264)",0.011
"(2.459, 1.535)","(2.461, 1.525)",0.011
"(2.556, 1.264)","(2.554, 1.253)",0.011
"(2.461, 1.525)","(2.459, 1.535)",0.011
"(2.821, 1.036)","(2.815, 1.045)",0.011
"(8.183, 5.341)","(8.174, 5.348)",0.011
"(6.525, 2.737)","(6.516, 2.731)",0.011
