og_coord,closest_coord,dist
"(3754.0, 2643.0)","(3757.0, 2638.0)",5.831
"(3757.0, 2638.0)","(3754.0, 2643.0)",5.831
"(2897.0, 1159.0)","(2890.0, 1157.0)",7.28
"(2890.0, 1157.0)","(2897.0, 1159.0)",7.28
"(4449.0, 3113.0)","(4456.0, 3116.0)",7.616
"(4456.0, 3116.0)","(4449.0, 3113.0)",7.616
"(3856.0, 1754.0)","(3864.0, 1755.0)",8.062
"(3864.0, 1755.0)","(3856.0, 1754.0)",8.062
"(4814.0, 2580.0)","(4820.0, 2574.0)",8.485
"(4820.0, 2574.0)","(4814.0, 2580.0)",8.485
"(2813.0, 3905.0)","(2810.0, 3897.0)",8.544
"(2810.0, 3897.0)","(2813.0, 3905.0)",8.544
"(4143.0, 2089.0)","(4138.0, 2096.0)",8.602
"(4138.0, 2096.0)","(4143.0, 2089.0)",8.602
"(1823.0, 3032.0)","(1816.0, 3038.0)",9.22
"(1816.0, 3038.0)","(1823.0, 3032.0)",9.22
"(3881.0, 2340.0)","(3875.0, 2347.0)",9.22
"(3875.0, 2347.0)","(3881.0, 2340.0)",9.22
"(3829.0, 2415.0)","(3819.0, 2415.0)",10.0
"(3819.0, 2415.0)","(3829.0, 2415.0)",10.0
"(3865.0, 2344.0)","(3875.0, 2347.0)",10.44
"(2277.0, 705.0)","(2270.0, 697.0)",10.63
"(2270.0, 697.0)","(2277.0, 705.0)",10.63
"(2823.0, 3899.0)","(2813.0, 3905.0)",11.662
"(2957.0, 1203.0)","(2946.0, 1209.0)",12.53
"(2946.0, 1209.0)","(2957.0, 1203.0)",12.53
"(5138.0, 1361.0)","(5129.0, 1370.0)",12.728
"(5129.0, 1370.0)","(5138.0, 1361.0)",12.728
"(4223.0, 1652.0)","(4218.0, 1640.0)",13.0
"(4218.0, 1640.0)","(4223.0, 1652.0)",13.0
"(2459.0, 3485.0)","(2470.0, 3492.0)",13.038
"(2470.0, 3492.0)","(2459.0, 3485.0)",13.038
"(2342.0, 3030.0)","(2329.0, 3032.0)",13.153
"(2329.0, 3032.0)","(2342.0, 3030.0)",13.153
"(1770.0, 3103.0)","(1756.0, 3106.0)",14.318
"(1756.0, 3106.0)","(1770.0, 3103.0)",14.318
"(3598.0, 2681.0)","(3586.0, 2692.0)",16.279
"(3586.0, 2692.0)","(3598.0, 2681.0)",16.279
"(3991.0, 1796.0)","(4005.0, 1805.0)",16.643
"(4005.0, 1805.0)","(3991.0, 1796.0)",16.643
"(5082.0, 1646.0)","(5082.0, 1629.0)",17.0
"(5082.0, 1629.0)","(5082.0, 1646.0)",17.0
"(2354.0, 3224.0)","(2351.0, 3207.0)",17.263
"(2351.0, 3207.0)","(2354.0, 3224.0)",17.263
"(3296.0, 1968.0)","(3292.0, 1951.0)",17.464
"(3292.0, 1951.0)","(3296.0, 1968.0)",17.464
"(3584.0, 1186.0)","(3570.0, 1174.0)",18.439
"(183.0, 3042.0)","(197.0, 3030.0)",18.439
"(3570.0, 1174.0)","(3584.0, 1186.0)",18.439
"(197.0, 3030.0)","(183.0, 3042.0)",18.439
"(1727.0, 3132.0)","(1709.0, 3127.0)",18.682
"(1709.0, 3127.0)","(1727.0, 3132.0)",18.682
"(4021.0, 1795.0)","(4005.0, 1805.0)",18.868
"(2315.0, 793.0)","(2296.0, 789.0)",19.416
