og_coord,closest_coord,dist
"(3126.714, 1921.98)","(3123.731, 1928.654)",7.31
"(3123.731, 1928.654)","(3126.714, 1921.98)",7.31
"(4065.125, 1766.734)","(4055.0, 1770.829)",10.922
"(4055.0, 1770.829)","(4065.125, 1766.734)",10.922
"(2063.0, 2884.0)","(2061.913, 2895.0)",11.054
"(2061.913, 2895.0)","(2063.0, 2884.0)",11.054
"(4095.0, 1843.5)","(4093.302, 1832.317)",11.311
"(4093.302, 1832.317)","(4095.0, 1843.5)",11.311
"(3313.136, 2192.136)","(3303.756, 2185.671)",11.392
"(3303.756, 2185.671)","(3313.136, 2192.136)",11.392
"(3135.908, 1869.969)","(3135.865, 1881.703)",11.734
"(3135.865, 1881.703)","(3135.908, 1869.969)",11.734
"(4116.371, 2608.014)","(4125.184, 2615.816)",11.77
"(4125.184, 2615.816)","(4116.371, 2608.014)",11.77
"(4106.524, 1644.111)","(4118.397, 1644.397)",11.876
"(4118.397, 1644.397)","(4106.524, 1644.111)",11.876
"(1058.0, 2996.5)","(1060.606, 2984.845)",11.943
"(1060.606, 2984.845)","(1058.0, 2996.5)",11.943
"(4066.175, 1827.439)","(4066.143, 1815.375)",12.064
"(4066.143, 1815.375)","(4066.175, 1827.439)",12.064
"(4195.892, 1680.2)","(4195.258, 1692.258)",12.075
"(4195.258, 1692.258)","(4195.892, 1680.2)",12.075
"(3090.391, 3981.782)","(3095.986, 3992.629)",12.205
"(3095.986, 3992.629)","(3090.391, 3981.782)",12.205
"(2438.313, 969.867)","(2445.892, 979.8)",12.494
"(2445.892, 979.8)","(2438.313, 969.867)",12.494
"(3407.939, 1438.97)","(3419.0, 1433.0)",12.569
"(3419.0, 1433.0)","(3407.939, 1438.97)",12.569
"(3780.56, 2015.027)","(3786.0, 2026.5)",12.697
"(3786.0, 2026.5)","(3780.56, 2015.027)",12.697
"(3109.551, 1919.776)","(3117.872, 1910.128)",12.741
"(3117.872, 1910.128)","(3109.551, 1919.776)",12.741
"(2127.574, 3424.82)","(2119.75, 3414.6)",12.871
"(2119.75, 3414.6)","(2127.574, 3424.82)",12.871
"(3784.2, 2235.892)","(3775.09, 2245.09)",12.946
"(3775.09, 2245.09)","(3784.2, 2235.892)",12.946
"(2453.115, 968.805)","(2445.892, 979.8)",13.155
"(2038.405, 2637.321)","(2040.125, 2650.5)",13.291
"(2040.125, 2650.5)","(2038.405, 2637.321)",13.291
"(4388.391, 3055.23)","(4375.094, 3053.753)",13.379
"(4375.094, 3053.753)","(4388.391, 3055.23)",13.379
"(4731.517, 2884.057)","(4738.534, 2895.489)",13.414
"(4738.534, 2895.489)","(4731.517, 2884.057)",13.414
"(2753.2, 2008.892)","(2758.0, 1996.286)",13.489
"(2758.0, 1996.286)","(2753.2, 2008.892)",13.489
"(4058.839, 1801.806)","(4060.145, 1788.145)",13.723
"(4060.145, 1788.145)","(4058.839, 1801.806)",13.723
"(2904.633, 1375.633)","(2911.814, 1363.627)",13.99
"(2911.814, 1363.627)","(2904.633, 1375.633)",13.99
"(2784.197, 1340.098)","(2796.848, 1333.939)",14.071
"(2796.848, 1333.939)","(2784.197, 1340.098)",14.071
"(1946.721, 3156.326)","(1951.0, 3142.895)",14.096
"(1951.0, 3142.895)","(1946.721, 3156.326)",14.096
"(2421.441, 874.814)","(2416.0, 887.913)",14.184
"(2416.0, 887.913)","(2421.441, 874.814)",14.184
"(3160.136, 1927.136)","(3169.329, 1916.329)",14.188
"(3169.329, 1916.329)","(3160.136, 1927.136)",14.188
"(2730.714, 1310.481)","(2744.458, 1306.389)",14.34
"(2744.458, 1306.389)","(2730.714, 1310.481)",14.34
"(2830.885, 2293.082)","(2835.341, 2279.413)",14.377
"(2835.341, 2279.413)","(2830.885, 2293.082)",14.377
"(4008.815, 1221.587)","(3998.0, 1212.0)",14.453
"(3998.0, 1212.0)","(4008.815, 1221.587)",14.453
"(300.772, 3010.098)","(292.792, 2998.0)",14.493
"(292.792, 2998.0)","(300.772, 3010.098)",14.493
"(4019.542, 1201.288)","(4033.231, 1206.215)",14.549
"(4033.231, 1206.215)","(4019.542, 1201.288)",14.549
"(4079.759, 1742.603)","(4066.225, 1736.563)",14.821
"(4066.225, 1736.563)","(4079.759, 1742.603)",14.821
"(3242.0, 2942.0)","(3238.123, 2956.521)",15.03
"(3238.123, 2956.521)","(3242.0, 2942.0)",15.03
"(3148.11, 3470.767)","(3133.836, 3465.636)",15.168
"(3133.836, 3465.636)","(3148.11, 3470.767)",15.168
"(4860.061, 2780.03)","(4854.021, 2793.947)",15.171
"(4854.021, 2793.947)","(4860.061, 2780.03)",15.171
"(2406.0, 3845.244)","(2405.0, 3830.0)",15.277
"(2405.0, 3830.0)","(2406.0, 3845.244)",15.277
"(2510.74, 4013.62)","(2508.385, 4028.75)",15.312
"(2508.385, 4028.75)","(2510.74, 4013.62)",15.312
"(2606.066, 2698.541)","(2602.059, 2683.618)",15.452
"(2602.059, 2683.618)","(2606.066, 2698.541)",15.452
"(1769.05, 2974.5)","(1775.823, 2988.532)",15.581
"(1775.823, 2988.532)","(1769.05, 2974.5)",15.581
"(333.512, 3010.573)","(333.292, 2994.978)",15.597
"(333.292, 2994.978)","(333.512, 3010.573)",15.597
"(2204.319, 2922.574)","(2190.226, 2915.823)",15.627
"(2190.226, 2915.823)","(2204.319, 2922.574)",15.627
"(2633.389, 3992.611)","(2626.139, 3978.611)",15.766
