og_coord,closest_coord,dist
"(5076, 1993)","(5070.0, 1988.0)",7.81
"(5070, 1988)","(5076.0, 1993.0)",7.81
"(1964, 6877)","(1957.0, 6881.0)",8.062
"(1957, 6881)","(1964.0, 6877.0)",8.062
"(4423, 1796)","(4433.0, 1797.0)",10.05
"(3507, 2779)","(3508.0, 2769.0)",10.05
"(4433, 1797)","(4423.0, 1796.0)",10.05
"(3508, 2769)","(3507.0, 2779.0)",10.05
"(710, 7752)","(713.0, 7742.0)",10.44
"(713, 7742)","(710.0, 7752.0)",10.44
"(3911, 5615)","(3901.0, 5611.0)",10.77
"(3901, 5611)","(3911.0, 5615.0)",10.77
"(3931, 2835)","(3920.0, 2836.0)",11.045
"(3920, 2836)","(3931.0, 2835.0)",11.045
"(3374, 3731)","(3376.0, 3742.0)",11.18
"(939, 7710)","(944.0, 7720.0)",11.18
"(944, 7720)","(939.0, 7710.0)",11.18
"(3376, 3742)","(3374.0, 3731.0)",11.18
"(3019, 5446)","(3027.0, 5438.0)",11.314
"(3027, 5438)","(3019.0, 5446.0)",11.314
"(4151, 1719)","(4163.0, 1719.0)",12.0
"(4163, 1719)","(4151.0, 1719.0)",12.0
"(3812, 4005)","(3808.0, 3993.0)",12.649
"(3808, 3993)","(3812.0, 4005.0)",12.649
"(2897, 5602)","(2883.0, 5597.0)",14.866
"(2883, 5597)","(2897.0, 5602.0)",14.866
"(3294, 2179)","(3306.0, 2188.0)",15.0
"(3306, 2188)","(3294.0, 2179.0)",15.0
"(1486, 5046)","(1498.0, 5036.0)",15.62
"(1498, 5036)","(1486.0, 5046.0)",15.62
"(2666, 5467)","(2650.0, 5469.0)",16.125
"(2650, 5469)","(2666.0, 5467.0)",16.125
"(2316, 4842)","(2323.0, 4827.0)",16.553
"(2323, 4827)","(2316.0, 4842.0)",16.553
"(2301, 5815)","(2318.0, 5816.0)",17.029
"(2318, 5816)","(2301.0, 5815.0)",17.029
"(922, 7713)","(939.0, 7710.0)",17.263
"(3765, 3131)","(3748.0, 3125.0)",18.028
"(3748, 3125)","(3765.0, 3131.0)",18.028
"(992, 9355)","(974.0, 9353.0)",18.111
"(974, 9353)","(992.0, 9355.0)",18.111
"(3596, 4492)","(3603.0, 4475.0)",18.385
"(3603, 4475)","(3596.0, 4492.0)",18.385
"(1440, 9344)","(1429.0, 9329.0)",18.601
"(1429, 9329)","(1440.0, 9344.0)",18.601
"(4750, 2127)","(4768.0, 2121.0)",18.974
"(4768, 2121)","(4750.0, 2127.0)",18.974
"(3652, 2774)","(3668.0, 2762.0)",20.0
"(3668, 2762)","(3652.0, 2774.0)",20.0
"(3355, 2500)","(3339.0, 2512.0)",20.0
"(3339, 2512)","(3355.0, 2500.0)",20.0
"(2703, 5629)","(2692.0, 5646.0)",20.248
"(2692, 5646)","(2703.0, 5629.0)",20.248
"(3544, 4067)","(3546.0, 4046.0)",21.095
"(3546, 4046)","(3544.0, 4067.0)",21.095
"(2441, 5348)","(2419.0, 5348.0)",22.0
"(2419, 5348)","(2441.0, 5348.0)",22.0
"(3526, 3523)","(3504.0, 3524.0)",22.023
"(3504, 3524)","(3526.0, 3523.0)",22.023
"(864, 9342)","(886.0, 9343.0)",22.023
"(886, 9343)","(864.0, 9342.0)",22.023
"(1203, 8799)","(1181.0, 8803.0)",22.361
"(1181, 8803)","(1203.0, 8799.0)",22.361
"(3545, 3181)","(3535.0, 3161.0)",22.361
"(3535, 3161)","(3545.0, 3181.0)",22.361
"(2017, 9361)","(1997.0, 9372.0)",22.825
"(1997, 9372)","(2017.0, 9361.0)",22.825
"(3917, 2859)","(3920.0, 2836.0)",23.195
"(4243, 1496)","(4255.0, 1516.0)",23.324
"(4255, 1516)","(4243.0, 1496.0)",23.324
"(4368, 2098)","(4388.0, 2110.0)",23.324
"(4388, 2110)","(4368.0, 2098.0)",23.324
"(3530, 3500)","(3526.0, 3523.0)",23.345
"(1027, 8704)","(1018.0, 8726.0)",23.77
"(1018, 8726)","(1027.0, 8704.0)",23.77
"(4465, 1701)","(4446.0, 1685.0)",24.839
"(4446, 1685)","(4465.0, 1701.0)",24.839
"(2292, 4849)","(2316.0, 4842.0)",25.0
"(1482, 8727)","(1503.0, 8713.0)",25.239
"(1503, 8713)","(1482.0, 8727.0)",25.239
"(2840, 4392)","(2864.0, 4400.0)",25.298
"(2864, 4400)","(2840.0, 4392.0)",25.298
"(3017, 3751)","(3038.0, 3766.0)",25.807
"(3038, 3766)","(3017.0, 3751.0)",25.807
"(3140, 3979)","(3121.0, 3961.0)",26.173
"(3121, 3961)","(3140.0, 3979.0)",26.173
"(2416, 4681)","(2408.0, 4706.0)",26.249
"(2408, 4706)","(2416.0, 4681.0)",26.249
"(3944, 2681)","(3924.0, 2663.0)",26.907
"(3924, 2663)","(3944.0, 2681.0)",26.907
"(3650, 2801)","(3652.0, 2774.0)",27.074
