og_coord,closest_coord,dist
"(0.789, 8.549)","(0.788, 8.556)",0.007
"(0.788, 8.556)","(0.789, 8.549)",0.007
"(4.591, 2.255)","(4.582, 2.257)",0.009
"(4.582, 2.257)","(4.591, 2.255)",0.009
"(3.208, 3.667)","(3.2, 3.665)",0.009
"(3.2, 3.665)","(3.208, 3.667)",0.009
"(1.97, 5.056)","(1.97, 5.066)",0.009
"(1.97, 5.066)","(1.97, 5.056)",0.009
"(3.267, 3.53)","(3.277, 3.529)",0.01
"(3.277, 3.529)","(3.267, 3.53)",0.01
"(2.451, 4.396)","(2.451, 4.386)",0.01
"(2.451, 4.386)","(2.451, 4.396)",0.01
"(4.133, 2.004)","(4.137, 2.013)",0.011
"(4.137, 2.013)","(4.133, 2.004)",0.011
"(3.372, 3.395)","(3.362, 3.391)",0.011
"(3.362, 3.391)","(3.372, 3.395)",0.011
"(3.3, 4.644)","(3.293, 4.636)",0.011
"(3.293, 4.636)","(3.3, 4.644)",0.011
"(3.368, 2.113)","(3.377, 2.107)",0.011
"(3.377, 2.107)","(3.368, 2.113)",0.011
"(3.312, 2.581)","(3.322, 2.588)",0.011
"(3.322, 2.588)","(3.312, 2.581)",0.011
"(2.462, 4.389)","(2.451, 4.386)",0.011
"(2.932, 2.42)","(2.937, 2.409)",0.012
"(2.937, 2.409)","(2.932, 2.42)",0.012
"(3.437, 3.796)","(3.433, 3.785)",0.012
"(3.433, 3.785)","(3.437, 3.796)",0.012
"(1.513, 4.403)","(1.517, 4.392)",0.012
"(1.517, 4.392)","(1.513, 4.403)",0.012
"(1.126, 7.718)","(1.134, 7.71)",0.012
"(1.134, 7.71)","(1.126, 7.718)",0.012
"(2.536, 4.799)","(2.525, 4.804)",0.012
"(2.525, 4.804)","(2.536, 4.799)",0.012
"(1.164, 6.786)","(1.157, 6.776)",0.012
"(1.157, 6.776)","(1.164, 6.786)",0.012
"(2.547, 4.795)","(2.536, 4.799)",0.012
"(2.631, 3.329)","(2.643, 3.324)",0.013
"(2.643, 3.324)","(2.631, 3.329)",0.013
"(2.602, 3.67)","(2.593, 3.661)",0.013
"(2.593, 3.661)","(2.602, 3.67)",0.013
"(3.436, 3.927)","(3.448, 3.929)",0.013
"(3.448, 3.929)","(3.436, 3.927)",0.013
"(1.138, 7.697)","(1.134, 7.71)",0.013
"(2.401, 4.666)","(2.413, 4.669)",0.013
"(2.413, 4.669)","(2.401, 4.666)",0.013
"(1.826, 8.264)","(1.831, 8.252)",0.013
"(1.831, 8.252)","(1.826, 8.264)",0.013
"(3.455, 3.623)","(3.458, 3.611)",0.013
"(3.458, 3.611)","(3.455, 3.623)",0.013
"(1.744, 5.674)","(1.756, 5.67)",0.013
"(1.756, 5.67)","(1.744, 5.674)",0.013
"(3.177, 4.729)","(3.19, 4.725)",0.013
"(3.19, 4.725)","(3.177, 4.729)",0.013
"(1.044, 7.758)","(1.031, 7.762)",0.013
"(1.031, 7.762)","(1.044, 7.758)",0.013
"(3.428, 3.938)","(3.436, 3.927)",0.014
"(2.573, 4.827)","(2.559, 4.824)",0.014
"(2.559, 4.824)","(2.573, 4.827)",0.014
"(0.86, 8.182)","(0.866, 8.195)",0.014
"(0.866, 8.195)","(0.86, 8.182)",0.014
