og_coord,closest_coord,dist
"(1.153, 10.177)","(1.155, 10.178)",0.003
"(1.155, 10.178)","(1.153, 10.177)",0.003
"(1.368, 9.885)","(1.372, 9.886)",0.005
"(1.372, 9.886)","(1.368, 9.885)",0.005
"(4.003, 4.164)","(4.003, 4.17)",0.006
"(4.003, 4.17)","(4.003, 4.164)",0.006
"(3.008, 5.22)","(3.007, 5.213)",0.008
"(3.007, 5.213)","(3.008, 5.22)",0.008
"(3.142, 4.232)","(3.134, 4.234)",0.008
"(3.134, 4.234)","(3.142, 4.232)",0.008
"(4.182, 3.778)","(4.173, 3.783)",0.01
"(4.173, 3.783)","(4.182, 3.778)",0.01
"(3.985, 5.865)","(3.987, 5.875)",0.01
"(3.987, 5.875)","(3.985, 5.865)",0.01
"(4.054, 3.881)","(4.045, 3.875)",0.011
"(4.045, 3.875)","(4.054, 3.881)",0.011
"(1.07, 11.229)","(1.057, 11.234)",0.013
"(4.966, 2.472)","(4.979, 2.477)",0.013
"(1.057, 11.234)","(1.07, 11.229)",0.013
"(4.979, 2.477)","(4.966, 2.472)",0.013
"(1.343, 10.69)","(1.357, 10.691)",0.014
"(1.357, 10.691)","(1.343, 10.69)",0.014
"(4.183, 2.704)","(4.182, 2.691)",0.014
"(4.182, 2.691)","(4.183, 2.704)",0.014
"(4.343, 2.881)","(4.349, 2.868)",0.014
"(4.533, 4.304)","(4.521, 4.309)",0.014
"(4.521, 4.309)","(4.533, 4.304)",0.014
"(4.349, 2.868)","(4.343, 2.881)",0.014
"(4.497, 4.691)","(4.485, 4.684)",0.014
"(4.485, 4.684)","(4.497, 4.691)",0.014
"(1.314, 11.351)","(1.327, 11.344)",0.015
"(1.327, 11.344)","(1.314, 11.351)",0.015
"(3.256, 5.996)","(3.249, 6.009)",0.016
"(3.249, 6.009)","(3.256, 5.996)",0.016
"(2.738, 5.346)","(2.738, 5.331)",0.016
"(2.738, 5.331)","(2.738, 5.346)",0.016
"(4.253, 3.031)","(4.269, 3.037)",0.017
"(4.269, 3.037)","(4.253, 3.031)",0.017
"(4.444, 6.281)","(4.442, 6.264)",0.017
"(4.442, 6.264)","(4.444, 6.281)",0.017
"(1.084, 10.531)","(1.092, 10.515)",0.018
"(1.092, 10.515)","(1.084, 10.531)",0.018
"(5.641, 2.175)","(5.627, 2.186)",0.018
"(5.627, 2.186)","(5.641, 2.175)",0.018
"(4.683, 1.965)","(4.692, 1.948)",0.019
"(4.692, 1.948)","(4.683, 1.965)",0.019
"(4.272, 3.726)","(4.285, 3.711)",0.019
"(4.285, 3.711)","(4.272, 3.726)",0.019
"(0.946, 10.762)","(0.966, 10.756)",0.021
"(0.966, 10.756)","(0.946, 10.762)",0.021
"(4.425, 6.29)","(4.444, 6.281)",0.021
"(3.624, 3.744)","(3.631, 3.764)",0.021
"(3.631, 3.764)","(3.624, 3.744)",0.021
"(4.528, 4.33)","(4.521, 4.309)",0.021
"(5.597, 2.124)","(5.619, 2.121)",0.021
"(5.619, 2.121)","(5.597, 2.124)",0.021
"(3.035, 5.441)","(3.047, 5.423)",0.022
"(3.047, 5.423)","(3.035, 5.441)",0.022
"(3.295, 5.157)","(3.314, 5.146)",0.022
"(3.314, 5.146)","(3.295, 5.157)",0.022
"(3.242, 5.704)","(3.22, 5.697)",0.022
"(3.22, 5.697)","(3.242, 5.704)",0.022
"(1.373, 10.119)","(1.384, 10.098)",0.024
"(2.666, 6.097)","(2.676, 6.118)",0.024
"(1.384, 10.098)","(1.373, 10.119)",0.024
"(2.676, 6.118)","(2.666, 6.097)",0.024
"(1.116, 8.835)","(1.097, 8.82)",0.024
"(1.097, 8.82)","(1.116, 8.835)",0.024
"(3.367, 4.411)","(3.342, 4.412)",0.025
"(2.825, 4.919)","(2.849, 4.918)",0.025
"(3.342, 4.412)","(3.367, 4.411)",0.025
"(2.849, 4.918)","(2.825, 4.919)",0.025
"(4.84, 1.911)","(4.817, 1.901)",0.026
"(4.817, 1.901)","(4.84, 1.911)",0.026
"(4.728, 1.418)","(4.708, 1.402)",0.026
"(4.708, 1.402)","(4.728, 1.418)",0.026
"(3.659, 4.595)","(3.678, 4.614)",0.027
"(3.678, 4.614)","(3.659, 4.595)",0.027
"(4.196, 5.926)","(4.169, 5.929)",0.027
"(4.169, 5.929)","(4.196, 5.926)",0.027
"(3.336, 4.385)","(3.342, 4.412)",0.028
"(4.157, 5.816)","(4.129, 5.819)",0.028
"(4.129, 5.819)","(4.157, 5.816)",0.028
"(3.389, 4.033)","(3.404, 4.057)",0.029
"(3.404, 4.057)","(3.389, 4.033)",0.029
"(4.466, 4.106)","(4.459, 4.134)",0.029
"(4.459, 4.134)","(4.466, 4.106)",0.029
"(5.801, 2.022)","(5.773, 2.031)",0.03
"(5.773, 2.031)","(5.801, 2.022)",0.03
"(3.316, 6.151)","(3.343, 6.138)",0.03
"(3.343, 6.138)","(3.316, 6.151)",0.03
"(5.246, 2.124)","(5.274, 2.134)",0.03
"(5.274, 2.134)","(5.246, 2.124)",0.03
"(3.841, 4.544)","(3.864, 4.524)",0.03
"(4.436, 4.114)","(4.459, 4.134)",0.03
"(3.864, 4.524)","(3.841, 4.544)",0.03
"(3.616, 4.107)","(3.645, 4.118)",0.03
"(3.645, 4.118)","(3.616, 4.107)",0.03
"(3.031, 5.397)","(3.047, 5.423)",0.03
"(5.565, 2.389)","(5.534, 2.382)",0.031
"(5.534, 2.382)","(5.565, 2.389)",0.031
"(4.162, 5.611)","(4.135, 5.627)",0.031
"(4.135, 5.627)","(4.162, 5.611)",0.031
"(3.857, 4.352)","(3.888, 4.361)",0.032
"(3.888, 4.361)","(3.857, 4.352)",0.032
"(4.038, 5.843)","(4.043, 5.874)",0.032
"(4.043, 5.874)","(4.038, 5.843)",0.032
"(5.141, 1.899)","(5.172, 1.89)",0.033
"(5.172, 1.89)","(5.141, 1.899)",0.033
"(4.385, 4.881)","(4.352, 4.874)",0.033
"(4.352, 4.874)","(4.385, 4.881)",0.033
"(4.112, 2.708)","(4.137, 2.685)",0.033
"(4.522, 4.668)","(4.497, 4.691)",0.033
"(4.137, 2.685)","(4.112, 2.708)",0.033
"(5.139, 1.865)","(5.141, 1.899)",0.034
"(5.098, 2.031)","(5.089, 1.999)",0.034
"(5.089, 1.999)","(5.098, 2.031)",0.034
"(3.274, 5.694)","(3.242, 5.704)",0.034
"(4.321, 4.014)","(4.353, 4.001)",0.035
"(4.353, 4.001)","(4.321, 4.014)",0.035
"(3.71, 3.835)","(3.735, 3.81)",0.035
"(3.735, 3.81)","(3.71, 3.835)",0.035
"(4.945, 1.964)","(4.929, 1.933)",0.035
"(4.929, 1.933)","(4.945, 1.964)",0.035
"(1.271, 10.106)","(1.305, 10.093)",0.036
"(1.305, 10.093)","(1.271, 10.106)",0.036
"(4.152, 5.51)","(4.123, 5.532)",0.037
"(4.123, 5.532)","(4.152, 5.51)",0.037
"(4.321, 4.33)","(4.354, 4.314)",0.037
"(4.354, 4.314)","(4.321, 4.33)",0.037
"(2.541, 5.586)","(2.574, 5.567)",0.038
"(2.574, 5.567)","(2.541, 5.586)",0.038
"(1.398, 10.148)","(1.373, 10.119)",0.038
"(3.244, 5.91)","(3.226, 5.875)",0.039
"(3.226, 5.875)","(3.244, 5.91)",0.039
"(4.378, 4.345)","(4.354, 4.314)",0.039
"(3.69, 3.094)","(3.679, 3.133)",0.04
"(3.679, 3.133)","(3.69, 3.094)",0.04
"(1.481, 8.539)","(1.443, 8.549)",0.04
"(1.443, 8.549)","(1.481, 8.539)",0.04
"(3.636, 3.705)","(3.624, 3.744)",0.04
"(3.273, 6.04)","(3.249, 6.009)",0.04
"(4.436, 4.823)","(4.436, 4.783)",0.04
"(4.436, 4.783)","(4.436, 4.823)",0.04
"(1.216, 10.588)","(1.179, 10.571)",0.041
"(1.179, 10.571)","(1.216, 10.588)",0.041
"(4.091, 3.863)","(4.054, 3.881)",0.041
"(4.31, 4.746)","(4.271, 4.732)",0.042
"(4.271, 4.732)","(4.31, 4.746)",0.042
"(4.312, 4.861)","(4.352, 4.874)",0.043
"(5.186, 1.93)","(5.172, 1.89)",0.043
"(4.179, 5.571)","(4.162, 5.611)",0.043
"(1.996, 8.344)","(2.035, 8.326)",0.043
"(2.035, 8.326)","(1.996, 8.344)",0.043
"(1.652, 9.632)","(1.611, 9.62)",0.043
"(1.611, 9.62)","(1.652, 9.632)",0.043
"(3.848, 3.412)","(3.873, 3.448)",0.044
"(3.873, 3.448)","(3.848, 3.412)",0.044
"(1.156, 10.661)","(1.126, 10.63)",0.044
"(1.126, 10.63)","(1.156, 10.661)",0.044
"(1.414, 10.297)","(1.381, 10.268)",0.044
"(1.381, 10.268)","(1.414, 10.297)",0.044
"(0.984, 10.43)","(1.025, 10.447)",0.044
"(4.348, 3.822)","(4.331, 3.782)",0.044
"(1.025, 10.447)","(0.984, 10.43)",0.044
"(4.331, 3.782)","(4.348, 3.822)",0.044
"(1.024, 10.254)","(1.049, 10.218)",0.044
"(1.049, 10.218)","(1.024, 10.254)",0.044
"(5.732, 2.012)","(5.773, 2.031)",0.045
"(3.28, 5.937)","(3.244, 5.91)",0.045
"(4.364, 4.985)","(4.358, 4.94)",0.045
"(4.358, 4.94)","(4.364, 4.985)",0.045
"(4.043, 5.726)","(4.035, 5.771)",0.046
"(4.035, 5.771)","(4.043, 5.726)",0.046
"(4.343, 5.07)","(4.386, 5.053)",0.046
"(4.386, 5.053)","(4.343, 5.07)",0.046
"(4.875, 1.942)","(4.84, 1.911)",0.046
"(1.382, 9.67)","(1.424, 9.65)",0.046
"(1.424, 9.65)","(1.382, 9.67)",0.046
"(3.044, 5.555)","(3.021, 5.595)",0.046
"(3.021, 5.595)","(3.044, 5.555)",0.046
"(1.38, 11.298)","(1.398, 11.255)",0.046
"(1.398, 11.255)","(1.38, 11.298)",0.046
"(3.9, 2.54)","(3.872, 2.577)",0.047
"(3.244, 4.339)","(3.281, 4.367)",0.047
"(3.281, 4.367)","(3.244, 4.339)",0.047
"(3.872, 2.577)","(3.9, 2.54)",0.047
"(1.432, 10.181)","(1.398, 10.148)",0.047
"(1.011, 9.944)","(1.056, 9.93)",0.047
"(1.056, 9.93)","(1.011, 9.944)",0.047
"(4.243, 3.63)","(4.282, 3.604)",0.047
"(4.282, 3.604)","(4.243, 3.63)",0.047
"(0.998, 10.215)","(1.024, 10.254)",0.047
"(3.715, 4.585)","(3.678, 4.614)",0.047
"(3.552, 5.485)","(3.566, 5.439)",0.048
"(3.566, 5.439)","(3.552, 5.485)",0.048
"(4.224, 2.891)","(4.256, 2.927)",0.049
"(3.502, 4.083)","(3.538, 4.116)",0.049
"(4.256, 2.927)","(4.224, 2.891)",0.049
"(3.538, 4.116)","(3.502, 4.083)",0.049
"(3.232, 4.129)","(3.278, 4.114)",0.049
"(3.278, 4.114)","(3.232, 4.129)",0.049
"(0.965, 10.178)","(0.998, 10.215)",0.049
"(4.438, 4.699)","(4.485, 4.684)",0.049
"(3.038, 5.796)","(3.07, 5.835)",0.05
"(3.07, 5.835)","(3.038, 5.796)",0.05
"(1.319, 9.802)","(1.303, 9.849)",0.05
"(1.303, 9.849)","(1.319, 9.802)",0.05
"(3.502, 6.106)","(3.543, 6.078)",0.05
"(3.543, 6.078)","(3.502, 6.106)",0.05
"(2.787, 5.358)","(2.738, 5.346)",0.051
"(2.686, 5.331)","(2.738, 5.331)",0.052
"(4.952, 1.814)","(4.925, 1.769)",0.052
"(4.925, 1.769)","(4.952, 1.814)",0.052
"(4.189, 4.477)","(4.161, 4.522)",0.053
"(4.096, 5.861)","(4.1, 5.913)",0.053
"(4.1, 5.913)","(4.096, 5.861)",0.053
"(4.161, 4.522)","(4.189, 4.477)",0.053
"(1.954, 8.31)","(1.996, 8.344)",0.054
"(1.351, 10.055)","(1.384, 10.098)",0.054
"(4.336, 3.695)","(4.285, 3.711)",0.054
"(3.108, 5.873)","(3.07, 5.835)",0.054
"(2.903, 6.008)","(2.899, 6.062)",0.054
"(2.899, 6.062)","(2.903, 6.008)",0.054
"(3.92, 2.602)","(3.872, 2.577)",0.054
"(2.821, 5.093)","(2.829, 5.039)",0.055
"(2.829, 5.039)","(2.821, 5.093)",0.055
"(0.957, 9.953)","(1.011, 9.944)",0.055
"(3.871, 4.1)","(3.826, 4.132)",0.055
"(3.826, 4.132)","(3.871, 4.1)",0.055
"(3.931, 5.223)","(3.881, 5.201)",0.055
"(3.881, 5.201)","(3.931, 5.223)",0.055
"(3.738, 2.976)","(3.766, 3.024)",0.055
"(3.766, 3.024)","(3.738, 2.976)",0.055
"(0.978, 10.702)","(0.966, 10.756)",0.055
"(5.542, 2.44)","(5.565, 2.389)",0.055
"(4.296, 2.849)","(4.349, 2.868)",0.056
"(4.38, 4.782)","(4.436, 4.783)",0.056
"(3.672, 4.069)","(3.645, 4.118)",0.056
"(4.08, 4.895)","(4.025, 4.883)",0.056
"(4.025, 4.883)","(4.08, 4.895)",0.056
"(2.738, 5.6)","(2.784, 5.632)",0.056
"(2.784, 5.632)","(2.738, 5.6)",0.056
"(3.474, 5.386)","(3.503, 5.434)",0.057
"(3.503, 5.434)","(3.474, 5.386)",0.057
"(4.151, 4.304)","(4.096, 4.29)",0.057
"(4.096, 4.29)","(4.151, 4.304)",0.057
"(4.417, 6.129)","(4.361, 6.138)",0.057
"(4.361, 6.138)","(4.417, 6.129)",0.057
"(2.758, 6.273)","(2.703, 6.258)",0.057
"(2.703, 6.258)","(2.758, 6.273)",0.057
"(1.065, 10.163)","(1.049, 10.218)",0.057
"(4.161, 4.579)","(4.161, 4.522)",0.057
"(3.985, 4.109)","(4.003, 4.164)",0.058
"(5.047, 1.87)","(5.085, 1.826)",0.058
"(5.085, 1.826)","(5.047, 1.87)",0.058
"(2.715, 5.654)","(2.738, 5.6)",0.058
"(3.362, 5.267)","(3.304, 5.268)",0.059
"(3.304, 5.268)","(3.362, 5.267)",0.059
"(4.971, 1.625)","(5.017, 1.661)",0.059
"(5.017, 1.661)","(4.971, 1.625)",0.059
"(4.312, 5.193)","(4.304, 5.252)",0.059
"(4.304, 5.252)","(4.312, 5.193)",0.059
"(4.247, 4.489)","(4.189, 4.477)",0.06
"(0.73, 9.982)","(0.676, 10.008)",0.06
"(0.676, 10.008)","(0.73, 9.982)",0.06
"(4.429, 2.951)","(4.434, 2.891)",0.06
"(4.434, 2.891)","(4.429, 2.951)",0.06
"(1.346, 9.622)","(1.382, 9.67)",0.06
"(4.103, 3.183)","(4.157, 3.156)",0.06
"(4.157, 3.156)","(4.103, 3.183)",0.06
"(1.501, 5.82)","(1.557, 5.844)",0.061
"(1.557, 5.844)","(1.501, 5.82)",0.061
"(1.159, 10.315)","(1.141, 10.373)",0.061
"(1.333, 9.706)","(1.382, 9.67)",0.061
"(1.141, 10.373)","(1.159, 10.315)",0.061
"(1.11, 11.276)","(1.07, 11.229)",0.061
"(1.881, 9.902)","(1.908, 9.957)",0.061
"(1.908, 9.957)","(1.881, 9.902)",0.061
"(3.907, 5.556)","(3.969, 5.555)",0.062
"(3.969, 5.555)","(3.907, 5.556)",0.062
"(1.321, 11.279)","(1.38, 11.298)",0.063
"(4.316, 3.551)","(4.282, 3.604)",0.063
"(5.005, 1.984)","(4.945, 1.964)",0.063
"(3.732, 5.744)","(3.795, 5.741)",0.063
"(3.795, 5.741)","(3.732, 5.744)",0.063
"(3.197, 5.973)","(3.249, 6.009)",0.063
"(3.093, 4.975)","(3.033, 4.992)",0.063
"(3.033, 4.992)","(3.093, 4.975)",0.063
"(1.516, 9.794)","(1.494, 9.854)",0.064
"(1.494, 9.854)","(1.516, 9.794)",0.064
"(3.921, 3.489)","(3.873, 3.448)",0.064
"(3.753, 3.106)","(3.69, 3.094)",0.064
"(4.863, 2.005)","(4.875, 1.942)",0.064
"(3.519, 3.693)","(3.557, 3.745)",0.064
"(3.557, 3.745)","(3.519, 3.693)",0.064
"(3.909, 4.422)","(3.888, 4.361)",0.064
"(4.463, 4.623)","(4.485, 4.684)",0.064
"(3.708, 3.751)","(3.735, 3.81)",0.064
"(2.452, 6.403)","(2.415, 6.35)",0.065
"(2.415, 6.35)","(2.452, 6.403)",0.065
"(4.43, 6.525)","(4.493, 6.54)",0.065
"(4.493, 6.54)","(4.43, 6.525)",0.065
"(4.386, 4.057)","(4.353, 4.001)",0.065
"(3.87, 5.137)","(3.881, 5.201)",0.065
"(1.106, 9.886)","(1.056, 9.93)",0.066
"(5.249, 1.908)","(5.186, 1.93)",0.067
"(5.465, 2.226)","(5.484, 2.162)",0.067
"(1.125, 9.951)","(1.106, 9.886)",0.067
"(5.484, 2.162)","(5.465, 2.226)",0.067
"(3.321, 3.772)","(3.306, 3.705)",0.068
"(3.306, 3.705)","(3.321, 3.772)",0.068
"(2.481, 5.553)","(2.541, 5.586)",0.068
"(3.012, 5.097)","(2.952, 5.128)",0.068
"(2.952, 5.128)","(3.012, 5.097)",0.068
"(4.735, 1.571)","(4.794, 1.538)",0.069
"(4.794, 1.538)","(4.735, 1.571)",0.069
"(5.87, 2.022)","(5.801, 2.022)",0.069
"(3.864, 5.739)","(3.795, 5.741)",0.069
"(1.483, 10.294)","(1.414, 10.297)",0.069
"(4.395, 6.064)","(4.417, 6.129)",0.069
"(1.056, 10.636)","(1.126, 10.63)",0.07
"(4.388, 3.648)","(4.336, 3.695)",0.07
"(2.056, 7.714)","(2.101, 7.66)",0.07
"(2.101, 7.66)","(2.056, 7.714)",0.07
