og_coord,closest_coord,dist
"(3123.0, 3341.0)","(3123.0, 3347.0)",6.0
"(3576.0, 4010.0)","(3570.0, 4010.0)",6.0
"(3570.0, 4010.0)","(3576.0, 4010.0)",6.0
"(2415.0, 4537.0)","(2415.0, 4543.0)",6.0
"(2415.0, 4543.0)","(2415.0, 4537.0)",6.0
"(3123.0, 3347.0)","(3123.0, 3341.0)",6.0
"(2251.0, 5681.0)","(2256.0, 5675.0)",7.81
"(2256.0, 5675.0)","(2251.0, 5681.0)",7.81
"(3380.0, 3333.0)","(3372.0, 3336.0)",8.544
"(3372.0, 3336.0)","(3380.0, 3333.0)",8.544
"(4420.0, 1753.0)","(4411.0, 1752.0)",9.055
"(4411.0, 1752.0)","(4420.0, 1753.0)",9.055
"(3439.0, 5237.0)","(3432.0, 5231.0)",9.22
"(3432.0, 5231.0)","(3439.0, 5237.0)",9.22
"(2960.0, 5186.0)","(2958.0, 5195.0)",9.22
"(2958.0, 5195.0)","(2960.0, 5186.0)",9.22
"(2532.0, 5302.0)","(2540.0, 5308.0)",10.0
"(2540.0, 5308.0)","(2532.0, 5302.0)",10.0
"(3932.0, 3596.0)","(3941.0, 3603.0)",11.402
"(3941.0, 3603.0)","(3932.0, 3596.0)",11.402
"(4579.0, 1837.0)","(4589.0, 1845.0)",12.806
"(4589.0, 1845.0)","(4579.0, 1837.0)",12.806
"(1509.0, 5059.0)","(1507.0, 5072.0)",13.153
"(1507.0, 5072.0)","(1509.0, 5059.0)",13.153
"(1431.0, 8544.0)","(1443.0, 8538.0)",13.416
"(1443.0, 8538.0)","(1431.0, 8544.0)",13.416
"(2964.0, 3319.0)","(2954.0, 3328.0)",13.454
"(2954.0, 3328.0)","(2964.0, 3319.0)",13.454
"(5183.0, 2394.0)","(5194.0, 2403.0)",14.213
"(5194.0, 2403.0)","(5183.0, 2394.0)",14.213
"(3401.0, 5289.0)","(3387.0, 5293.0)",14.56
"(3387.0, 5293.0)","(3401.0, 5289.0)",14.56
"(2946.0, 3315.0)","(2954.0, 3328.0)",15.264
"(901.0, 9962.0)","(916.0, 9957.0)",15.811
"(916.0, 9957.0)","(901.0, 9962.0)",15.811
"(4865.0, 1896.0)","(4882.0, 1899.0)",17.263
"(4882.0, 1899.0)","(4865.0, 1896.0)",17.263
"(2979.0, 3310.0)","(2964.0, 3319.0)",17.493
"(3072.0, 5183.0)","(3082.0, 5168.0)",18.028
"(3082.0, 5168.0)","(3072.0, 5183.0)",18.028
"(3552.0, 4006.0)","(3570.0, 4010.0)",18.439
"(3800.0, 2743.0)","(3796.0, 2761.0)",18.439
"(3796.0, 2761.0)","(3800.0, 2743.0)",18.439
"(3859.0, 2370.0)","(3874.0, 2382.0)",19.209
"(3874.0, 2382.0)","(3859.0, 2370.0)",19.209
"(3329.0, 2490.0)","(3340.0, 2508.0)",21.095
"(3340.0, 2508.0)","(3329.0, 2490.0)",21.095
"(3658.0, 4928.0)","(3672.0, 4910.0)",22.804
"(3672.0, 4910.0)","(3658.0, 4928.0)",22.804
"(1109.0, 9917.0)","(1110.0, 9940.0)",23.022
"(1110.0, 9940.0)","(1109.0, 9917.0)",23.022
"(3890.0, 2399.0)","(3874.0, 2382.0)",23.345
"(1980.0, 5995.0)","(1965.0, 5977.0)",23.431
"(1965.0, 5977.0)","(1980.0, 5995.0)",23.431
"(4511.0, 1843.0)","(4488.0, 1838.0)",23.537
"(4488.0, 1838.0)","(4511.0, 1843.0)",23.537
"(3476.0, 5154.0)","(3469.0, 5177.0)",24.042
"(3469.0, 5177.0)","(3476.0, 5154.0)",24.042
"(1794.0, 9140.0)","(1813.0, 9155.0)",24.207
"(1813.0, 9155.0)","(1794.0, 9140.0)",24.207
"(1101.0, 9894.0)","(1109.0, 9917.0)",24.352
"(1794.0, 9256.0)","(1781.0, 9235.0)",24.698
"(1781.0, 9235.0)","(1794.0, 9256.0)",24.698
"(1990.0, 7092.0)","(1975.0, 7072.0)",25.0
"(1975.0, 7072.0)","(1990.0, 7092.0)",25.0
"(4075.0, 1426.0)","(4098.0, 1436.0)",25.08
"(4098.0, 1436.0)","(4075.0, 1426.0)",25.08
"(3683.0, 2736.0)","(3700.0, 2717.0)",25.495
"(3700.0, 2717.0)","(3683.0, 2736.0)",25.495
"(4989.0, 2350.0)","(4973.0, 2330.0)",25.612
"(4973.0, 2330.0)","(4989.0, 2350.0)",25.612
"(3892.0, 5608.0)","(3913.0, 5624.0)",26.401
"(3913.0, 5624.0)","(3892.0, 5608.0)",26.401
"(4435.0, 1705.0)","(4458.0, 1718.0)",26.42
"(4458.0, 1718.0)","(4435.0, 1705.0)",26.42
"(3006.0, 3532.0)","(3005.0, 3505.0)",27.019
"(3005.0, 3505.0)","(3006.0, 3532.0)",27.019
