og_coord,closest_coord,dist,avg_dist
"(2847.0, 4164.0)","(2852.0, 4165.0)",5.099,59.137
"(2852.0, 4165.0)","(2847.0, 4164.0)",5.099,0.0
"(2870.0, 5168.0)","(2875.0, 5171.0)",5.831,0.0
"(2875.0, 5171.0)","(2870.0, 5168.0)",5.831,0.0
"(1944.0, 6285.0)","(1951.0, 6282.0)",7.616,0.0
"(1951.0, 6282.0)","(1944.0, 6285.0)",7.616,0.0
"(1818.0, 6120.0)","(1810.0, 6117.0)",8.544,0.0
"(1810.0, 6117.0)","(1818.0, 6120.0)",8.544,0.0
"(3434.0, 3002.0)","(3428.0, 2993.0)",10.817,0.0
"(3428.0, 2993.0)","(3434.0, 3002.0)",10.817,0.0
"(1150.0, 8602.0)","(1161.0, 8601.0)",11.045,0.0
"(3816.0, 3281.0)","(3815.0, 3270.0)",11.045,0.0
"(3815.0, 3270.0)","(3816.0, 3281.0)",11.045,0.0
"(1161.0, 8601.0)","(1150.0, 8602.0)",11.045,0.0
"(465.0, 7848.0)","(461.0, 7837.0)",11.705,0.0
"(461.0, 7837.0)","(465.0, 7848.0)",11.705,0.0
"(842.0, 9630.0)","(831.0, 9635.0)",12.083,0.0
"(831.0, 9635.0)","(842.0, 9630.0)",12.083,0.0
"(624.0, 8959.0)","(634.0, 8966.0)",12.207,0.0
"(634.0, 8966.0)","(624.0, 8959.0)",12.207,0.0
"(1667.0, 7502.0)","(1656.0, 7496.0)",12.53,0.0
"(1656.0, 7496.0)","(1667.0, 7502.0)",12.53,0.0
"(839.0, 8925.0)","(837.0, 8912.0)",13.153,0.0
"(837.0, 8912.0)","(839.0, 8925.0)",13.153,0.0
"(943.0, 10006.0)","(935.0, 9995.0)",13.601,0.0
"(935.0, 9995.0)","(943.0, 10006.0)",13.601,0.0
"(3418.0, 4801.0)","(3425.0, 4789.0)",13.892,0.0
"(3425.0, 4789.0)","(3418.0, 4801.0)",13.892,0.0
"(3179.0, 5284.0)","(3165.0, 5282.0)",14.142,0.0
"(3165.0, 5282.0)","(3179.0, 5284.0)",14.142,0.0
"(822.0, 9647.0)","(831.0, 9635.0)",15.0,0.0
"(4303.0, 2375.0)","(4306.0, 2360.0)",15.297,0.0
"(4306.0, 2360.0)","(4303.0, 2375.0)",15.297,0.0
"(4849.0, 2091.0)","(4860.0, 2079.0)",16.279,0.0
"(4860.0, 2079.0)","(4849.0, 2091.0)",16.279,0.0
"(3407.0, 5106.0)","(3416.0, 5092.0)",16.643,0.0
"(3416.0, 5092.0)","(3407.0, 5106.0)",16.643,0.0
"(3697.0, 3560.0)","(3714.0, 3558.0)",17.117,0.0
"(3714.0, 3558.0)","(3697.0, 3560.0)",17.117,0.0
"(3966.0, 2427.0)","(3983.0, 2423.0)",17.464,0.0
"(3983.0, 2423.0)","(3966.0, 2427.0)",17.464,0.0
"(4628.0, 2290.0)","(4619.0, 2275.0)",17.493,0.0
"(4619.0, 2275.0)","(4628.0, 2290.0)",17.493,0.0
"(1647.0, 4960.0)","(1641.0, 4943.0)",18.028,0.0
"(1641.0, 4943.0)","(1647.0, 4960.0)",18.028,0.0
"(1916.0, 4923.0)","(1898.0, 4920.0)",18.248,0.0
"(1898.0, 4920.0)","(1916.0, 4923.0)",18.248,0.0
"(1332.0, 9258.0)","(1349.0, 9265.0)",18.385,0.0
"(1349.0, 9265.0)","(1332.0, 9258.0)",18.385,0.0
"(3465.0, 4704.0)","(3451.0, 4716.0)",18.439,0.0
"(3451.0, 4716.0)","(3465.0, 4704.0)",18.439,0.0
"(732.0, 8903.0)","(721.0, 8918.0)",18.601,0.0
"(721.0, 8918.0)","(732.0, 8903.0)",18.601,0.0
"(4579.0, 2364.0)","(4584.0, 2346.0)",18.682,0.0
"(4584.0, 2346.0)","(4579.0, 2364.0)",18.682,0.0
"(3594.0, 4175.0)","(3611.0, 4184.0)",19.235,0.0
"(3611.0, 4184.0)","(3594.0, 4175.0)",19.235,0.0
"(3178.0, 3699.0)","(3193.0, 3686.0)",19.849,0.0
"(3193.0, 3686.0)","(3178.0, 3699.0)",19.849,0.0
"(3319.0, 4760.0)","(3326.0, 4740.0)",21.19,0.0
"(3326.0, 4740.0)","(3319.0, 4760.0)",21.19,0.0
"(1110.0, 9924.0)","(1131.0, 9927.0)",21.213,0.0
